cell_id,Pionus tumultuosus,Pionus tumultuosus seniloides,Pionus tumultuosus tumultuosus
8466083ffffffff,3.0,0.0,0.0
8466089ffffffff,10.0,0.0,0.0
846608dffffffff,6.0,0.0,0.0
84660b3ffffffff,16.0,0.0,0.0
84660b7ffffffff,11.0,0.0,0.0
84660cbffffffff,2.0,0.0,0.0
84660ddffffffff,7.0,2.0,0.0
8466181ffffffff,104.0,6.0,0.0
8466187ffffffff,29.0,0.0,0.0
8466197ffffffff,42.0,0.0,0.0
846619bffffffff,2.0,0.0,0.0
84661b1ffffffff,23.0,4.0,0.0
84661b3ffffffff,11.0,0.0,0.0
84661b9ffffffff,2.0,0.0,0.0
84661bbffffffff,507.0,49.0,0.0
84661d7ffffffff,2.0,0.0,0.0
8466291ffffffff,16.0,6.0,0.0
8466295ffffffff,3.0,0.0,0.0
8466299ffffffff,8.0,5.0,0.0
846629dffffffff,15.0,8.0,0.0
84662b1ffffffff,40.0,25.0,0.0
8466c0dffffffff,7.0,0.0,0.0
8466c21ffffffff,9.0,0.0,0.0
8466c25ffffffff,20.0,0.0,0.0
8466c2dffffffff,6.0,0.0,0.0
8466c45ffffffff,2.0,0.0,0.0
8466c47ffffffff,1.0,0.0,0.0
8466c4bffffffff,1.0,0.0,0.0
8466c4dffffffff,11.0,0.0,0.0
8466c61ffffffff,10.0,0.0,0.0
8466c63ffffffff,12.0,0.0,0.0
8466c67ffffffff,56.0,0.0,0.0
8466c69ffffffff,3.0,0.0,0.0
8466c6bffffffff,10.0,0.0,0.0
8466d03ffffffff,26.0,6.0,0.0
8466d0bffffffff,13.0,2.0,0.0
8466d11ffffffff,12.0,7.0,0.0
8466d19ffffffff,2.0,0.0,0.0
8466d1dffffffff,8.0,2.0,0.0
8466d31ffffffff,406.0,148.0,0.0
8466d35ffffffff,3.0,0.0,0.0
8466d37ffffffff,14.0,10.0,0.0
8466d39ffffffff,10.0,0.0,0.0
8466de1ffffffff,1267.0,468.0,0.0
8466de5ffffffff,1.0,1.0,0.0
8466de9ffffffff,11.0,11.0,0.0
8466dedffffffff,132.0,30.0,0.0
8466e03ffffffff,5.0,0.0,0.0
8466e0bffffffff,11.0,0.0,0.0
8466e2dffffffff,122.0,0.0,0.0
8466e43ffffffff,83.0,0.0,0.0
8466e47ffffffff,2.0,0.0,0.0
8466e55ffffffff,17.0,0.0,0.0
8466e5dffffffff,12.0,0.0,0.0
8466e61ffffffff,32.0,0.0,0.0
8466e63ffffffff,8.0,0.0,0.0
8466e65ffffffff,582.0,50.0,0.0
8466e67ffffffff,318.0,0.0,0.0
8466e6dffffffff,116.0,8.0,0.0
8466f13ffffffff,1.0,0.0,0.0
8466f19ffffffff,30.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0
8466f3bffffffff,1.0,0.0,0.0
8466f53ffffffff,3.0,0.0,0.0
8466f59ffffffff,2.0,0.0,0.0
8466f5bffffffff,130.0,0.0,0.0
84675a5ffffffff,3.0,0.0,0.0
84675adffffffff,17.0,0.0,0.0
848b203ffffffff,1.0,0.0,0.0
848b213ffffffff,2.0,0.0,0.0
848b229ffffffff,1.0,0.0,0.0
848b2c1ffffffff,3.0,0.0,0.0
848b2c5ffffffff,2.0,0.0,0.0
848b2cdffffffff,27.0,0.0,0.0
848b2d9ffffffff,2.0,0.0,0.0
848b2dbffffffff,3.0,0.0,0.0
848b611ffffffff,2.0,0.0,0.0
848b617ffffffff,288.0,0.0,53.0
848b6c1ffffffff,7.0,0.0,0.0
848b6c5ffffffff,25.0,0.0,0.0
848b6c9ffffffff,8.0,0.0,0.0
848b6cbffffffff,2.0,0.0,0.0
848b6cdffffffff,398.0,0.0,60.0
848b759ffffffff,2.0,0.0,0.0
848e619ffffffff,4.0,0.0,0.0
848e61dffffffff,2.0,0.0,0.0
848e641ffffffff,8.0,0.0,0.0
848e643ffffffff,5.0,0.0,0.0
848e649ffffffff,20.0,0.0,0.0
848e64bffffffff,24.0,0.0,1.0
848e651ffffffff,27.0,0.0,1.0
848e657ffffffff,2.0,0.0,0.0
848e6c1ffffffff,6.0,0.0,0.0
848e6c9ffffffff,5.0,0.0,0.0
848e6cdffffffff,1.0,0.0,0.0
848f0d3ffffffff,2.0,0.0,0.0
848f2d3ffffffff,7.0,5.0,0.0
848f401ffffffff,1.0,0.0,0.0
848f425ffffffff,1.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0
848f42dffffffff,50.0,12.0,0.0
848f465ffffffff,24.0,2.0,0.0
848f467ffffffff,14.0,0.0,0.0
848f4a5ffffffff,53.0,0.0,15.0
848f541ffffffff,6.0,0.0,0.0
848f549ffffffff,22.0,0.0,0.0
848f54bffffffff,21.0,0.0,0.0
848f54dffffffff,8.0,0.0,0.0
848f553ffffffff,71.0,13.0,0.0
848f555ffffffff,2.0,0.0,0.0
848f559ffffffff,96.0,32.0,0.0
848f55bffffffff,26.0,1.0,0.0
848f55dffffffff,37.0,0.0,0.0
848f59bffffffff,2.0,0.0,2.0
848f5ddffffffff,1.0,0.0,0.0
848f721ffffffff,100.0,40.0,0.0
848f725ffffffff,2.0,2.0,0.0
848f727ffffffff,10.0,0.0,0.0
848f729ffffffff,12.0,0.0,0.0
848f72dffffffff,12.0,3.0,0.0
848f733ffffffff,221.0,34.0,0.0
848f737ffffffff,5.0,0.0,0.0
848f745ffffffff,2.0,0.0,0.0
848f767ffffffff,6.0,5.0,0.0
848f76bffffffff,9.0,0.0,0.0
84b3253ffffffff,36.0,0.0,0.0
