cell_id,Melanerpes aurifrons,Melanerpes aurifrons aurifrons,Melanerpes aurifrons [santacruzi Group],Melanerpes aurifrons polygrammus
8326c2fffffffff,29.0,0.0,0.0,0.0
8326c3fffffffff,11.0,0.0,0.0,0.0
8326c6fffffffff,2.0,0.0,0.0,0.0
8326cbfffffffff,2.0,0.0,0.0,0.0
8326cefffffffff,22.0,0.0,0.0,0.0
8326d0fffffffff,6.0,2.0,0.0,0.0
8326d1fffffffff,925.0,21.0,0.0,0.0
8326d3fffffffff,34.0,1.0,0.0,0.0
8326d5fffffffff,6.0,0.0,0.0,0.0
8326d8fffffffff,421.0,17.0,0.0,0.0
8326d9fffffffff,551.0,101.0,0.0,0.0
8326dafffffffff,226.0,5.0,0.0,0.0
8326dbfffffffff,566.0,33.0,0.0,0.0
8326dcfffffffff,330.0,33.0,0.0,0.0
8326ddfffffffff,216.0,10.0,0.0,0.0
8326defffffffff,642.0,50.0,0.0,0.0
834424fffffffff,357.0,0.0,6.0,0.0
834501fffffffff,802.0,0.0,77.0,0.0
834505fffffffff,2295.0,0.0,249.0,0.0
834508fffffffff,1961.0,0.0,469.0,0.0
834509fffffffff,5383.0,0.0,1326.0,0.0
83450afffffffff,3414.0,0.0,588.0,0.0
83450bfffffffff,1984.0,0.0,311.0,0.0
83450cfffffffff,566.0,0.0,62.0,0.0
83450dfffffffff,990.0,0.0,373.0,0.0
83450efffffffff,2012.0,0.0,185.0,0.0
834519fffffffff,10.0,0.0,3.0,0.0
834520fffffffff,2755.0,0.0,64.0,0.0
834521fffffffff,5135.0,0.0,105.0,0.0
834522fffffffff,3601.0,0.0,6.0,0.0
834523fffffffff,2129.0,0.0,101.0,0.0
834524fffffffff,3387.0,0.0,0.0,0.0
834525fffffffff,1731.0,21.0,390.0,0.0
834526fffffffff,4543.0,0.0,2.0,0.0
834528fffffffff,1470.0,0.0,139.0,0.0
834529fffffffff,189.0,0.0,13.0,0.0
83452afffffffff,4947.0,0.0,587.0,0.0
83452bfffffffff,538.0,0.0,134.0,0.0
83452cfffffffff,3538.0,0.0,477.0,0.0
83452dfffffffff,420.0,0.0,24.0,0.0
83452efffffffff,15116.0,0.0,902.0,0.0
834530fffffffff,119.0,0.0,0.0,0.0
834531fffffffff,2253.0,0.0,537.0,0.0
834532fffffffff,180.0,0.0,0.0,0.0
834534fffffffff,254.0,0.0,0.0,0.0
834535fffffffff,625.0,0.0,0.0,0.0
834536fffffffff,2.0,0.0,0.0,0.0
834564fffffffff,70.0,0.0,4.0,0.0
834569fffffffff,6.0,0.0,0.0,0.0
83456dfffffffff,60.0,2.0,0.0,0.0
834572fffffffff,798.0,0.0,227.0,0.0
834574fffffffff,51.0,0.0,0.0,0.0
834576fffffffff,284.0,0.0,9.0,0.0
834810fffffffff,71.0,0.0,0.0,0.0
834812fffffffff,62.0,0.0,0.0,0.0
834813fffffffff,1.0,0.0,0.0,0.0
834814fffffffff,724.0,0.0,0.0,0.0
834815fffffffff,2.0,0.0,0.0,0.0
834816fffffffff,66.0,0.0,0.0,0.0
83481afffffffff,86.0,0.0,0.0,0.0
83481bfffffffff,35.0,0.0,0.0,0.0
83481efffffffff,1.0,0.0,0.0,0.0
834880fffffffff,2896.0,42.0,0.0,0.0
834881fffffffff,194.0,4.0,0.0,0.0
834882fffffffff,3011.0,71.0,0.0,0.0
834883fffffffff,2918.0,73.0,0.0,0.0
834884fffffffff,215.0,0.0,0.0,0.0
834885fffffffff,40.0,0.0,0.0,0.0
834886fffffffff,1972.0,97.0,0.0,0.0
834888fffffffff,400.0,4.0,0.0,0.0
834889fffffffff,8.0,0.0,0.0,0.0
83488afffffffff,1118.0,24.0,0.0,0.0
83488bfffffffff,159.0,17.0,0.0,0.0
83488cfffffffff,89.0,0.0,0.0,0.0
83488dfffffffff,924.0,39.0,0.0,0.0
83488efffffffff,1775.0,33.0,0.0,0.0
834890fffffffff,373.0,12.0,0.0,0.0
834891fffffffff,1489.0,15.0,0.0,0.0
834895fffffffff,8256.0,180.0,0.0,0.0
834898fffffffff,4190.0,56.0,0.0,0.0
834899fffffffff,507.0,12.0,0.0,0.0
83489bfffffffff,41.0,0.0,0.0,0.0
83489cfffffffff,13468.0,220.0,0.0,0.0
83489dfffffffff,3116.0,101.0,0.0,0.0
83489efffffffff,1638.0,21.0,0.0,0.0
8348a0fffffffff,812.0,0.0,0.0,0.0
8348a1fffffffff,6.0,0.0,0.0,0.0
8348a2fffffffff,3627.0,0.0,0.0,0.0
8348a3fffffffff,20.0,0.0,0.0,0.0
8348a6fffffffff,167.0,0.0,0.0,0.0
8348abfffffffff,2901.0,104.0,0.0,0.0
8348aefffffffff,6.0,0.0,0.0,0.0
8348b0fffffffff,6.0,0.0,0.0,0.0
8348b1fffffffff,9341.0,491.0,0.0,0.0
8348b2fffffffff,8840.0,637.0,0.0,0.0
8348b3fffffffff,53954.0,2554.0,0.0,0.0
8348b4fffffffff,17.0,0.0,0.0,0.0
8348b5fffffffff,276.0,0.0,0.0,0.0
8348d6fffffffff,3.0,0.0,0.0,0.0
8348f2fffffffff,3.0,0.0,0.0,0.0
8348f4fffffffff,14.0,0.0,0.0,0.0
8348f6fffffffff,444.0,98.0,0.0,0.0
834980fffffffff,1331.0,0.0,0.0,0.0
834981fffffffff,125.0,0.0,0.0,0.0
834982fffffffff,523.0,36.0,0.0,0.0
834983fffffffff,682.0,28.0,0.0,0.0
834985fffffffff,53.0,0.0,0.0,0.0
834986fffffffff,7.0,2.0,0.0,0.0
834988fffffffff,229.0,0.0,0.0,0.0
83498afffffffff,4.0,0.0,0.0,0.0
83498bfffffffff,13.0,0.0,0.0,0.0
83498cfffffffff,77.0,0.0,0.0,0.0
83498efffffffff,515.0,5.0,0.0,0.0
834990fffffffff,161.0,0.0,10.0,0.0
834991fffffffff,75.0,3.0,8.0,0.0
834992fffffffff,136.0,0.0,4.0,0.0
834993fffffffff,100.0,0.0,1.0,0.0
834994fffffffff,29.0,0.0,0.0,0.0
834995fffffffff,363.0,23.0,0.0,0.0
834996fffffffff,11885.0,0.0,870.0,0.0
834998fffffffff,543.0,14.0,0.0,0.0
834999fffffffff,7.0,0.0,0.0,0.0
83499afffffffff,6.0,2.0,0.0,0.0
83499bfffffffff,256.0,6.0,0.0,0.0
83499cfffffffff,213.0,20.0,4.0,0.0
83499dfffffffff,43.0,0.0,0.0,0.0
83499efffffffff,245.0,5.0,0.0,0.0
8349a8fffffffff,8.0,0.0,0.0,0.0
8349aafffffffff,1395.0,61.0,0.0,0.0
8349abfffffffff,103.0,8.0,0.0,0.0
836792fffffffff,1.0,0.0,0.0,0.0
836796fffffffff,1.0,0.0,0.0,0.0
8367b2fffffffff,1.0,0.0,0.0,0.0
836d04fffffffff,697.0,0.0,47.0,50.0
836d05fffffffff,769.0,0.0,26.0,13.0
836d06fffffffff,53.0,0.0,0.0,0.0
836d20fffffffff,470.0,0.0,29.0,0.0
836d21fffffffff,600.0,0.0,62.0,4.0
836d22fffffffff,71.0,0.0,0.0,0.0
