cell_id,Thryomanes bewickii,Thryomanes bewickii bewickii,Thryomanes bewickii [mexicanus Group],Thryomanes bewickii [spilurus Group]
8312d1fffffffff,46.0,0.0,0.0,0.0
8312d3fffffffff,9.0,0.0,0.0,0.0
8312d8fffffffff,17.0,0.0,0.0,0.0
8312dafffffffff,125.0,0.0,0.0,0.0
8312dbfffffffff,472.0,0.0,0.0,0.0
8312defffffffff,676.0,0.0,0.0,0.0
832642fffffffff,44.0,0.0,0.0,0.0
832650fffffffff,7.0,0.0,0.0,0.0
832651fffffffff,68.0,0.0,0.0,0.0
832652fffffffff,13.0,0.0,0.0,0.0
832653fffffffff,126.0,0.0,0.0,0.0
832655fffffffff,11.0,0.0,0.0,0.0
83265cfffffffff,14.0,0.0,0.0,0.0
83265efffffffff,23.0,0.0,0.0,0.0
832680fffffffff,18.0,0.0,0.0,0.0
832682fffffffff,63.0,0.0,0.0,0.0
832683fffffffff,12.0,0.0,0.0,0.0
832686fffffffff,8.0,0.0,0.0,0.0
832688fffffffff,2380.0,0.0,0.0,0.0
832689fffffffff,717.0,0.0,0.0,0.0
83268bfffffffff,195.0,0.0,0.0,0.0
83268dfffffffff,49.0,0.0,0.0,0.0
83268efffffffff,14.0,0.0,0.0,0.0
832690fffffffff,14.0,0.0,0.0,0.0
832691fffffffff,22.0,0.0,0.0,0.0
832692fffffffff,73.0,0.0,0.0,0.0
832693fffffffff,25.0,0.0,0.0,0.0
832695fffffffff,35.0,0.0,0.0,0.0
832696fffffffff,178.0,0.0,0.0,0.0
832698fffffffff,853.0,0.0,0.0,0.0
832699fffffffff,103.0,0.0,0.0,0.0
83269afffffffff,91.0,0.0,1.0,0.0
83269bfffffffff,134.0,0.0,0.0,0.0
83269cfffffffff,1448.0,0.0,20.0,0.0
83269dfffffffff,39.0,0.0,0.0,0.0
83269efffffffff,353.0,0.0,83.0,0.0
8326b3fffffffff,39.0,0.0,0.0,0.0
8326c0fffffffff,20.0,0.0,0.0,0.0
8326c1fffffffff,599.0,0.0,0.0,0.0
8326c2fffffffff,115.0,0.0,0.0,0.0
8326c3fffffffff,433.0,0.0,0.0,0.0
8326c4fffffffff,36.0,0.0,0.0,0.0
8326c5fffffffff,297.0,0.0,0.0,0.0
8326c6fffffffff,46.0,0.0,0.0,0.0
8326c8fffffffff,2638.0,0.0,0.0,0.0
8326c9fffffffff,68.0,0.0,0.0,0.0
8326cafffffffff,1594.0,0.0,0.0,0.0
8326cbfffffffff,2166.0,0.0,0.0,0.0
8326ccfffffffff,46.0,0.0,0.0,0.0
8326cdfffffffff,19.0,0.0,0.0,0.0
8326cefffffffff,206.0,0.0,0.0,0.0
8326d0fffffffff,23.0,0.0,0.0,0.0
8326d1fffffffff,436.0,0.0,0.0,0.0
8326d2fffffffff,220.0,0.0,0.0,0.0
8326d3fffffffff,20.0,0.0,0.0,0.0
8326d4fffffffff,448.0,0.0,0.0,0.0
8326d5fffffffff,40.0,0.0,0.0,0.0
8326d6fffffffff,154.0,0.0,0.0,0.0
8326d8fffffffff,234.0,0.0,0.0,0.0
8326d9fffffffff,1150.0,0.0,0.0,0.0
8326dafffffffff,224.0,0.0,0.0,0.0
8326dbfffffffff,739.0,0.0,0.0,0.0
8326dcfffffffff,205.0,0.0,0.0,0.0
8326ddfffffffff,294.0,0.0,0.0,0.0
8326defffffffff,569.0,0.0,0.0,0.0
8326e0fffffffff,10.0,0.0,0.0,0.0
8326e1fffffffff,10.0,0.0,0.0,0.0
8326e2fffffffff,6.0,0.0,0.0,0.0
8326e3fffffffff,11.0,0.0,0.0,0.0
8326e4fffffffff,49.0,0.0,0.0,0.0
8326e5fffffffff,88.0,0.0,0.0,0.0
8326e8fffffffff,18.0,0.0,0.0,0.0
8326eafffffffff,14.0,0.0,0.0,0.0
8326ebfffffffff,10.0,0.0,0.0,0.0
8326ecfffffffff,101.0,0.0,0.0,0.0
8326edfffffffff,14.0,0.0,0.0,0.0
8326eefffffffff,168.0,0.0,0.0,0.0
8326f1fffffffff,31.0,0.0,0.0,0.0
8326f2fffffffff,93.0,0.0,0.0,0.0
8326f3fffffffff,18.0,0.0,0.0,0.0
832800fffffffff,93.0,0.0,0.0,0.0
832802fffffffff,886.0,0.0,0.0,0.0
832803fffffffff,23.0,0.0,0.0,0.0
832806fffffffff,378.0,0.0,0.0,0.0
832810fffffffff,275.0,0.0,0.0,0.0
832811fffffffff,652.0,0.0,0.0,0.0
