cell_id,Dicaeum ignipectus,Dicaeum ignipectus ignipectus/dolichorhynchum,Dicaeum ignipectus formosum
823c07fffffffff,718.0,0.0,0.0
823c0ffffffffff,375.0,0.0,0.0
823c1ffffffffff,552.0,0.0,0.0
823c37fffffffff,59.0,0.0,0.0
823c47fffffffff,10.0,0.0,0.0
823c57fffffffff,524.0,0.0,0.0
823c5ffffffffff,861.0,0.0,0.0
823cc7fffffffff,87.0,0.0,0.0
823ccffffffffff,3.0,0.0,0.0
823cdffffffffff,68.0,0.0,0.0
823ce7fffffffff,630.0,0.0,0.0
823ceffffffffff,489.0,0.0,0.0
823d17fffffffff,491.0,0.0,0.0
823d1ffffffffff,548.0,0.0,0.0
823d37fffffffff,71.0,0.0,0.0
823daffffffffff,883.0,0.0,0.0
824007fffffffff,2.0,0.0,0.0
824027fffffffff,4.0,0.0,0.0
824037fffffffff,5.0,0.0,0.0
824047fffffffff,21.0,0.0,0.0
82404ffffffffff,216.0,1.0,0.0
824057fffffffff,1.0,0.0,0.0
82405ffffffffff,42.0,0.0,0.0
824067fffffffff,45.0,0.0,0.0
82406ffffffffff,30.0,0.0,0.0
824077fffffffff,13.0,0.0,0.0
8240affffffffff,8.0,0.0,0.0
8240e7fffffffff,45.0,0.0,0.0
8240effffffffff,6.0,0.0,0.0
824107fffffffff,7.0,0.0,0.0
824117fffffffff,2.0,0.0,0.0
82411ffffffffff,334.0,0.0,0.0
824147fffffffff,3.0,0.0,0.0
82414ffffffffff,37.0,0.0,0.0
824157fffffffff,5.0,0.0,0.0
82415ffffffffff,64.0,0.0,0.0
824167fffffffff,4.0,0.0,0.0
824177fffffffff,25.0,0.0,0.0
824187fffffffff,14.0,0.0,0.0
82418ffffffffff,2.0,0.0,0.0
8241affffffffff,5.0,0.0,0.0
8241b7fffffffff,24.0,0.0,0.0
824b87fffffffff,79.0,0.0,0.0
824ba7fffffffff,5043.0,0.0,28.0
824bb7fffffffff,152.0,0.0,0.0
826417fffffffff,112.0,0.0,0.0
826487fffffffff,605.0,0.0,0.0
826497fffffffff,440.0,0.0,0.0
82649ffffffffff,26.0,0.0,0.0
8264a7fffffffff,9.0,0.0,0.0
8264b7fffffffff,61.0,0.0,0.0
826507fffffffff,697.0,0.0,0.0
82658ffffffffff,2.0,0.0,0.0
826597fffffffff,7.0,0.0,0.0
8265b7fffffffff,307.0,0.0,0.0
826937fffffffff,67.0,0.0,0.0
