cell_id,Egretta gularis,Egretta gularis gularis,Egretta gularis schistacea
832c82fffffffff,4.0,0.0,0.0
832c83fffffffff,7.0,0.0,1.0
832c93fffffffff,784.0,0.0,150.0
832c98fffffffff,5.0,0.0,0.0
832c9cfffffffff,33.0,0.0,1.0
832c9efffffffff,32.0,0.0,18.0
832db3fffffffff,1.0,0.0,0.0
833c92fffffffff,118.0,0.0,0.0
833c93fffffffff,24.0,0.0,0.0
833c9efffffffff,4.0,0.0,0.0
833e2afffffffff,1.0,0.0,0.0
833e41fffffffff,82.0,0.0,1.0
833e45fffffffff,331.0,0.0,6.0
833e4afffffffff,8.0,0.0,0.0
833e4efffffffff,6.0,0.0,2.0
833e58fffffffff,12.0,0.0,0.0
833e5cfffffffff,2.0,0.0,0.0
833e5dfffffffff,2.0,0.0,0.0
833e62fffffffff,10.0,0.0,0.0
833e63fffffffff,6.0,0.0,6.0
833e68fffffffff,1181.0,0.0,190.0
833e6afffffffff,26.0,0.0,3.0
833e6bfffffffff,6.0,0.0,2.0
833f5bfffffffff,1.0,0.0,0.0
834230fffffffff,7.0,0.0,0.0
834231fffffffff,6.0,0.0,0.0
834233fffffffff,51.0,0.0,0.0
834236fffffffff,2.0,0.0,0.0
8342c0fffffffff,996.0,0.0,0.0
8342c1fffffffff,198.0,0.0,0.0
8342c2fffffffff,284.0,0.0,0.0
8342c3fffffffff,10.0,0.0,0.0
8342c4fffffffff,288.0,0.0,0.0
8342c5fffffffff,127.0,0.0,0.0
8342c6fffffffff,594.0,0.0,0.0
8342cafffffffff,26.0,0.0,0.0
8342cbfffffffff,2.0,0.0,0.0
8342ccfffffffff,30.0,0.0,0.0
8342cdfffffffff,2.0,0.0,0.0
8342cefffffffff,213.0,0.0,0.0
8342d1fffffffff,28.0,0.0,0.0
8342d5fffffffff,14.0,0.0,0.0
8342d9fffffffff,131.0,0.0,0.0
8342dbfffffffff,517.0,0.0,0.0
8342dcfffffffff,204.0,0.0,0.0
8342ddfffffffff,428.0,0.0,0.0
8342e0fffffffff,1.0,0.0,0.0
8342e2fffffffff,41.0,0.0,0.0
8342e3fffffffff,43.0,0.0,0.0
8342e4fffffffff,44.0,0.0,0.0
8342eafffffffff,22.0,0.0,0.0
8342eefffffffff,1.0,0.0,0.0
834310fffffffff,15.0,0.0,2.0
834313fffffffff,91.0,0.0,1.0
834316fffffffff,25.0,0.0,0.0
834318fffffffff,3.0,0.0,0.0
83431afffffffff,16.0,0.0,0.0
83431efffffffff,304.0,0.0,3.0
834332fffffffff,9.0,0.0,0.0
834334fffffffff,15.0,0.0,0.0
834336fffffffff,2.0,0.0,0.0
834388fffffffff,28.0,0.0,2.0
83438afffffffff,22.0,0.0,4.0
83438bfffffffff,7.0,0.0,2.0
83438cfffffffff,205.0,0.0,69.0
834396fffffffff,1.0,0.0,0.0
834398fffffffff,194.0,0.0,88.0
83439afffffffff,2.0,0.0,2.0
8343a0fffffffff,511.0,0.0,17.0
8343a1fffffffff,513.0,0.0,70.0
8343a3fffffffff,19.0,0.0,0.0
8343a4fffffffff,3.0,0.0,0.0
8343a6fffffffff,6.0,0.0,2.0
8343a8fffffffff,423.0,0.0,71.0
8343a9fffffffff,96.0,0.0,0.0
8343aafffffffff,27.0,0.0,0.0
8343acfffffffff,1034.0,0.0,241.0
8343adfffffffff,68.0,0.0,0.0
8343aefffffffff,224.0,0.0,77.0
835211fffffffff,14.0,0.0,3.0
835215fffffffff,23.0,0.0,1.0
83521cfffffffff,6.0,0.0,0.0
83521efffffffff,51.0,0.0,2.0
835232fffffffff,12.0,0.0,0.0
835233fffffffff,8.0,0.0,0.0
835236fffffffff,4.0,0.0,0.0
835248fffffffff,2.0,0.0,0.0
83524dfffffffff,165.0,0.0,68.0
835289fffffffff,4.0,0.0,0.0
8352d4fffffffff,152.0,0.0,5.0
8352f3fffffffff,8.0,0.0,0.0
835312fffffffff,2.0,0.0,0.0
835313fffffffff,3.0,0.0,0.0
835316fffffffff,6.0,0.0,0.0
835345fffffffff,15.0,0.0,0.0
83534cfffffffff,3.0,0.0,0.0
83534dfffffffff,50.0,0.0,16.0
835362fffffffff,2.0,0.0,0.0
835363fffffffff,4.0,0.0,0.0
835364fffffffff,3.0,0.0,0.0
835368fffffffff,54.0,0.0,6.0
83536afffffffff,19.0,0.0,0.0
83536bfffffffff,30.0,0.0,0.0
83536efffffffff,84.0,0.0,4.0
8353a4fffffffff,71.0,0.0,26.0
8353a9fffffffff,25.0,0.0,0.0
8353abfffffffff,3.0,0.0,0.0
8353adfffffffff,58.0,0.0,0.0
835402fffffffff,2.0,2.0,0.0
835408fffffffff,5.0,0.0,0.0
835410fffffffff,143.0,45.0,0.0
835411fffffffff,6.0,6.0,0.0
835413fffffffff,212.0,66.0,0.0
835414fffffffff,2.0,0.0,0.0
835415fffffffff,1.0,1.0,0.0
835418fffffffff,12.0,0.0,0.0
835419fffffffff,2.0,1.0,0.0
83541afffffffff,427.0,157.0,0.0
83541bfffffffff,127.0,26.0,0.0
835436fffffffff,5.0,2.0,0.0
835440fffffffff,2.0,0.0,0.0
835494fffffffff,34.0,0.0,0.0
8354a9fffffffff,635.0,143.0,0.0
8354acfffffffff,95.0,26.0,0.0
8354adfffffffff,124.0,26.0,0.0
8354b0fffffffff,7.0,0.0,0.0
8354c4fffffffff,5.0,1.0,0.0
8354c5fffffffff,17.0,8.0,0.0
8354ccfffffffff,4.0,0.0,0.0
8354e2fffffffff,5.0,0.0,0.0
8354e4fffffffff,13.0,5.0,0.0
8354eafffffffff,13.0,7.0,0.0
8354f0fffffffff,3.0,0.0,0.0
8354f1fffffffff,44.0,0.0,0.0
8354f3fffffffff,3.0,0.0,0.0
8354f4fffffffff,111.0,37.0,0.0
8354f5fffffffff,17.0,0.0,0.0
8354f6fffffffff,6.0,0.0,0.0
835512fffffffff,6.0,0.0,0.0
83574cfffffffff,1.0,0.0,0.0
83574dfffffffff,2.0,0.0,0.0
835883fffffffff,1.0,0.0,0.0
835890fffffffff,15.0,0.0,0.0
