cell_id,Cisticola robustus,Cisticola robustus santae,Cisticola robustus robustus/schraderi,Cisticola robustus omo,Cisticola robustus nuchalis/awemba,Cisticola robustus angolensis
835282fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
835295fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
835299fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83529bfffffffff,53.0,0.0,0.0,0.0,0.0,0.0
83529efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836a69fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
836ac0fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
836ac1fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836ac3fffffffff,166.0,0.0,0.0,0.0,0.0,0.0
836ad8fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
836adcfffffffff,43.0,0.0,0.0,0.0,0.0,0.0
836addfffffffff,9.0,0.0,0.0,0.0,0.0,0.0
836aeafffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836aebfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
837a40fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
837a41fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
837a45fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
837a48fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
837a4cfffffffff,24.0,0.0,0.0,0.0,0.0,0.0
837a4dfffffffff,33.0,0.0,0.0,0.0,0.0,0.0
837a61fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
837a68fffffffff,473.0,0.0,0.0,0.0,0.0,0.0
837a69fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
837a6afffffffff,81.0,0.0,0.0,0.0,0.0,0.0
837a6dfffffffff,42.0,0.0,0.0,0.0,0.0,0.0
837a6efffffffff,331.0,0.0,0.0,0.0,0.0,0.0
837ac8fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
837acbfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
837accfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
837acdfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
837ad9fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
837ae8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838333fffffffff,4.0,0.0,0.0,0.0,0.0,4.0
8383acfffffffff,1.0,0.0,0.0,0.0,0.0,1.0
839609fffffffff,32.0,0.0,0.0,0.0,0.0,13.0
83960bfffffffff,7.0,0.0,0.0,0.0,0.0,2.0
839615fffffffff,9.0,0.0,0.0,0.0,2.0,0.0
839656fffffffff,6.0,0.0,0.0,0.0,0.0,4.0
839690fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
839692fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
839693fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
83969afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8396a0fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8396a3fffffffff,3.0,0.0,0.0,0.0,3.0,0.0
8396a8fffffffff,2.0,0.0,0.0,0.0,1.0,0.0
8396b6fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839799fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
