cell_id,Anthus gustavi,Anthus gustavi gustavi/stejnegeri,Anthus gustavi menzbieri
8214affffffffff,24.0,0.0,23.0
8214cffffffffff,1.0,0.0,0.0
821597fffffffff,2.0,0.0,0.0
821607fffffffff,11.0,0.0,0.0
82160ffffffffff,15.0,0.0,0.0
821617fffffffff,5.0,0.0,0.0
82171ffffffffff,6.0,0.0,0.0
821757fffffffff,2.0,0.0,0.0
82176ffffffffff,3.0,0.0,0.0
82178ffffffffff,2.0,0.0,0.0
822ecffffffffff,3.0,0.0,0.0
823007fffffffff,2.0,0.0,0.0
82301ffffffffff,22.0,0.0,0.0
82302ffffffffff,1.0,0.0,0.0
823037fffffffff,10.0,0.0,0.0
823087fffffffff,3.0,0.0,0.0
82309ffffffffff,50.0,0.0,0.0
8230c7fffffffff,5.0,0.0,0.0
8230e7fffffffff,24.0,0.0,0.0
82312ffffffffff,2.0,0.0,0.0
82316ffffffffff,3.0,0.0,0.0
82318ffffffffff,17.0,0.0,0.0
8231affffffffff,2.0,0.0,0.0
824107fffffffff,1.0,0.0,0.0
82411ffffffffff,32.0,0.0,0.0
824197fffffffff,6.0,0.0,0.0
8241a7fffffffff,35.0,0.0,0.0
8241b7fffffffff,45.0,0.0,0.0
824b37fffffffff,3.0,0.0,0.0
824b87fffffffff,261.0,0.0,0.0
824b9ffffffffff,1.0,0.0,0.0
824ba7fffffffff,333.0,0.0,0.0
824bb7fffffffff,173.0,0.0,0.0
82682ffffffffff,8.0,0.0,0.0
826857fffffffff,15.0,0.0,0.0
82685ffffffffff,1.0,0.0,0.0
826867fffffffff,7.0,0.0,0.0
826877fffffffff,4.0,0.0,0.0
826947fffffffff,42.0,0.0,0.0
82694ffffffffff,24.0,0.0,0.0
82695ffffffffff,2.0,0.0,0.0
82696ffffffffff,5.0,0.0,0.0
