cell_id,Phylloscopus poliocephalus,Phylloscopus poliocephalus suaramerdu,Phylloscopus poliocephalus emilsalimi,Phylloscopus poliocephalus henrietta,Phylloscopus poliocephalus waterstradti,Phylloscopus poliocephalus everetti,Phylloscopus poliocephalus ceramensis,Phylloscopus poliocephalus avicola,Phylloscopus poliocephalus [poliocephalus Group],Phylloscopus poliocephalus [matthiae Group]
8372d2fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8372dafffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
837392fffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
837795fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
837798fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839561fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839566fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839c85fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
839c8bfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839c9dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839caafffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839cd2fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
