cell_id,Picus viridis,Picus viridis viridis/karelini,Picus viridis innominatus
831106fffffffff,1.0,0.0,0.0
831849fffffffff,2.0,2.0,0.0
83184cfffffffff,6.0,6.0,0.0
83184dfffffffff,6.0,6.0,0.0
831869fffffffff,10.0,10.0,0.0
831959fffffffff,4.0,0.0,0.0
831973fffffffff,2.0,0.0,0.0
831e02fffffffff,2.0,2.0,0.0
831e0afffffffff,1.0,1.0,0.0
831e0bfffffffff,2.0,2.0,0.0
831e0cfffffffff,2.0,2.0,0.0
831e12fffffffff,2.0,2.0,0.0
831e1bfffffffff,1.0,0.0,0.0
831ea0fffffffff,4.0,0.0,0.0
831ea4fffffffff,2.0,2.0,0.0
831ea5fffffffff,2.0,0.0,0.0
831eb5fffffffff,2.0,0.0,0.0
831ec0fffffffff,5.0,0.0,0.0
831ec1fffffffff,4.0,0.0,0.0
831ec4fffffffff,7.0,0.0,0.0
831ec5fffffffff,2.0,0.0,0.0
831ec9fffffffff,2.0,0.0,0.0
831ecefffffffff,2.0,0.0,0.0
831ee0fffffffff,2.0,2.0,0.0
831ee5fffffffff,2.0,2.0,0.0
831eeafffffffff,4.0,0.0,0.0
831ef0fffffffff,2.0,0.0,0.0
831f31fffffffff,2.0,2.0,0.0
831f93fffffffff,1.0,0.0,0.0
831f98fffffffff,2.0,2.0,0.0
832c14fffffffff,2.0,0.0,0.0
832c2afffffffff,7.0,5.0,0.0
833964fffffffff,4.0,4.0,0.0
833f2dfffffffff,1.0,0.0,0.0
833f74fffffffff,1.0,0.0,0.0
