cell_id,Spatula cyanoptera,Spatula cyanoptera septentrionalium,Spatula cyanoptera [orinoma Group],Spatula cyanoptera cyanoptera
830c51fffffffff,1.0,0.0,0.0,0.0
830c5afffffffff,2.0,0.0,0.0,0.0
830c70fffffffff,2.0,0.0,0.0,0.0
830c73fffffffff,2.0,0.0,0.0,0.0
831252fffffffff,3.0,0.0,0.0,0.0
831256fffffffff,1.0,0.0,0.0,0.0
831258fffffffff,2.0,0.0,0.0,0.0
831259fffffffff,17.0,0.0,0.0,0.0
831272fffffffff,6.0,0.0,0.0,0.0
831280fffffffff,2.0,0.0,0.0,0.0
831284fffffffff,6.0,0.0,0.0,0.0
8312b4fffffffff,2.0,0.0,0.0,0.0
8312c1fffffffff,5.0,0.0,0.0,0.0
8312c2fffffffff,1.0,0.0,0.0,0.0
8312c8fffffffff,2.0,0.0,0.0,0.0
8312c9fffffffff,4.0,0.0,0.0,0.0
8312cafffffffff,2.0,0.0,0.0,0.0
8312ccfffffffff,23.0,0.0,0.0,0.0
8312cdfffffffff,1.0,0.0,0.0,0.0
8312d1fffffffff,6.0,0.0,0.0,0.0
8312d4fffffffff,1.0,0.0,0.0,0.0
8312d6fffffffff,4.0,0.0,0.0,0.0
8312dbfffffffff,1.0,0.0,0.0,0.0
8312ddfffffffff,49.0,0.0,0.0,0.0
8312e1fffffffff,2.0,0.0,0.0,0.0
8312e4fffffffff,2.0,0.0,0.0,0.0
8312eafffffffff,1.0,0.0,0.0,0.0
8312ebfffffffff,2.0,0.0,0.0,0.0
8312ecfffffffff,12.0,0.0,0.0,0.0
831380fffffffff,4.0,0.0,0.0,0.0
831382fffffffff,10.0,0.0,0.0,0.0
831386fffffffff,23.0,0.0,0.0,0.0
83138cfffffffff,1.0,0.0,0.0,0.0
83139efffffffff,3.0,0.0,0.0,0.0
83194efffffffff,3.0,0.0,0.0,0.0
831fabfffffffff,2.0,0.0,0.0,0.0
832600fffffffff,1.0,0.0,0.0,0.0
832601fffffffff,4.0,0.0,0.0,0.0
832603fffffffff,5.0,0.0,0.0,0.0
832605fffffffff,7.0,0.0,0.0,0.0
832608fffffffff,1.0,0.0,0.0,0.0
83260afffffffff,27.0,0.0,0.0,0.0
83260bfffffffff,22.0,0.0,0.0,0.0
83260cfffffffff,1.0,0.0,0.0,0.0
83260efffffffff,6.0,0.0,0.0,0.0
832611fffffffff,2.0,0.0,0.0,0.0
832613fffffffff,3.0,0.0,0.0,0.0
832615fffffffff,1.0,0.0,0.0,0.0
832616fffffffff,2.0,0.0,0.0,0.0
832618fffffffff,7.0,0.0,0.0,0.0
832619fffffffff,4.0,0.0,0.0,0.0
83261cfffffffff,2.0,0.0,0.0,0.0
83261dfffffffff,7.0,0.0,0.0,0.0
832620fffffffff,2.0,0.0,0.0,0.0
832621fffffffff,9.0,0.0,0.0,0.0
832622fffffffff,13.0,0.0,0.0,0.0
832623fffffffff,12.0,0.0,0.0,0.0
832626fffffffff,4.0,0.0,0.0,0.0
83262afffffffff,2.0,0.0,0.0,0.0
83262bfffffffff,4.0,0.0,0.0,0.0
83262cfffffffff,7.0,0.0,0.0,0.0
832634fffffffff,46.0,0.0,0.0,0.0
832636fffffffff,5.0,0.0,0.0,0.0
832640fffffffff,3.0,0.0,0.0,0.0
832642fffffffff,1.0,0.0,0.0,0.0
832643fffffffff,2.0,0.0,0.0,0.0
832646fffffffff,20.0,0.0,0.0,0.0
832648fffffffff,8.0,0.0,0.0,0.0
832649fffffffff,17.0,0.0,0.0,0.0
83264cfffffffff,11.0,0.0,0.0,0.0
83264dfffffffff,17.0,0.0,0.0,0.0
83264efffffffff,6.0,0.0,0.0,0.0
832650fffffffff,10.0,0.0,0.0,0.0
832652fffffffff,27.0,0.0,0.0,0.0
832653fffffffff,35.0,0.0,0.0,0.0
832654fffffffff,8.0,0.0,0.0,0.0
832655fffffffff,60.0,0.0,0.0,0.0
832656fffffffff,38.0,0.0,0.0,0.0
83265afffffffff,4.0,0.0,0.0,0.0
83265bfffffffff,12.0,0.0,0.0,0.0
83265dfffffffff,15.0,0.0,0.0,0.0
832661fffffffff,8.0,0.0,0.0,0.0
832662fffffffff,4.0,0.0,0.0,0.0
832663fffffffff,18.0,0.0,0.0,0.0
832664fffffffff,14.0,0.0,0.0,0.0
832665fffffffff,9.0,0.0,0.0,0.0
832666fffffffff,9.0,0.0,0.0,0.0
83266afffffffff,8.0,0.0,0.0,0.0
83266cfffffffff,4.0,0.0,0.0,0.0
83266dfffffffff,8.0,0.0,0.0,0.0
83266efffffffff,5.0,0.0,0.0,0.0
832671fffffffff,5.0,0.0,0.0,0.0
832672fffffffff,2.0,0.0,0.0,0.0
832674fffffffff,4.0,0.0,0.0,0.0
832680fffffffff,60.0,0.0,0.0,0.0
832681fffffffff,77.0,0.0,0.0,0.0
832682fffffffff,8.0,0.0,0.0,0.0
832683fffffffff,8.0,0.0,0.0,0.0
832684fffffffff,2.0,0.0,0.0,0.0
832685fffffffff,34.0,0.0,0.0,0.0
832688fffffffff,62.0,0.0,0.0,0.0
832689fffffffff,14.0,0.0,0.0,0.0
83268afffffffff,32.0,0.0,0.0,0.0
83268bfffffffff,13.0,0.0,0.0,0.0
83268cfffffffff,112.0,0.0,0.0,0.0
83268dfffffffff,67.0,0.0,0.0,0.0
83268efffffffff,33.0,0.0,0.0,0.0
832690fffffffff,58.0,0.0,0.0,0.0
832692fffffffff,35.0,0.0,0.0,0.0
832694fffffffff,2.0,0.0,0.0,0.0
832695fffffffff,9.0,0.0,0.0,0.0
832696fffffffff,385.0,0.0,0.0,0.0
832698fffffffff,106.0,0.0,0.0,0.0
832699fffffffff,31.0,0.0,0.0,0.0
83269afffffffff,10.0,0.0,0.0,0.0
83269bfffffffff,4.0,0.0,0.0,0.0
83269cfffffffff,84.0,0.0,0.0,0.0
83269dfffffffff,52.0,0.0,0.0,0.0
83269efffffffff,18.0,0.0,0.0,0.0
8326a5fffffffff,2.0,0.0,0.0,0.0
8326a8fffffffff,23.0,0.0,0.0,0.0
8326a9fffffffff,22.0,0.0,0.0,0.0
8326aafffffffff,101.0,0.0,0.0,0.0
8326abfffffffff,2.0,0.0,0.0,0.0
