cell_id,Leptopterus chabert,Leptopterus chabert chabert,Leptopterus chabert schistocercus
82a237fffffffff,15.0,14.0,0.0
82a38ffffffffff,2.0,2.0,0.0
82a39ffffffffff,25.0,0.0,25.0
