cell_id,Sporophila americana,Sporophila americana americana/dispar,Sporophila americana murallae
8466ce1ffffffff,5.0,0.0,5.0
8466dc3ffffffff,1.0,0.0,1.0
8466de1ffffffff,1.0,0.0,1.0
8466de7ffffffff,1.0,0.0,1.0
848162bffffffff,2.0,0.0,0.0
848a235ffffffff,2.0,0.0,0.0
848a451ffffffff,3.0,0.0,3.0
848a459ffffffff,13.0,0.0,13.0
848a45dffffffff,12.0,0.0,12.0
848a699ffffffff,2.0,0.0,2.0
848a6d7ffffffff,4.0,0.0,4.0
848a70bffffffff,2.0,0.0,2.0
848b493ffffffff,2.0,0.0,2.0
848b52dffffffff,2.0,0.0,0.0
848b693ffffffff,4.0,0.0,4.0
848b699ffffffff,2.0,0.0,2.0
848e651ffffffff,4.0,0.0,4.0
848e65bffffffff,1.0,0.0,1.0
848f401ffffffff,18.0,0.0,18.0
848f455ffffffff,2.0,0.0,2.0
848f4a7ffffffff,2.0,0.0,2.0
848f4b3ffffffff,4.0,0.0,4.0
848f4b5ffffffff,2.0,0.0,2.0
848f6b1ffffffff,1.0,0.0,1.0
848f705ffffffff,1.0,0.0,1.0
848f721ffffffff,2.0,0.0,2.0
848f729ffffffff,8.0,0.0,8.0
848f72bffffffff,4.0,0.0,4.0
