cell_id,Tyto javanica,Tyto javanica [javanica Group],Tyto javanica crassirostris
833c0afffffffff,8.0,0.0,0.0
833c1dfffffffff,2.0,0.0,0.0
833c58fffffffff,10.0,0.0,0.0
833c8dfffffffff,3.0,0.0,0.0
833ca9fffffffff,2.0,0.0,0.0
833cabfffffffff,3.0,0.0,0.0
833cb1fffffffff,2.0,0.0,0.0
833ce3fffffffff,4.0,0.0,0.0
833ce4fffffffff,2.0,0.0,0.0
833cf1fffffffff,1.0,0.0,0.0
833cf2fffffffff,4.0,0.0,0.0
833cf4fffffffff,3.0,0.0,0.0
833cf6fffffffff,2.0,0.0,0.0
833d34fffffffff,1.0,0.0,0.0
833d36fffffffff,2.0,0.0,0.0
833da6fffffffff,2.0,0.0,0.0
833db1fffffffff,2.0,0.0,0.0
8342ccfffffffff,1.0,0.0,0.0
8342d9fffffffff,1.0,0.0,0.0
8342eefffffffff,2.0,0.0,0.0
836006fffffffff,4.0,0.0,0.0
836008fffffffff,1.0,0.0,0.0
836015fffffffff,10.0,0.0,0.0
836022fffffffff,16.0,0.0,0.0
836031fffffffff,13.0,0.0,0.0
83608bfffffffff,3.0,1.0,0.0
83608dfffffffff,3.0,0.0,0.0
8360a9fffffffff,2.0,0.0,0.0
8360adfffffffff,2.0,0.0,0.0
8360b4fffffffff,3.0,0.0,0.0
83648cfffffffff,1.0,0.0,0.0
836502fffffffff,2.0,0.0,0.0
836504fffffffff,1.0,0.0,0.0
83650efffffffff,7.0,0.0,0.0
836518fffffffff,2.0,0.0,0.0
83651dfffffffff,8.0,0.0,0.0
836520fffffffff,12.0,0.0,0.0
836522fffffffff,2.0,2.0,0.0
836526fffffffff,19.0,0.0,0.0
83659cfffffffff,3.0,2.0,0.0
836815fffffffff,1.0,0.0,0.0
8372dafffffffff,7.0,0.0,0.0
839480fffffffff,2.0,2.0,0.0
83948dfffffffff,2.0,0.0,0.0
839a15fffffffff,2.0,0.0,0.0
839c23fffffffff,4.0,0.0,0.0
839d0bfffffffff,2.0,0.0,0.0
839d46fffffffff,1.0,0.0,0.0
839d68fffffffff,1.0,0.0,0.0
839e02fffffffff,1.0,0.0,0.0
839e11fffffffff,2.0,1.0,0.0
83b8a4fffffffff,2.0,0.0,0.0
83b916fffffffff,4.0,0.0,0.0
83b990fffffffff,2.0,0.0,0.0
83bb5efffffffff,29.0,7.0,0.0
83be0afffffffff,2.0,2.0,0.0
83be18fffffffff,3.0,3.0,0.0
83be40fffffffff,2.0,2.0,0.0
83be41fffffffff,3.0,3.0,0.0
83be46fffffffff,1.0,0.0,0.0
83be4afffffffff,3.0,1.0,0.0
83be4cfffffffff,1.0,1.0,0.0
83be50fffffffff,2.0,0.0,0.0
83be53fffffffff,2.0,0.0,0.0
83be56fffffffff,2.0,0.0,0.0
83be61fffffffff,2.0,2.0,0.0
83be63fffffffff,10.0,3.0,0.0
83be66fffffffff,2.0,2.0,0.0
83be6efffffffff,2.0,1.0,0.0
83be72fffffffff,19.0,5.0,0.0
83bee0fffffffff,2.0,2.0,0.0
83bee1fffffffff,3.0,3.0,0.0
83bee4fffffffff,2.0,0.0,0.0
