cell_id,Taeniopygia guttata,Taeniopygia guttata guttata,Taeniopygia guttata castanotis
846142bffffffff,1.0,0.0,0.0
84945a5ffffffff,3.0,0.0,0.0
84945c7ffffffff,2.0,0.0,0.0
84945d1ffffffff,2.0,0.0,0.0
8494801ffffffff,11.0,0.0,2.0
8494803ffffffff,242.0,0.0,88.0
8494807ffffffff,11.0,0.0,0.0
849480bffffffff,39.0,0.0,9.0
8494811ffffffff,127.0,0.0,42.0
8494815ffffffff,8.0,0.0,6.0
8494819ffffffff,3.0,0.0,1.0
849481bffffffff,2.0,0.0,2.0
849481dffffffff,323.0,0.0,137.0
8494821ffffffff,2.0,0.0,2.0
8494825ffffffff,14.0,0.0,7.0
849482bffffffff,10.0,0.0,2.0
849483bffffffff,14.0,0.0,9.0
8494855ffffffff,2.0,0.0,0.0
849485bffffffff,31.0,0.0,1.0
8494893ffffffff,14.0,0.0,0.0
8494897ffffffff,2.0,0.0,2.0
8494899ffffffff,8.0,0.0,2.0
84948c1ffffffff,3.0,0.0,0.0
84948c3ffffffff,2.0,0.0,0.0
84948c7ffffffff,4.0,0.0,0.0
84948cbffffffff,8.0,0.0,1.0
84948cdffffffff,2.0,0.0,2.0
84948d1ffffffff,2.0,0.0,0.0
84948d9ffffffff,15.0,0.0,0.0
84948e5ffffffff,6.0,0.0,4.0
84948edffffffff,34.0,0.0,27.0
8494901ffffffff,1.0,0.0,0.0
8494903ffffffff,16.0,0.0,2.0
8494911ffffffff,18.0,0.0,11.0
8494915ffffffff,4.0,0.0,0.0
8494917ffffffff,2.0,0.0,2.0
8494921ffffffff,1.0,0.0,0.0
8494923ffffffff,4.0,0.0,0.0
8494925ffffffff,2.0,0.0,0.0
849492dffffffff,1.0,0.0,0.0
8494963ffffffff,19.0,0.0,0.0
8494965ffffffff,1.0,0.0,0.0
8494967ffffffff,5.0,0.0,2.0
8494aa7ffffffff,29.0,0.0,6.0
8494ab7ffffffff,2.0,0.0,0.0
8494ae3ffffffff,17.0,0.0,6.0
