cell_id,Psilopogon chrysopogon,Psilopogon chrysopogon chrysopogon/laetus,Psilopogon chrysopogon chrysopsis
846414dffffffff,2.0,2.0,0.0
8464225ffffffff,9.0,5.0,0.0
8464319ffffffff,54.0,36.0,0.0
846431dffffffff,4.0,4.0,0.0
846433dffffffff,2.0,2.0,0.0
8464343ffffffff,152.0,109.0,0.0
846434bffffffff,7.0,3.0,0.0
8464353ffffffff,4.0,4.0,0.0
8464357ffffffff,2.0,2.0,0.0
8464359ffffffff,33.0,28.0,0.0
846435bffffffff,7.0,7.0,0.0
8465001ffffffff,2.0,2.0,0.0
8465005ffffffff,189.0,121.0,0.0
8465009ffffffff,43.0,12.0,0.0
846500bffffffff,221.0,106.0,0.0
8465019ffffffff,1.0,1.0,0.0
846501dffffffff,6.0,2.0,0.0
8465021ffffffff,11.0,0.0,0.0
8465027ffffffff,7.0,0.0,0.0
8465029ffffffff,2.0,0.0,0.0
846502bffffffff,112.0,3.0,0.0
846502dffffffff,4.0,3.0,0.0
8465033ffffffff,20.0,0.0,0.0
8465037ffffffff,4.0,0.0,0.0
8465039ffffffff,1.0,0.0,0.0
846503bffffffff,3.0,0.0,0.0
8465043ffffffff,2.0,2.0,0.0
8465047ffffffff,1.0,1.0,0.0
846504bffffffff,4.0,4.0,0.0
8465051ffffffff,10.0,3.0,0.0
8465055ffffffff,377.0,103.0,0.0
8465057ffffffff,76.0,30.0,0.0
8465059ffffffff,3.0,0.0,0.0
846505dffffffff,49.0,29.0,0.0
8465063ffffffff,14.0,6.0,0.0
8465099ffffffff,4.0,3.0,0.0
846509bffffffff,1.0,0.0,0.0
8465181ffffffff,3.0,0.0,0.0
8465183ffffffff,60.0,23.0,0.0
8465189ffffffff,21.0,10.0,0.0
846518bffffffff,36.0,15.0,0.0
8465195ffffffff,3.0,0.0,0.0
84651b1ffffffff,18.0,2.0,0.0
84651b3ffffffff,2.0,0.0,0.0
84651b7ffffffff,3.0,0.0,0.0
84651b9ffffffff,7.0,1.0,0.0
84651bbffffffff,2.0,0.0,0.0
84651c1ffffffff,74.0,39.0,0.0
84651c3ffffffff,11.0,10.0,0.0
84651c5ffffffff,1.0,0.0,0.0
84651c7ffffffff,3.0,1.0,0.0
84651c9ffffffff,9.0,1.0,0.0
84651cbffffffff,19.0,7.0,0.0
84651cdffffffff,163.0,97.0,0.0
84651d7ffffffff,3.0,0.0,0.0
84651d9ffffffff,21.0,0.0,0.0
84651ddffffffff,2.0,0.0,0.0
8465223ffffffff,7.0,7.0,0.0
8465227ffffffff,4.0,0.0,0.0
8465229ffffffff,5.0,5.0,0.0
8465237ffffffff,13.0,3.0,0.0
8465257ffffffff,5.0,3.0,0.0
84652d9ffffffff,21.0,21.0,0.0
8465545ffffffff,2.0,0.0,0.0
846556bffffffff,6.0,1.0,0.0
8468025ffffffff,109.0,0.0,107.0
8468103ffffffff,4.0,0.0,0.0
8468107ffffffff,4.0,0.0,4.0
8468111ffffffff,36.0,0.0,11.0
8468113ffffffff,10.0,0.0,3.0
8468115ffffffff,19.0,0.0,18.0
8468119ffffffff,131.0,0.0,114.0
846811bffffffff,160.0,0.0,139.0
846811dffffffff,1.0,0.0,1.0
8468123ffffffff,45.0,0.0,42.0
8468125ffffffff,3.0,0.0,1.0
8468129ffffffff,2.0,0.0,2.0
846812bffffffff,4.0,0.0,4.0
8468139ffffffff,2.0,0.0,1.0
8468157ffffffff,3.0,0.0,3.0
8468185ffffffff,52.0,0.0,45.0
8468189ffffffff,8.0,0.0,4.0
846818bffffffff,3.0,0.0,3.0
846818dffffffff,342.0,0.0,261.0
846819dffffffff,6.0,0.0,5.0
84681a9ffffffff,70.0,0.0,52.0
84681c3ffffffff,53.0,0.0,44.0
84681c5ffffffff,21.0,0.0,18.0
84681e3ffffffff,2.0,0.0,0.0
84681edffffffff,30.0,0.0,18.0
8468985ffffffff,7.0,0.0,3.0
84689a1ffffffff,2.0,0.0,0.0
84689a3ffffffff,1.0,0.0,0.0
84689a9ffffffff,1.0,0.0,1.0
8468a1dffffffff,2.0,0.0,2.0
8468ab5ffffffff,1.0,0.0,1.0
8468ab7ffffffff,2.0,0.0,2.0
8468ac9ffffffff,48.0,0.0,43.0
8468acdffffffff,2.0,0.0,2.0
8468b09ffffffff,1.0,0.0,0.0
84699a5ffffffff,2.0,0.0,0.0
848c1a7ffffffff,22.0,2.0,0.0
848c1a9ffffffff,1.0,0.0,0.0
848c961ffffffff,49.0,0.0,47.0
848c965ffffffff,2.0,0.0,2.0
848c967ffffffff,18.0,0.0,15.0
848cad5ffffffff,2.0,0.0,0.0
848cb2bffffffff,3.0,0.0,0.0
848cd3dffffffff,2.0,2.0,0.0
848cd55ffffffff,17.0,11.0,0.0
848cd5dffffffff,10.0,4.0,0.0
848cd61ffffffff,3.0,0.0,0.0
