cell_id,Setophaga pitiayumi,Setophaga pitiayumi nigrilora,Setophaga pitiayumi pulchra,Setophaga pitiayumi insularis,Setophaga pitiayumi graysoni,Setophaga pitiayumi inornata,Setophaga pitiayumi cirrha,Setophaga pitiayumi [pitiayumi Group]
824527fffffffff,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82452ffffffffff,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824537fffffffff,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824807fffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82480ffffffffff,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824817fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82481ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824837fffffffff,2277.0,0.0,149.0,52.0,0.0,0.0,0.0,0.0
824887fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82488ffffffffff,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824897fffffffff,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8248a7fffffffff,1070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8248b7fffffffff,746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8248e7fffffffff,51.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82490ffffffffff,50.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0
824987fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82498ffffffffff,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
824997fffffffff,1066.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
82499ffffffffff,561.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
8249a7fffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8249affffffffff,1207.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0
8249b7fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f07fffffffff,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f0ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f2ffffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f47fffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f4ffffffffff,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f57fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f5ffffffffff,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f6ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f77fffffffff,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826607fffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82660ffffffffff,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
826617fffffffff,215.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0
82661ffffffffff,3947.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
826627fffffffff,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82662ffffffffff,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
