cell_id,Trogon melanurus,Trogon melanurus macroura,Trogon melanurus melanurus/eumorphus
825f07fffffffff,73.0,0.0,0.0
825f0ffffffffff,12.0,0.0,0.0
825f17fffffffff,62.0,0.0,0.0
825f1ffffffffff,15.0,0.0,0.0
825f2ffffffffff,267.0,0.0,0.0
825f47fffffffff,5.0,0.0,0.0
825f57fffffffff,6.0,0.0,0.0
825f6ffffffffff,5.0,0.0,0.0
825f77fffffffff,27.0,0.0,0.0
826607fffffffff,48.0,0.0,0.0
82660ffffffffff,209.0,4.0,0.0
826617fffffffff,3560.0,281.0,0.0
82661ffffffffff,177.0,0.0,0.0
826647fffffffff,287.0,0.0,2.0
82665ffffffffff,99.0,0.0,0.0
82666ffffffffff,6.0,0.0,0.0
8266a7fffffffff,2839.0,276.0,0.0
8266affffffffff,6.0,0.0,0.0
8266c7fffffffff,123.0,0.0,0.0
8266cffffffffff,64.0,0.0,0.0
8266d7fffffffff,3.0,0.0,0.0
8266dffffffffff,842.0,0.0,93.0
8266effffffffff,442.0,0.0,3.0
8266f7fffffffff,22.0,0.0,0.0
828047fffffffff,172.0,0.0,1.0
82804ffffffffff,28.0,0.0,0.0
828067fffffffff,46.0,0.0,0.0
82806ffffffffff,5.0,0.0,0.0
828077fffffffff,7.0,0.0,2.0
828147fffffffff,100.0,0.0,0.0
82814ffffffffff,123.0,0.0,0.0
82815ffffffffff,43.0,0.0,0.0
828167fffffffff,44.0,0.0,0.0
828177fffffffff,68.0,0.0,0.0
828a07fffffffff,64.0,0.0,9.0
828a17fffffffff,50.0,0.0,1.0
828a1ffffffffff,21.0,0.0,3.0
828a27fffffffff,25.0,0.0,1.0
828a2ffffffffff,2.0,0.0,0.0
828a37fffffffff,9.0,0.0,0.0
828a47fffffffff,187.0,0.0,0.0
828a57fffffffff,19.0,0.0,0.0
828a5ffffffffff,1.0,0.0,1.0
828a6ffffffffff,391.0,0.0,0.0
828a77fffffffff,13.0,0.0,0.0
828a87fffffffff,51.0,0.0,2.0
828a8ffffffffff,10.0,0.0,0.0
828a97fffffffff,12.0,0.0,0.0
828a9ffffffffff,28.0,0.0,0.0
828aaffffffffff,157.0,0.0,0.0
828ab7fffffffff,1.0,0.0,0.0
828adffffffffff,3.0,0.0,0.0
828ae7fffffffff,3.0,0.0,0.0
828af7fffffffff,873.0,0.0,71.0
828b07fffffffff,7.0,0.0,0.0
828b0ffffffffff,70.0,0.0,0.0
828b17fffffffff,7.0,0.0,0.0
828b1ffffffffff,11.0,0.0,0.0
828b27fffffffff,102.0,0.0,0.0
828b2ffffffffff,55.0,0.0,0.0
828b37fffffffff,1.0,0.0,0.0
828b47fffffffff,1419.0,0.0,0.0
828b4ffffffffff,32.0,0.0,0.0
828b57fffffffff,125.0,0.0,2.0
828b5ffffffffff,102.0,0.0,11.0
828b67fffffffff,1270.0,0.0,0.0
828b6ffffffffff,175.0,0.0,0.0
828b77fffffffff,201.0,0.0,0.0
828b87fffffffff,60.0,0.0,2.0
828b8ffffffffff,24.0,0.0,0.0
828b9ffffffffff,436.0,0.0,6.0
828ba7fffffffff,78.0,0.0,2.0
828e67fffffffff,5.0,0.0,0.0
828f47fffffffff,42.0,0.0,0.0
828f4ffffffffff,134.0,0.0,0.0
828f67fffffffff,220.0,0.0,0.0
828f6ffffffffff,134.0,0.0,6.0
828f77fffffffff,33.0,0.0,0.0
82a85ffffffffff,2.0,0.0,1.0
82a8cffffffffff,12.0,0.0,11.0
