cell_id,Luscinia svecica,Luscinia svecica [svecica Group],Luscinia svecica azuricollis,Luscinia svecica cyanecula/namnetum,Luscinia svecica magna
820127fffffffff,68.0,8.0,0.0,0.0,0.0
820137fffffffff,271.0,50.0,0.0,0.0,0.0
8204cffffffffff,2.0,0.0,0.0,0.0,0.0
82058ffffffffff,16.0,16.0,0.0,0.0,0.0
820817fffffffff,81.0,5.0,0.0,0.0,0.0
82081ffffffffff,31.0,0.0,0.0,0.0,0.0
82082ffffffffff,1.0,0.0,0.0,0.0,0.0
820837fffffffff,1.0,0.0,0.0,0.0,0.0
820887fffffffff,30.0,3.0,0.0,0.0,0.0
82088ffffffffff,11.0,0.0,0.0,0.0,0.0
820897fffffffff,25.0,0.0,0.0,0.0,0.0
82089ffffffffff,26.0,12.0,0.0,0.0,0.0
8208a7fffffffff,8.0,2.0,0.0,0.0,0.0
8208b7fffffffff,10.0,0.0,0.0,0.0,0.0
8208c7fffffffff,10.0,2.0,0.0,0.0,0.0
8208cffffffffff,97.0,24.0,0.0,0.0,0.0
8208d7fffffffff,22.0,3.0,0.0,0.0,0.0
8208dffffffffff,3.0,0.0,0.0,0.0,0.0
8208e7fffffffff,27.0,0.0,0.0,0.0,0.0
8208effffffffff,114.0,2.0,0.0,0.0,0.0
8208f7fffffffff,2.0,0.0,0.0,0.0,0.0
82094ffffffffff,4.0,2.0,0.0,0.0,0.0
82095ffffffffff,20.0,0.0,0.0,0.0,0.0
820987fffffffff,1.0,0.0,0.0,0.0,0.0
82098ffffffffff,107.0,24.0,0.0,0.0,0.0
820997fffffffff,3.0,0.0,0.0,0.0,0.0
82099ffffffffff,5.0,2.0,0.0,0.0,0.0
8209a7fffffffff,75.0,21.0,0.0,0.0,0.0
820a37fffffffff,3.0,0.0,0.0,0.0,0.0
820b97fffffffff,2.0,0.0,0.0,0.0,0.0
820bb7fffffffff,3.0,3.0,0.0,0.0,0.0
820c17fffffffff,1378.0,0.0,0.0,0.0,0.0
820c37fffffffff,402.0,0.0,0.0,0.0,0.0
820ca7fffffffff,607.0,0.0,0.0,0.0,0.0
820d07fffffffff,9.0,0.0,0.0,0.0,0.0
820d0ffffffffff,36.0,0.0,0.0,0.0,0.0
820d57fffffffff,2.0,0.0,0.0,0.0,0.0
820d77fffffffff,9.0,0.0,0.0,0.0,0.0
820d9ffffffffff,2.0,0.0,0.0,0.0,0.0
821017fffffffff,6.0,0.0,0.0,0.0,0.0
821037fffffffff,2.0,0.0,0.0,0.0,0.0
82108ffffffffff,2.0,0.0,0.0,0.0,0.0
8210a7fffffffff,15.0,0.0,0.0,0.0,0.0
8210affffffffff,1.0,0.0,0.0,0.0,0.0
