cell_id,Laterallus albigularis,Laterallus albigularis albigularis/cerdaleus,Laterallus albigularis cinereiceps
826607fffffffff,156.0,2.0,0.0
82660ffffffffff,224.0,5.0,0.0
826617fffffffff,467.0,31.0,0.0
82661ffffffffff,733.0,27.0,0.0
826627fffffffff,36.0,2.0,0.0
82662ffffffffff,15.0,0.0,0.0
826637fffffffff,39.0,0.0,0.0
826687fffffffff,3.0,0.0,0.0
8266a7fffffffff,4802.0,322.0,205.0
8266b7fffffffff,4462.0,7.0,37.0
8266c7fffffffff,210.0,0.0,0.0
8266d7fffffffff,1399.0,127.0,0.0
8266e7fffffffff,524.0,9.0,0.0
8266f7fffffffff,668.0,10.0,0.0
826797fffffffff,56.0,0.0,0.0
82679ffffffffff,1768.0,0.0,122.0
826d67fffffffff,12.0,0.0,0.0
826d6ffffffffff,8013.0,1.0,2.0
828f0ffffffffff,247.0,21.0,0.0
828f27fffffffff,4.0,0.0,0.0
828f2ffffffffff,299.0,9.0,0.0
