cell_id,Phibalura flavirostris,Phibalura flavirostris boliviana,Phibalura flavirostris flavirostris
8481303ffffffff,2.0,0.0,0.0
8481307ffffffff,3.0,0.0,0.0
8481339ffffffff,14.0,0.0,1.0
8481363ffffffff,13.0,0.0,2.0
848b74bffffffff,1.0,0.0,0.0
84a8067ffffffff,2.0,0.0,2.0
84a8811ffffffff,3.0,0.0,3.0
84a882dffffffff,3.0,0.0,3.0
84a8849ffffffff,1.0,0.0,1.0
84a8a3dffffffff,1.0,0.0,1.0
84a8ac9ffffffff,2.0,0.0,2.0
84a9501ffffffff,1.0,0.0,0.0
84a953bffffffff,1.0,0.0,0.0
84a9557ffffffff,3.0,0.0,0.0
84a958dffffffff,1.0,0.0,0.0
