cell_id,Pezoporus wallicus,Pezoporus wallicus flaviventris,Pezoporus wallicus wallicus
82b867fffffffff,2.0,2.0,0.0
82b95ffffffffff,1.0,1.0,0.0
82be0ffffffffff,216.0,0.0,60.0
82be1ffffffffff,14.0,0.0,4.0
82be2ffffffffff,81.0,0.0,21.0
82be77fffffffff,65.0,0.0,40.0
82be8ffffffffff,187.0,0.0,61.0
82beaffffffffff,27.0,0.0,12.0
82bf4ffffffffff,87.0,0.0,37.0
82bf6ffffffffff,41.0,0.0,17.0
82d897fffffffff,10.0,0.0,7.0
82d8b7fffffffff,90.0,0.0,31.0
