cell_id,Anthoscopus caroli,Anthoscopus caroli [ansorgei Group],Anthoscopus caroli sylviella/sharpei,Anthoscopus caroli roccatii,Anthoscopus caroli rankinei,Anthoscopus caroli [caroli Group]
836ac0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836ac3fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
836ac8fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
836acafffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836acdfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
836acefffffffff,67.0,0.0,0.0,0.0,0.0,0.0
836ad8fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
836adcfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
836addfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
836adefffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836aeafffffffff,6.0,0.0,0.0,0.0,0.0,0.0
837a48fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
837a60fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
837a61fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
837a65fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
837a68fffffffff,35.0,0.0,4.0,0.0,0.0,0.0
837a6dfffffffff,46.0,0.0,17.0,0.0,0.0,0.0
837b4dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
837b6bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8382a0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838333fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
83838afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839600fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
839601fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
839602fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
839603fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
839604fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
839606fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839608fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839609fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83960dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83960efffffffff,5.0,0.0,0.0,0.0,0.0,0.0
839615fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
839623fffffffff,10.0,0.0,0.0,0.0,0.0,2.0
839624fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
839628fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83962afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83962cfffffffff,38.0,0.0,0.0,0.0,0.0,8.0
83962efffffffff,3.0,0.0,0.0,0.0,0.0,3.0
839632fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839636fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
839672fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839674fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839690fffffffff,15.0,0.0,2.0,0.0,0.0,0.0
839692fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
839693fffffffff,8.0,0.0,3.0,0.0,0.0,0.0
8396a5fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8396adfffffffff,2.0,0.0,0.0,0.0,0.0,2.0
8396b0fffffffff,31.0,2.0,1.0,8.0,0.0,2.0
8396b1fffffffff,50.0,3.0,9.0,0.0,0.0,0.0
8396b2fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8396b4fffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8396b5fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8396b6fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
839701fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839702fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
839703fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
839706fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
