cell_id,Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax [pyrrhocorax Group],Pyrrhocorax pyrrhocorax baileyi
821087fffffffff,1.0,0.0,0.0
8215b7fffffffff,4.0,0.0,0.0
821807fffffffff,311.0,0.0,0.0
82180ffffffffff,83.0,0.0,0.0
821827fffffffff,80.0,0.0,0.0
82182ffffffffff,296.0,0.0,0.0
821847fffffffff,53.0,0.0,0.0
82184ffffffffff,587.0,0.0,0.0
82185ffffffffff,346.0,0.0,0.0
821867fffffffff,16.0,0.0,0.0
821877fffffffff,538.0,20.0,0.0
82190ffffffffff,76.0,6.0,0.0
821957fffffffff,528.0,0.0,0.0
82195ffffffffff,68.0,0.0,0.0
821e87fffffffff,29.0,0.0,0.0
821e97fffffffff,5.0,0.0,0.0
821e9ffffffffff,12.0,0.0,0.0
821ea7fffffffff,2.0,0.0,0.0
821ed7fffffffff,2.0,0.0,0.0
821f97fffffffff,37.0,0.0,0.0
821f9ffffffffff,145.0,0.0,0.0
822017fffffffff,9.0,0.0,0.0
82201ffffffffff,22.0,0.0,0.0
82204ffffffffff,54.0,20.0,0.0
82205ffffffffff,2.0,0.0,0.0
822087fffffffff,27.0,0.0,0.0
82208ffffffffff,51.0,0.0,0.0
82209ffffffffff,19.0,0.0,0.0
8220a7fffffffff,11.0,0.0,0.0
8220affffffffff,3.0,0.0,0.0
8220c7fffffffff,9.0,0.0,0.0
8220e7fffffffff,103.0,28.0,0.0
8220effffffffff,5.0,0.0,0.0
8220f7fffffffff,52.0,0.0,0.0
822407fffffffff,53.0,0.0,0.0
82240ffffffffff,17.0,0.0,0.0
82241ffffffffff,6.0,0.0,0.0
822427fffffffff,140.0,0.0,0.0
82242ffffffffff,188.0,0.0,0.0
822437fffffffff,13.0,0.0,0.0
822447fffffffff,14.0,0.0,0.0
82244ffffffffff,12.0,0.0,0.0
822467fffffffff,282.0,0.0,0.0
82246ffffffffff,14.0,0.0,0.0
822477fffffffff,143.0,0.0,0.0
822487fffffffff,27.0,1.0,0.0
82248ffffffffff,197.0,19.0,0.0
822497fffffffff,5.0,0.0,0.0
82249ffffffffff,55.0,3.0,0.0
8224affffffffff,2.0,0.0,0.0
8224c7fffffffff,23.0,0.0,0.0
8224d7fffffffff,39.0,4.0,0.0
8224dffffffffff,3.0,0.0,0.0
8224effffffffff,1.0,0.0,0.0
82250ffffffffff,14.0,0.0,0.0
822517fffffffff,179.0,0.0,0.0
82251ffffffffff,6.0,0.0,0.0
822547fffffffff,1.0,0.0,0.0
822557fffffffff,10.0,0.0,0.0
82255ffffffffff,431.0,0.0,0.0
8225affffffffff,8.0,0.0,0.0
8225b7fffffffff,5.0,0.0,0.0
822c07fffffffff,449.0,0.0,0.0
822c0ffffffffff,67.0,0.0,0.0
822c17fffffffff,63.0,0.0,0.0
822c1ffffffffff,31.0,0.0,0.0
822c27fffffffff,73.0,0.0,0.0
822c2ffffffffff,399.0,0.0,0.0
822c37fffffffff,49.0,0.0,0.0
822c77fffffffff,32.0,0.0,0.0
822c87fffffffff,4.0,0.0,0.0
822c8ffffffffff,25.0,0.0,0.0
822c9ffffffffff,2.0,0.0,0.0
822caffffffffff,40.0,0.0,0.0
822cc7fffffffff,150.0,0.0,0.0
822ccffffffffff,45.0,0.0,0.0
822cd7fffffffff,95.0,0.0,0.0
822cdffffffffff,57.0,0.0,0.0
822ce7fffffffff,47.0,0.0,0.0
822cf7fffffffff,349.0,0.0,0.0
822d07fffffffff,5.0,0.0,0.0
822d17fffffffff,310.0,0.0,0.0
822d1ffffffffff,29.0,0.0,0.0
822d37fffffffff,22.0,0.0,0.0
822d87fffffffff,1.0,0.0,0.0
822daffffffffff,29.0,0.0,0.0
823037fffffffff,8.0,0.0,0.0
82311ffffffffff,3.0,0.0,0.0
823187fffffffff,176.0,0.0,0.0
823197fffffffff,15.0,0.0,0.0
8231affffffffff,13.0,0.0,0.0
8231b7fffffffff,2.0,0.0,0.0
823447fffffffff,53.0,0.0,0.0
823827fffffffff,676.0,0.0,0.0
823837fffffffff,39.0,2.0,0.0
823877fffffffff,1.0,0.0,0.0
823907fffffffff,684.0,0.0,0.0
82390ffffffffff,1361.0,0.0,0.0
823917fffffffff,1732.0,11.0,0.0
82391ffffffffff,1959.0,0.0,0.0
823927fffffffff,292.0,0.0,0.0
82392ffffffffff,3560.0,0.0,0.0
823937fffffffff,77.0,0.0,0.0
823947fffffffff,63.0,0.0,0.0
823957fffffffff,442.0,0.0,0.0
823967fffffffff,917.0,0.0,0.0
82396ffffffffff,61.0,0.0,0.0
823977fffffffff,5227.0,0.0,0.0
823987fffffffff,472.0,50.0,0.0
82398ffffffffff,74.0,4.0,0.0
82399ffffffffff,2.0,2.0,0.0
8239affffffffff,2.0,0.0,0.0
823c07fffffffff,107.0,0.0,0.0
823c0ffffffffff,1019.0,0.0,0.0
823c37fffffffff,98.0,0.0,0.0
823c47fffffffff,54.0,0.0,0.0
823c4ffffffffff,1.0,0.0,0.0
823c57fffffffff,340.0,0.0,0.0
823c5ffffffffff,2.0,0.0,0.0
823c67fffffffff,6.0,0.0,0.0
823c6ffffffffff,331.0,10.0,0.0
823c77fffffffff,71.0,0.0,0.0
823ce7fffffffff,307.0,0.0,0.0
823d07fffffffff,1252.0,0.0,0.0
823d17fffffffff,191.0,0.0,0.0
823d1ffffffffff,77.0,0.0,0.0
823d27fffffffff,332.0,0.0,0.0
823d37fffffffff,170.0,0.0,0.0
823d4ffffffffff,6.0,4.0,0.0
823d5ffffffffff,2.0,0.0,0.0
823daffffffffff,14.0,0.0,0.0
823f67fffffffff,98.0,0.0,0.0
