cell_id,Sphenopsis melanotis,Sphenopsis melanotis [melanotis Group],Sphenopsis melanotis ochracea,Sphenopsis melanotis piurae/macrophrys
836608fffffffff,23.0,0.0,0.0,0.0
83660bfffffffff,2.0,0.0,0.0,0.0
83660cfffffffff,10.0,0.0,0.0,0.0
83660dfffffffff,12.0,0.0,0.0,0.0
836619fffffffff,37.0,0.0,0.0,0.0
83661bfffffffff,51.0,0.0,0.0,0.0
8366c4fffffffff,3.0,0.0,0.0,0.0
8366c6fffffffff,21.0,0.0,0.0,0.0
8366d0fffffffff,17.0,0.0,9.0,0.0
8366d1fffffffff,2.0,0.0,0.0,0.0
8366d3fffffffff,512.0,0.0,285.0,0.0
8366defffffffff,1962.0,398.0,0.0,0.0
8366e0fffffffff,538.0,56.0,0.0,0.0
8366e4fffffffff,145.0,0.0,0.0,0.0
8366e5fffffffff,32.0,0.0,0.0,0.0
8366e6fffffffff,2109.0,84.0,0.0,0.0
8366f1fffffffff,13.0,0.0,0.0,0.0
8366f5fffffffff,28.0,0.0,0.0,0.0
838b20fffffffff,2.0,0.0,0.0,0.0
838b21fffffffff,12.0,0.0,0.0,0.0
838b2cfffffffff,37.0,1.0,0.0,0.0
838b2dfffffffff,10.0,0.0,0.0,0.0
838b61fffffffff,682.0,38.0,0.0,0.0
838b6cfffffffff,17.0,1.0,0.0,0.0
838b75fffffffff,39.0,0.0,0.0,0.0
838e64fffffffff,63.0,0.0,0.0,0.0
838e65fffffffff,33.0,0.0,0.0,0.0
838e6cfffffffff,2.0,0.0,0.0,0.0
838f0dfffffffff,12.0,0.0,0.0,10.0
838f2dfffffffff,5.0,0.0,0.0,0.0
838f42fffffffff,16.0,0.0,0.0,0.0
838f46fffffffff,43.0,0.0,0.0,0.0
838f4afffffffff,31.0,0.0,0.0,0.0
838f50fffffffff,13.0,0.0,0.0,0.0
838f51fffffffff,39.0,0.0,0.0,0.0
838f54fffffffff,25.0,0.0,0.0,0.0
838f55fffffffff,14.0,0.0,0.0,0.0
838f59fffffffff,16.0,0.0,0.0,0.0
838f5cfffffffff,1.0,0.0,0.0,0.0
838f70fffffffff,2.0,0.0,0.0,0.0
838f72fffffffff,40.0,0.0,0.0,32.0
838f73fffffffff,52.0,0.0,0.0,0.0
838f74fffffffff,1.0,0.0,0.0,0.0
838f76fffffffff,1.0,0.0,0.0,0.0
83b321fffffffff,1.0,0.0,0.0,0.0
83b324fffffffff,6.0,0.0,0.0,0.0
83b325fffffffff,13.0,1.0,0.0,0.0
