cell_id,Turdus rubrocanus,Turdus rubrocanus rubrocanus,Turdus rubrocanus gouldii
832469fffffffff,4.0,0.0,0.0
833192fffffffff,6.0,0.0,0.0
8331aafffffffff,2.0,0.0,0.0
833c0afffffffff,15.0,0.0,0.0
833c1dfffffffff,30.0,0.0,0.0
833c52fffffffff,18.0,0.0,0.0
833c58fffffffff,14.0,0.0,0.0
833c59fffffffff,2.0,0.0,0.0
833c5cfffffffff,2.0,0.0,0.0
833cc0fffffffff,2.0,0.0,0.0
833d04fffffffff,6.0,0.0,0.0
833d33fffffffff,3.0,0.0,0.0
833dadfffffffff,3.0,0.0,0.0
834089fffffffff,3.0,0.0,0.0
83409dfffffffff,1.0,0.0,0.0
836482fffffffff,50.0,0.0,0.0
836490fffffffff,39.0,0.0,0.0
836491fffffffff,41.0,0.0,0.0
