cell_id,Ortygornis sephaena,Ortygornis sephaena rovuma,Ortygornis sephaena [sephaena Group]
847a401ffffffff,4.0,0.0,4.0
847a413ffffffff,3.0,0.0,2.0
847a48dffffffff,3.0,0.0,0.0
847a683ffffffff,1.0,0.0,0.0
847a685ffffffff,1.0,0.0,0.0
8496907ffffffff,1.0,0.0,0.0
8497139ffffffff,2.0,2.0,0.0
8497513ffffffff,1.0,0.0,0.0
84975c7ffffffff,6.0,0.0,0.0
84acb35ffffffff,1.0,0.0,1.0
84bcca5ffffffff,1.0,0.0,0.0
84bcd05ffffffff,1.0,0.0,0.0
84bcd29ffffffff,2.0,0.0,2.0
84bcd63ffffffff,1.0,0.0,1.0
84bcd67ffffffff,1.0,0.0,1.0
84bcdc1ffffffff,2.0,0.0,0.0
