cell_id,Milvus migrans,Milvus migrans [migrans Group],Milvus migrans lineatus/formosanus,Milvus migrans aegyptius/parasitus
830884fffffffff,1.0,0.0,0.0,0.0
830886fffffffff,1.0,1.0,0.0,0.0
8308b0fffffffff,4.0,0.0,0.0,0.0
830991fffffffff,5.0,2.0,0.0,0.0
83159efffffffff,1.0,0.0,0.0,0.0
831849fffffffff,32.0,0.0,0.0,0.0
83184bfffffffff,48.0,22.0,0.0,0.0
83184dfffffffff,5.0,1.0,0.0,0.0
831859fffffffff,6.0,0.0,0.0,0.0
83185bfffffffff,12.0,2.0,0.0,0.0
831870fffffffff,1.0,0.0,0.0,0.0
831876fffffffff,2.0,0.0,0.0,0.0
831943fffffffff,3.0,1.0,1.0,0.0
831948fffffffff,12.0,1.0,0.0,0.0
83194cfffffffff,6.0,0.0,0.0,0.0
83194dfffffffff,4.0,0.0,0.0,0.0
83194efffffffff,2.0,0.0,0.0,0.0
831959fffffffff,1.0,0.0,0.0,0.0
83195efffffffff,1.0,0.0,0.0,0.0
831968fffffffff,1.0,0.0,0.0,0.0
831969fffffffff,2.0,0.0,0.0,0.0
831e03fffffffff,2.0,0.0,0.0,0.0
831e04fffffffff,5.0,0.0,0.0,0.0
831e05fffffffff,8.0,0.0,0.0,0.0
831e06fffffffff,24.0,0.0,0.0,0.0
831e0afffffffff,6.0,0.0,0.0,0.0
831e12fffffffff,2.0,0.0,0.0,0.0
831e13fffffffff,4.0,0.0,0.0,0.0
831e15fffffffff,2.0,0.0,0.0,0.0
831e1cfffffffff,2.0,0.0,0.0,0.0
831e29fffffffff,2.0,0.0,0.0,0.0
831e2efffffffff,3.0,0.0,0.0,0.0
831e30fffffffff,11.0,0.0,0.0,0.0
831e31fffffffff,2.0,0.0,0.0,0.0
831e33fffffffff,3.0,0.0,0.0,0.0
831e34fffffffff,6.0,0.0,0.0,0.0
831e35fffffffff,52.0,0.0,0.0,0.0
831e36fffffffff,2.0,0.0,0.0,0.0
831e5cfffffffff,2.0,0.0,2.0,0.0
831e6bfffffffff,2.0,0.0,0.0,0.0
831ea0fffffffff,2.0,0.0,0.0,0.0
831ea5fffffffff,4.0,0.0,0.0,0.0
831ec9fffffffff,27.0,0.0,0.0,0.0
831ecefffffffff,8.0,5.0,0.0,0.0
831edafffffffff,7.0,0.0,0.0,0.0
831eebfffffffff,7.0,0.0,3.0,0.0
831f05fffffffff,25.0,0.0,0.0,0.0
831f14fffffffff,1.0,0.0,0.0,0.0
831f19fffffffff,2.0,0.0,0.0,0.0
831f1afffffffff,2.0,2.0,0.0,0.0
831f1dfffffffff,1.0,0.0,0.0,0.0
831f21fffffffff,4.0,2.0,0.0,0.0
831f2efffffffff,2.0,0.0,0.0,0.0
831f53fffffffff,2.0,0.0,0.0,0.0
831f82fffffffff,2.0,0.0,0.0,0.0
831f83fffffffff,6.0,0.0,0.0,0.0
831f86fffffffff,2.0,0.0,0.0,0.0
831f8dfffffffff,2.0,0.0,0.0,0.0
831f8efffffffff,7.0,0.0,0.0,0.0
831f91fffffffff,4.0,2.0,0.0,0.0
831f9cfffffffff,4.0,0.0,0.0,0.0
831fa0fffffffff,3.0,0.0,0.0,0.0
831fa3fffffffff,2.0,0.0,0.0,0.0
831fa4fffffffff,12.0,0.0,0.0,0.0
831fa5fffffffff,5.0,0.0,0.0,0.0
831faefffffffff,3.0,3.0,0.0,0.0
832018fffffffff,8.0,0.0,0.0,0.0
832033fffffffff,2.0,0.0,0.0,0.0
832084fffffffff,3.0,3.0,0.0,0.0
832099fffffffff,3.0,0.0,0.0,0.0
83209bfffffffff,4.0,4.0,0.0,0.0
8320a2fffffffff,7.0,0.0,1.0,0.0
8320aefffffffff,2.0,0.0,0.0,0.0
8320b1fffffffff,9.0,0.0,1.0,0.0
8320e2fffffffff,1.0,0.0,0.0,0.0
8320e3fffffffff,1.0,0.0,0.0,0.0
8320e6fffffffff,5.0,0.0,2.0,0.0
8320f5fffffffff,1.0,0.0,0.0,0.0
832156fffffffff,2.0,0.0,0.0,0.0
