cell_id,Psittacus erithacus,Psittacus erithacus erithacus,Psittacus erithacus princeps
822a17fffffffff,1.0,0.0,0.0
822db7fffffffff,1.0,0.0,0.0
823907fffffffff,1.0,0.0,0.0
823917fffffffff,1.0,0.0,0.0
823927fffffffff,1.0,0.0,0.0
823937fffffffff,1.0,0.0,0.0
823957fffffffff,2.0,0.0,0.0
82396ffffffffff,2.0,0.0,0.0
82411ffffffffff,8.0,0.0,0.0
8243affffffffff,1.0,0.0,0.0
824ba7fffffffff,12.0,0.0,0.0
824ceffffffffff,1.0,0.0,0.0
8258d7fffffffff,1.0,0.0,0.0
826527fffffffff,14.0,0.0,0.0
827a4ffffffffff,1.0,1.0,0.0
827a67fffffffff,3.0,0.0,0.0
