cell_id,Phaethornis longirostris,Phaethornis longirostris [longirostris Group],Phaethornis longirostris baroni
8445203ffffffff,2.0,2.0,0.0
844520bffffffff,1.0,1.0,0.0
8445215ffffffff,3.0,0.0,0.0
8445217ffffffff,6.0,0.0,0.0
8445257ffffffff,6.0,0.0,0.0
84452a9ffffffff,2.0,2.0,0.0
84452e1ffffffff,1.0,0.0,0.0
84452e5ffffffff,19.0,19.0,0.0
8445649ffffffff,1.0,1.0,0.0
846608dffffffff,2.0,0.0,0.0
84660a7ffffffff,3.0,0.0,0.0
8466195ffffffff,1.0,0.0,0.0
8466b0bffffffff,10.0,6.0,0.0
8466b49ffffffff,3.0,0.0,0.0
8466b55ffffffff,4.0,0.0,0.0
8466d35ffffffff,6.0,0.0,4.0
8466e65ffffffff,2.0,0.0,0.0
8466e69ffffffff,4.0,0.0,0.0
8467933ffffffff,1.0,0.0,0.0
84679a5ffffffff,45.0,35.0,0.0
84679b7ffffffff,1.0,1.0,0.0
846d203ffffffff,2.0,0.0,0.0
846d21dffffffff,8.0,0.0,0.0
846d2c9ffffffff,2.0,0.0,0.0
846d30dffffffff,2.0,0.0,0.0
846d315ffffffff,2.0,0.0,0.0
846d319ffffffff,1.0,1.0,0.0
846d35dffffffff,4.0,4.0,0.0
846d651ffffffff,3.0,0.0,0.0
846d681ffffffff,2.0,0.0,0.0
846d68dffffffff,9.0,0.0,0.0
846d695ffffffff,2.0,0.0,0.0
846d697ffffffff,2.0,2.0,0.0
846d69bffffffff,5.0,4.0,0.0
846d69dffffffff,11.0,1.0,0.0
846d6bbffffffff,4.0,0.0,0.0
846d6d1ffffffff,1.0,0.0,0.0
848f0d3ffffffff,2.0,0.0,0.0
848f0dbffffffff,1.0,0.0,1.0
848f2a9ffffffff,1.0,0.0,1.0
848f2c9ffffffff,5.0,0.0,5.0
848f2cbffffffff,11.0,0.0,0.0
