cell_id,Grallaricula nana,Grallaricula nana [nana Group],Grallaricula nana kukenamensis
825f77fffffffff,8.0,0.0,5.0
82660ffffffffff,17.0,0.0,0.0
82661ffffffffff,1086.0,10.0,0.0
82662ffffffffff,58.0,15.0,0.0
8266c7fffffffff,210.0,0.0,0.0
8266d7fffffffff,8.0,0.0,0.0
8266dffffffffff,474.0,75.0,0.0
8266e7fffffffff,2355.0,63.0,0.0
8266f7fffffffff,113.0,0.0,0.0
826747fffffffff,44.0,2.0,0.0
82674ffffffffff,9.0,0.0,0.0
82675ffffffffff,41.0,0.0,0.0
828f0ffffffffff,1.0,0.0,0.0
828f2ffffffffff,4.0,0.0,0.0
828f57fffffffff,5.0,0.0,0.0
828f77fffffffff,273.0,22.0,0.0
