cell_id,Serpophaga subcristata,Serpophaga subcristata subcristata/straminea,Serpophaga subcristata munda
828007fffffffff,2.0,2.0,0.0
828037fffffffff,54.0,47.0,0.0
828107fffffffff,19.0,15.0,0.0
82811ffffffffff,2.0,1.0,0.0
828127fffffffff,1.0,1.0,0.0
828137fffffffff,156.0,143.0,0.0
828187fffffffff,8.0,8.0,0.0
82818ffffffffff,3.0,2.0,0.0
82819ffffffffff,1.0,0.0,0.0
8281affffffffff,6.0,6.0,0.0
828b07fffffffff,2.0,0.0,2.0
828b0ffffffffff,30.0,14.0,15.0
828b27fffffffff,417.0,62.0,323.0
828b2ffffffffff,162.0,13.0,143.0
828b37fffffffff,8.0,2.0,6.0
828b9ffffffffff,3.0,3.0,0.0
828ba7fffffffff,1.0,1.0,0.0
828bb7fffffffff,6.0,6.0,0.0
82a597fffffffff,6.0,6.0,0.0
82a807fffffffff,244.0,229.0,0.0
82a80ffffffffff,11.0,11.0,0.0
82a817fffffffff,1510.0,1340.0,0.0
82a81ffffffffff,1549.0,1467.0,0.0
82a827fffffffff,125.0,96.0,0.0
82a82ffffffffff,28.0,26.0,0.0
82a837fffffffff,141.0,126.0,0.0
82a847fffffffff,45.0,28.0,17.0
82a85ffffffffff,40.0,40.0,0.0
82a867fffffffff,19.0,14.0,4.0
82a86ffffffffff,6.0,1.0,4.0
82a877fffffffff,2.0,2.0,0.0
82a887fffffffff,240.0,223.0,0.0
82a88ffffffffff,18.0,15.0,0.0
82a897fffffffff,14.0,11.0,0.0
82a89ffffffffff,4.0,4.0,0.0
82a8a7fffffffff,354.0,312.0,0.0
82a8affffffffff,376.0,330.0,0.0
82a8b7fffffffff,5.0,5.0,0.0
82a8dffffffffff,3.0,3.0,0.0
82a8e7fffffffff,3.0,3.0,0.0
82a8f7fffffffff,18.0,17.0,0.0
82a907fffffffff,155.0,140.0,0.0
82a90ffffffffff,190.0,164.0,0.0
82a91ffffffffff,280.0,220.0,0.0
82a927fffffffff,13.0,13.0,0.0
82a92ffffffffff,811.0,733.0,0.0
82a947fffffffff,616.0,513.0,6.0
82a94ffffffffff,377.0,327.0,41.0
82a957fffffffff,280.0,251.0,0.0
82a95ffffffffff,39.0,35.0,4.0
82a967fffffffff,728.0,639.0,9.0
82a96ffffffffff,244.0,228.0,0.0
82a977fffffffff,191.0,178.0,0.0
82b20ffffffffff,10.0,0.0,10.0
82b22ffffffffff,8.0,4.0,2.0
82b247fffffffff,255.0,108.0,124.0
82b24ffffffffff,313.0,295.0,9.0
82b257fffffffff,19.0,4.0,14.0
82b25ffffffffff,360.0,76.0,194.0
82b267fffffffff,47.0,21.0,11.0
82b26ffffffffff,125.0,111.0,2.0
82b277fffffffff,104.0,20.0,59.0
82b2e7fffffffff,18.0,0.0,2.0
82b2effffffffff,173.0,0.0,158.0
82b327fffffffff,4.0,0.0,4.0
82b32ffffffffff,18.0,0.0,18.0
82b347fffffffff,320.0,0.0,277.0
82b34ffffffffff,54.0,19.0,24.0
82b357fffffffff,259.0,0.0,249.0
82b35ffffffffff,1550.0,2.0,1311.0
82b367fffffffff,111.0,20.0,75.0
82b36ffffffffff,46.0,23.0,21.0
82b377fffffffff,19.0,0.0,16.0
82c207fffffffff,48.0,39.0,0.0
82c21ffffffffff,342.0,253.0,0.0
82c227fffffffff,12.0,7.0,0.0
82c22ffffffffff,130.0,113.0,0.0
82c2c7fffffffff,1528.0,1275.0,0.0
82c2cffffffffff,1094.0,973.0,0.0
82c2d7fffffffff,640.0,593.0,0.0
82c2dffffffffff,186.0,153.0,0.0
82c2e7fffffffff,5784.0,5009.0,0.0
82c2effffffffff,331.0,294.0,0.0
82c2f7fffffffff,2158.0,1905.0,0.0
82c30ffffffffff,18.0,18.0,0.0
82c347fffffffff,147.0,141.0,0.0
82c34ffffffffff,46.0,41.0,0.0
82c357fffffffff,171.0,148.0,0.0
82c35ffffffffff,5.0,4.0,0.0
82c367fffffffff,6.0,6.0,0.0
82c36ffffffffff,6.0,5.0,1.0
82c377fffffffff,38.0,34.0,0.0
