cell_id,Trogon elegans,Trogon elegans [ambiguus Group],Trogon elegans elegans/lubricus
8445209ffffffff,8.0,0.0,0.0
844520dffffffff,37.0,0.0,0.0
8445243ffffffff,9.0,0.0,0.0
8445245ffffffff,11.0,0.0,0.0
8445247ffffffff,127.0,0.0,0.0
8445249ffffffff,149.0,0.0,0.0
844524bffffffff,8.0,0.0,0.0
8445251ffffffff,32.0,0.0,9.0
8445255ffffffff,24.0,0.0,0.0
844525bffffffff,167.0,0.0,46.0
8445261ffffffff,21.0,0.0,0.0
8445263ffffffff,20.0,0.0,0.0
8445269ffffffff,5.0,0.0,0.0
844526dffffffff,6.0,0.0,0.0
8445343ffffffff,5.0,0.0,0.0
8445351ffffffff,5.0,0.0,0.0
8445353ffffffff,8.0,0.0,0.0
8448007ffffffff,1.0,0.0,0.0
8448029ffffffff,11.0,0.0,0.0
844802bffffffff,31.0,0.0,0.0
844802dffffffff,2.0,0.0,0.0
8448035ffffffff,1.0,1.0,0.0
8448065ffffffff,43.0,0.0,0.0
8448067ffffffff,3.0,0.0,0.0
844806dffffffff,4.0,0.0,0.0
8448097ffffffff,3.0,0.0,0.0
84480a1ffffffff,4.0,0.0,0.0
84480a3ffffffff,1.0,0.0,0.0
84480a5ffffffff,17.0,0.0,0.0
84480a9ffffffff,1.0,0.0,0.0
84480adffffffff,817.0,63.0,0.0
84480e5ffffffff,3.0,2.0,0.0
84480edffffffff,3.0,0.0,0.0
8448101ffffffff,2.0,0.0,0.0
844811bffffffff,1.0,0.0,0.0
8448141ffffffff,1.0,0.0,0.0
8448143ffffffff,1.0,0.0,0.0
8448147ffffffff,9.0,0.0,0.0
8448159ffffffff,6.0,0.0,0.0
844815bffffffff,79.0,0.0,0.0
8448189ffffffff,1.0,0.0,0.0
8448193ffffffff,7.0,0.0,0.0
8448195ffffffff,2.0,0.0,0.0
8448199ffffffff,2.0,0.0,0.0
844819dffffffff,1.0,0.0,0.0
84481c1ffffffff,2.0,0.0,0.0
84481d5ffffffff,2.0,0.0,0.0
84481d7ffffffff,13.0,0.0,0.0
84481d9ffffffff,2.0,0.0,0.0
84481dbffffffff,11.0,0.0,0.0
8448309ffffffff,11.0,1.0,0.0
8448321ffffffff,6.0,0.0,0.0
8448323ffffffff,12.0,0.0,0.0
8448325ffffffff,11.0,0.0,0.0
8448329ffffffff,3.0,0.0,0.0
844832bffffffff,1.0,0.0,0.0
8448331ffffffff,16.0,0.0,0.0
8448333ffffffff,37.0,2.0,0.0
8448337ffffffff,193.0,19.0,0.0
844833bffffffff,19.0,4.0,0.0
8448361ffffffff,1202.0,56.0,0.0
8448363ffffffff,357.0,33.0,0.0
8448365ffffffff,16.0,2.0,0.0
8448367ffffffff,63.0,0.0,0.0
8448369ffffffff,944.0,25.0,0.0
844836dffffffff,75.0,1.0,0.0
844884dffffffff,5.0,0.0,0.0
8448a21ffffffff,501.0,11.0,0.0
8448a27ffffffff,9.0,4.0,0.0
8448a29ffffffff,179.0,12.0,0.0
8448a2bffffffff,23.0,0.0,0.0
8448a2dffffffff,40.0,2.0,0.0
8448a65ffffffff,3.0,0.0,0.0
8448a67ffffffff,12.0,0.0,0.0
8448b49ffffffff,3.0,0.0,0.0
8448b4dffffffff,13.0,0.0,0.0
8448b5bffffffff,24.0,2.0,0.0
8448c59ffffffff,2674.0,335.0,0.0
8448c5bffffffff,11.0,0.0,0.0
8448e01ffffffff,10.0,0.0,0.0
8448e07ffffffff,11.0,5.0,0.0
8448e09ffffffff,3.0,0.0,0.0
8448e0dffffffff,1.0,0.0,0.0
8448e13ffffffff,20.0,0.0,0.0
8448e15ffffffff,2.0,0.0,0.0
8448e17ffffffff,1.0,0.0,0.0
8448e19ffffffff,13.0,6.0,0.0
8448e1bffffffff,1.0,0.0,0.0
8448e29ffffffff,1.0,0.0,0.0
8448e2bffffffff,1.0,0.0,0.0
8448e33ffffffff,2.0,0.0,0.0
8448e37ffffffff,4.0,0.0,0.0
8448e3dffffffff,4.0,0.0,0.0
8448e41ffffffff,3.0,1.0,0.0
8448e43ffffffff,2.0,0.0,0.0
8448e49ffffffff,44.0,0.0,0.0
8448e4bffffffff,10.0,0.0,0.0
8448e4dffffffff,41.0,7.0,0.0
8448e53ffffffff,4.0,0.0,0.0
8448e55ffffffff,22.0,0.0,0.0
8448e57ffffffff,3.0,3.0,0.0
8448e5bffffffff,3.0,0.0,0.0
8448e5dffffffff,6.0,3.0,0.0
8448e63ffffffff,27.0,1.0,0.0
8448e6bffffffff,3.0,1.0,0.0
8448e8dffffffff,3529.0,441.0,0.0
8448ec1ffffffff,1.0,0.0,0.0
8448ec7ffffffff,459.0,82.0,0.0
8448ee1ffffffff,139.0,5.0,0.0
8448ee9ffffffff,1539.0,141.0,0.0
8448eebffffffff,1371.0,141.0,0.0
8449801ffffffff,20.0,0.0,0.0
8449809ffffffff,31.0,0.0,0.0
844982dffffffff,1.0,0.0,0.0
8449853ffffffff,4.0,0.0,0.0
8449855ffffffff,2.0,0.0,0.0
8449857ffffffff,6.0,0.0,0.0
8449861ffffffff,2.0,0.0,0.0
844986dffffffff,18.0,0.0,0.0
8449881ffffffff,6.0,0.0,0.0
8449885ffffffff,11.0,0.0,0.0
8449889ffffffff,26.0,0.0,0.0
844988dffffffff,71.0,0.0,0.0
8449893ffffffff,17.0,8.0,0.0
84498c1ffffffff,1.0,0.0,0.0
84498c7ffffffff,21.0,0.0,0.0
84498c9ffffffff,31.0,0.0,0.0
84498d3ffffffff,1.0,0.0,0.0
84498dbffffffff,7.0,2.0,0.0
84498e3ffffffff,2.0,0.0,0.0
