cell_id,Pinicola enucleator,Pinicola enucleator [enucleator Group],Pinicola enucleator flammula,Pinicola enucleator carlottae,Pinicola enucleator montana,Pinicola enucleator californica,Pinicola enucleator leucura
82081ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820887fffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
8208cffffffffff,5.0,5.0,0.0,0.0,0.0,0.0,0.0
8209a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820c17fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
820c47fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
820c5ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820e67fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820e6ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820ec7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
820ecffffffffff,48.0,0.0,0.0,0.0,0.0,0.0,0.0
820ed7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
820edffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
820eeffffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
82124ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,13.0
82125ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0
8212d7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0
8212e7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821387fffffffff,110.0,0.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
82139ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8213b7fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
821657fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0
821b9ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
821f27fffffffff,2.0,1.0,0.0,0.0,0.0,0.0,0.0
822607fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
82260ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82262ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
822667fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,44.0,0.0,0.0,0.0,3.0,0.0,0.0
82268ffffffffff,73.0,0.0,0.0,0.0,0.0,0.0,0.0
822697fffffffff,266.0,0.0,0.0,0.0,7.0,0.0,0.0
82269ffffffffff,40.0,0.0,0.0,0.0,0.0,0.0,0.0
8226affffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
8226d7fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
8226e7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8226effffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8226f7fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
822707fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82270ffffffffff,107.0,0.0,0.0,0.0,0.0,0.0,107.0
82271ffffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
822747fffffffff,93.0,0.0,0.0,0.0,0.0,0.0,0.0
82274ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
822757fffffffff,42.0,0.0,0.0,0.0,0.0,0.0,1.0
82275ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
822767fffffffff,112.0,0.0,0.0,0.0,0.0,0.0,0.0
82276ffffffffff,185.0,0.0,0.0,0.0,0.0,0.0,2.0
822777fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
822787fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82278ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
822797fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8227a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8227affffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8227b7fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
822817fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
82281ffffffffff,10.0,0.0,3.0,0.0,0.0,0.0,0.0
822887fffffffff,151.0,0.0,0.0,0.0,0.0,0.0,0.0
82288ffffffffff,103.0,0.0,0.0,0.0,3.0,0.0,0.0
822897fffffffff,25.0,0.0,0.0,0.0,2.0,0.0,0.0
82289ffffffffff,24.0,0.0,0.0,0.0,1.0,0.0,0.0
8228a7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8228affffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8228b7fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
8228c7fffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0
8228d7fffffffff,217.0,0.0,0.0,0.0,0.0,0.0,0.0
8228dffffffffff,51.0,0.0,0.0,0.0,0.0,0.0,0.0
8228f7fffffffff,120.0,0.0,0.0,0.0,0.0,0.0,0.0
82298ffffffffff,54.0,0.0,0.0,0.0,0.0,0.0,0.0
822997fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82299ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8229affffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
822a17fffffffff,48.0,0.0,0.0,0.0,0.0,0.0,3.0
822a37fffffffff,417.0,0.0,0.0,0.0,0.0,0.0,30.0
822a97fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
822aa7fffffffff,35.0,0.0,0.0,0.0,0.0,0.0,1.0
822aaffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
822ab7fffffffff,70.0,0.0,0.0,0.0,0.0,0.0,0.0
822b0ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
822b17fffffffff,44.0,0.0,0.0,0.0,0.0,0.0,0.0
822b1ffffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
822b27fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
822b37fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
822b87fffffffff,211.0,0.0,0.0,0.0,0.0,0.0,0.0
822b8ffffffffff,621.0,0.0,0.0,0.0,0.0,0.0,24.0
822b97fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
822b9ffffffffff,1120.0,0.0,0.0,0.0,0.0,0.0,6.0
822ba7fffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0
822baffffffffff,272.0,0.0,0.0,0.0,0.0,0.0,9.0
822bb7fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8248cffffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
8248dffffffffff,11.0,0.0,0.0,0.0,2.0,0.0,0.0
