cell_id,Diomedea antipodensis,Diomedea antipodensis antipodensis,Diomedea antipodensis gibsoni
8328e6fffffffff,1.0,0.0,0.0
83b2c4fffffffff,17.0,15.0,0.0
83b2dafffffffff,2.0,2.0,0.0
83b2dcfffffffff,7.0,7.0,0.0
83b2defffffffff,4.0,4.0,0.0
83ba24fffffffff,1.0,0.0,1.0
83ba25fffffffff,25.0,8.0,17.0
83ba28fffffffff,1.0,1.0,0.0
83ba60fffffffff,1.0,0.0,1.0
83ba66fffffffff,2.0,0.0,2.0
83bb0afffffffff,6.0,1.0,5.0
83bb0efffffffff,3.0,0.0,3.0
83bb28fffffffff,1.0,1.0,0.0
83bb29fffffffff,7.0,0.0,7.0
83bb2dfffffffff,24.0,8.0,16.0
83bb53fffffffff,30.0,15.0,15.0
83bb58fffffffff,5.0,4.0,1.0
83bb5bfffffffff,2.0,2.0,0.0
83bb65fffffffff,2.0,2.0,0.0
83be0cfffffffff,7.0,4.0,2.0
83be0efffffffff,4.0,1.0,3.0
83be1afffffffff,3.0,0.0,3.0
83be1dfffffffff,4.0,0.0,4.0
83be29fffffffff,7.0,2.0,5.0
83be68fffffffff,9.0,3.0,6.0
83be69fffffffff,5.0,0.0,5.0
83beaafffffffff,3.0,1.0,2.0
83beabfffffffff,19.0,7.0,12.0
83beaefffffffff,3.0,0.0,3.0
83bf4cfffffffff,12.0,2.0,10.0
83bf5bfffffffff,4.0,0.0,4.0
83c984fffffffff,2.0,0.0,2.0
83c986fffffffff,1.0,1.0,0.0
83c9b0fffffffff,2.0,0.0,2.0
83ce10fffffffff,31.0,31.0,0.0
83ce11fffffffff,7.0,7.0,0.0
83ce15fffffffff,37.0,37.0,0.0
83ce30fffffffff,57.0,57.0,0.0
83ce33fffffffff,48.0,48.0,0.0
83ce34fffffffff,13.0,13.0,0.0
83ce35fffffffff,2.0,2.0,0.0
83ce89fffffffff,9.0,9.0,0.0
83ce8bfffffffff,7.0,7.0,0.0
83ceadfffffffff,2.0,1.0,0.0
83ced6fffffffff,8.0,8.0,0.0
83cf1afffffffff,6.0,5.0,0.0
83cf1bfffffffff,3.0,3.0,0.0
83d469fffffffff,4.0,0.0,4.0
83da00fffffffff,7.0,0.0,7.0
83da18fffffffff,14.0,0.0,14.0
83da1afffffffff,7.0,7.0,0.0
83da1dfffffffff,13.0,0.0,13.0
83da56fffffffff,1.0,0.0,1.0
83da84fffffffff,46.0,9.0,34.0
83da8cfffffffff,3.0,0.0,3.0
83da91fffffffff,1.0,0.0,0.0
83da93fffffffff,1.0,0.0,0.0
83daa2fffffffff,2.0,1.0,1.0
83daa4fffffffff,2.0,0.0,2.0
83daa5fffffffff,1.0,0.0,1.0
83daa9fffffffff,8.0,0.0,8.0
83daaafffffffff,3.0,0.0,3.0
83dab1fffffffff,8.0,3.0,5.0
83dab5fffffffff,6.0,0.0,6.0
83db81fffffffff,2.0,0.0,2.0
83db8afffffffff,3.0,2.0,1.0
83db8dfffffffff,2.0,2.0,0.0
83db8efffffffff,1.0,0.0,1.0
83df28fffffffff,3.0,3.0,0.0
83df70fffffffff,1.0,1.0,0.0
83df71fffffffff,1.0,1.0,0.0
