cell_id,Aerospiza tachiro,Aerospiza tachiro macroscelides,Aerospiza tachiro toussenelii/canescens,Aerospiza tachiro lopezi,Aerospiza tachiro unduliventer/croizati,Aerospiza tachiro sparsimfasciata,Aerospiza tachiro pembaensis,Aerospiza tachiro tachiro
825287fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82529ffffffffff,24.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
82541ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8254affffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8254e7fffffffff,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8254effffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8254f7fffffffff,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
825897fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8258cffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8258d7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8258dffffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
826a57fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826a6ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826a9ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826ac7fffffffff,145.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
826acffffffffff,91.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
826adffffffffff,224.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
826aeffffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827507fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82750ffffffffff,177.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
82751ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827527fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82752ffffffffff,87.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8275b7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827a47fffffffff,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827a4ffffffffff,55.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
827a67fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827a6ffffffffff,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827acffffffffff,88.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0
827adffffffffff,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
827aeffffffffff,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
827b4ffffffffff,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827b5ffffffffff,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827b6ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828287fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82828ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8282affffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8282b7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8282d7fffffffff,46.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
8282f7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828317fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82831ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828337fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82839ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8283a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8283affffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829607fffffffff,23.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
82960ffffffffff,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
