cell_id,Leptocoma sperata,Leptocoma sperata [sperata Group],Leptocoma sperata juliae
844b933ffffffff,12.0,0.0,0.0
8468051ffffffff,1.0,0.0,0.0
8468055ffffffff,1.0,0.0,0.0
8468193ffffffff,2.0,0.0,0.0
8468281ffffffff,152.0,6.0,0.0
8468285ffffffff,199.0,19.0,0.0
84682adffffffff,1.0,0.0,0.0
84682d1ffffffff,7.0,0.0,0.0
84682e7ffffffff,1.0,0.0,0.0
8468401ffffffff,15.0,1.0,0.0
846841bffffffff,5.0,0.0,0.0
846842bffffffff,2.0,0.0,0.0
8468433ffffffff,4.0,0.0,0.0
846843dffffffff,1.0,0.0,0.0
8468447ffffffff,119.0,3.0,0.0
8468459ffffffff,1.0,0.0,0.0
8468461ffffffff,5.0,0.0,0.0
846846bffffffff,5.0,0.0,0.0
846846dffffffff,14.0,6.0,0.0
84684e5ffffffff,198.0,40.0,12.0
846856bffffffff,24.0,0.0,19.0
8468583ffffffff,1.0,0.0,0.0
8468589ffffffff,3.0,0.0,0.0
846858bffffffff,16.0,5.0,0.0
84685c3ffffffff,132.0,14.0,63.0
84685c7ffffffff,25.0,0.0,19.0
84685d1ffffffff,2.0,0.0,0.0
84685d5ffffffff,2.0,2.0,0.0
84685dbffffffff,2.0,0.0,0.0
84685ddffffffff,2.0,0.0,0.0
84685e1ffffffff,5.0,0.0,0.0
84685e9ffffffff,7.0,0.0,5.0
8468615ffffffff,1.0,0.0,0.0
8468633ffffffff,1.0,0.0,0.0
8468645ffffffff,1.0,0.0,0.0
8468651ffffffff,2.0,2.0,0.0
8468657ffffffff,15.0,12.0,0.0
846865bffffffff,7.0,0.0,0.0
846865dffffffff,4.0,0.0,0.0
8468665ffffffff,4.0,1.0,0.0
846866dffffffff,7.0,0.0,0.0
84686adffffffff,1.0,0.0,0.0
84686e5ffffffff,2.0,0.0,0.0
84686e9ffffffff,23.0,7.0,0.0
846875bffffffff,2.0,0.0,0.0
8468e45ffffffff,1.0,0.0,1.0
8469411ffffffff,1.0,0.0,0.0
8469433ffffffff,2.0,0.0,0.0
8469439ffffffff,8.0,1.0,0.0
846943bffffffff,4.0,0.0,0.0
8469451ffffffff,2.0,0.0,0.0
8469453ffffffff,9.0,0.0,0.0
846945dffffffff,2.0,0.0,0.0
846948dffffffff,1.0,0.0,0.0
84694abffffffff,2.0,0.0,0.0
84694cdffffffff,2.0,0.0,0.0
84694e1ffffffff,54.0,8.0,0.0
84694e3ffffffff,1.0,1.0,0.0
84694e5ffffffff,70.0,2.0,0.0
84694e7ffffffff,15.0,0.0,0.0
84694edffffffff,1.0,0.0,0.0
8469593ffffffff,16.0,10.0,0.0
8469597ffffffff,1.0,0.0,0.0
84695dbffffffff,6.0,0.0,0.0
84695e3ffffffff,6.0,0.0,0.0
8469685ffffffff,1.0,1.0,0.0
846968bffffffff,2.0,0.0,0.0
846969dffffffff,1.0,0.0,0.0
84696adffffffff,6.0,0.0,0.0
84696cbffffffff,4.0,1.0,0.0
84696d7ffffffff,8.0,3.0,0.0
84696dbffffffff,2.0,0.0,0.0
84696ddffffffff,2.0,0.0,0.0
