cell_id,Picumnus squamulatus,Picumnus squamulatus [squamulatus Group],Picumnus squamulatus obsoletus
825f4ffffffffff,71.0,0.0,38.0
825f5ffffffffff,2.0,0.0,2.0
82660ffffffffff,377.0,0.0,0.0
826627fffffffff,944.0,29.0,0.0
82662ffffffffff,152.0,2.0,0.0
826657fffffffff,518.0,0.0,0.0
826667fffffffff,24.0,0.0,0.0
826677fffffffff,286.0,0.0,0.0
8266c7fffffffff,585.0,0.0,0.0
8266d7fffffffff,5.0,0.0,0.0
8266e7fffffffff,3867.0,0.0,0.0
8266effffffffff,174.0,0.0,0.0
826747fffffffff,352.0,3.0,0.0
82674ffffffffff,2061.0,53.0,0.0
826757fffffffff,139.0,3.0,0.0
82675ffffffffff,329.0,2.0,0.0
