cell_id,Calandrella blanfordi,Calandrella blanfordi blanfordi,Calandrella blanfordi erlangeri
845280dffffffff,3.0,0.0,2.0
8452825ffffffff,1.0,0.0,0.0
8452831ffffffff,1.0,0.0,1.0
8452851ffffffff,1.0,0.0,0.0
8452853ffffffff,1.0,0.0,1.0
8452863ffffffff,1.0,0.0,1.0
845291bffffffff,1.0,0.0,1.0
8452983ffffffff,1.0,0.0,1.0
8452997ffffffff,18.0,0.0,14.0
84529a7ffffffff,1.0,0.0,0.0
84529b1ffffffff,10.0,0.0,9.0
84529b3ffffffff,19.0,0.0,18.0
84529b5ffffffff,61.0,0.0,57.0
84529b7ffffffff,4.0,0.0,4.0
84529b9ffffffff,66.0,0.0,44.0
84529bbffffffff,20.0,0.0,15.0
84529bdffffffff,4.0,0.0,3.0
8452a33ffffffff,3.0,0.0,0.0
846a491ffffffff,1.0,0.0,1.0
847ac15ffffffff,3.0,0.0,3.0
847ac87ffffffff,1.0,0.0,1.0
847ac8bffffffff,1.0,0.0,1.0
847aca3ffffffff,15.0,0.0,13.0
847acb3ffffffff,1.0,0.0,1.0
847acb5ffffffff,13.0,0.0,13.0
847acb7ffffffff,2.0,0.0,2.0
847acc3ffffffff,10.0,0.0,10.0
847acc5ffffffff,14.0,0.0,13.0
847accdffffffff,1.0,0.0,1.0
847ace9ffffffff,1.0,0.0,1.0
847acebffffffff,1.0,0.0,1.0
847ad91ffffffff,3.0,0.0,1.0
847ad93ffffffff,10.0,0.0,10.0
847adedffffffff,1.0,0.0,1.0
847ae87ffffffff,2.0,0.0,2.0
847ae9bffffffff,1.0,0.0,0.0
