cell_id,Embernagra platensis,Embernagra platensis olivascens,Embernagra platensis platensis
828127fffffffff,2.0,0.0,0.0
828137fffffffff,4.0,0.0,0.0
828b07fffffffff,2.0,0.0,0.0
828b0ffffffffff,40.0,0.0,0.0
828b27fffffffff,162.0,0.0,0.0
828b2ffffffffff,126.0,0.0,0.0
828b57fffffffff,2.0,0.0,0.0
828b77fffffffff,2.0,0.0,0.0
82a807fffffffff,132.0,0.0,5.0
82a817fffffffff,161.0,0.0,11.0
82a81ffffffffff,14.0,0.0,0.0
82a827fffffffff,129.0,0.0,4.0
82a82ffffffffff,10.0,0.0,0.0
82a837fffffffff,87.0,0.0,1.0
82a867fffffffff,7.0,0.0,1.0
82a887fffffffff,58.0,0.0,4.0
82a88ffffffffff,8.0,0.0,0.0
82a8a7fffffffff,59.0,0.0,3.0
82a8affffffffff,360.0,0.0,8.0
82a8f7fffffffff,7.0,0.0,0.0
82a907fffffffff,174.0,0.0,7.0
82a90ffffffffff,270.0,0.0,21.0
82a91ffffffffff,367.0,0.0,8.0
82a927fffffffff,66.0,0.0,0.0
82a92ffffffffff,775.0,0.0,16.0
82a947fffffffff,2287.0,0.0,0.0
82a94ffffffffff,510.0,0.0,0.0
82a957fffffffff,142.0,0.0,15.0
82a95ffffffffff,283.0,0.0,5.0
82a967fffffffff,1149.0,0.0,6.0
82a96ffffffffff,970.0,0.0,0.0
82a977fffffffff,347.0,0.0,0.0
82b20ffffffffff,26.0,0.0,0.0
82b22ffffffffff,12.0,0.0,0.0
82b247fffffffff,658.0,0.0,0.0
82b24ffffffffff,827.0,0.0,0.0
82b257fffffffff,30.0,0.0,0.0
82b25ffffffffff,1648.0,49.0,1.0
82b267fffffffff,312.0,0.0,0.0
82b26ffffffffff,333.0,0.0,0.0
82b277fffffffff,184.0,2.0,0.0
82b2cffffffffff,5.0,0.0,0.0
82b2e7fffffffff,68.0,0.0,0.0
82b2effffffffff,582.0,0.0,0.0
82b32ffffffffff,4.0,0.0,0.0
82b347fffffffff,146.0,12.0,0.0
82b34ffffffffff,44.0,0.0,0.0
82b357fffffffff,318.0,39.0,0.0
82b35ffffffffff,1123.0,94.0,0.0
82b367fffffffff,8.0,0.0,0.0
82b36ffffffffff,43.0,2.0,0.0
82b377fffffffff,194.0,23.0,0.0
82c207fffffffff,125.0,0.0,0.0
82c21ffffffffff,1362.0,0.0,17.0
82c227fffffffff,132.0,0.0,2.0
82c22ffffffffff,728.0,0.0,9.0
82c2c7fffffffff,1727.0,0.0,0.0
82c2cffffffffff,976.0,0.0,0.0
82c2d7fffffffff,1028.0,0.0,2.0
82c2dffffffffff,128.0,0.0,4.0
82c2e7fffffffff,1647.0,0.0,1.0
82c2effffffffff,454.0,0.0,0.0
82c2f7fffffffff,3132.0,0.0,11.0
82c30ffffffffff,16.0,0.0,0.0
82c32ffffffffff,1.0,0.0,0.0
82c347fffffffff,255.0,0.0,0.0
82c34ffffffffff,343.0,6.0,7.0
82c357fffffffff,381.0,0.0,8.0
82c35ffffffffff,81.0,0.0,1.0
82c367fffffffff,127.0,0.0,0.0
82c36ffffffffff,45.0,0.0,0.0
82c377fffffffff,183.0,0.0,0.0
82ce87fffffffff,9.0,0.0,0.0
82ce97fffffffff,353.0,0.0,0.0
82ce9ffffffffff,107.0,0.0,0.0
