cell_id,Cinnyris oustaleti,Cinnyris oustaleti oustaleti,Cinnyris oustaleti rhodesiae
828317fffffffff,2.0,2.0,0.0
828327fffffffff,31.0,15.0,0.0
828337fffffffff,56.0,32.0,0.0
829617fffffffff,7.0,0.0,0.0
8296affffffffff,9.0,0.0,3.0
82ac9ffffffffff,1.0,1.0,0.0
