cell_id,Cyanocitta stelleri,Cyanocitta stelleri [stelleri Group],Cyanocitta stelleri annectens,Cyanocitta stelleri [diademata Group],Cyanocitta stelleri [coronata Group]
820c47fffffffff,7.0,4.0,0.0,0.0,0.0
820c57fffffffff,4.0,2.0,0.0,0.0,0.0
820c77fffffffff,3.0,3.0,0.0,0.0,0.0
8212b7fffffffff,17.0,0.0,6.0,0.0,0.0
8212c7fffffffff,19.0,0.0,0.0,0.0,0.0
8212cffffffffff,28.0,0.0,0.0,0.0,0.0
8212d7fffffffff,3.0,1.0,2.0,0.0,0.0
8212dffffffffff,8.0,0.0,2.0,0.0,0.0
8212e7fffffffff,14.0,0.0,0.0,0.0,0.0
8212effffffffff,3.0,0.0,0.0,0.0,0.0
8212f7fffffffff,5.0,0.0,0.0,0.0,0.0
821387fffffffff,245.0,0.0,0.0,0.0,0.0
82139ffffffffff,6.0,6.0,0.0,0.0,0.0
8213b7fffffffff,9.0,0.0,0.0,0.0,0.0
821d27fffffffff,1.0,0.0,0.0,0.0,0.0
822687fffffffff,245.0,0.0,0.0,30.0,0.0
82268ffffffffff,91.0,0.0,0.0,27.0,0.0
822697fffffffff,246.0,0.0,0.0,210.0,0.0
82269ffffffffff,36.0,0.0,0.0,8.0,0.0
8226a7fffffffff,5.0,0.0,0.0,0.0,0.0
8226affffffffff,25.0,0.0,0.0,0.0,0.0
8226b7fffffffff,1.0,0.0,1.0,0.0,0.0
8226d7fffffffff,84.0,0.0,0.0,2.0,0.0
822797fffffffff,5.0,0.0,3.0,0.0,0.0
822807fffffffff,95.0,39.0,0.0,0.0,0.0
822817fffffffff,259.0,15.0,0.0,0.0,0.0
82281ffffffffff,26.0,9.0,0.0,0.0,0.0
822837fffffffff,481.0,83.0,0.0,0.0,0.0
822887fffffffff,137.0,8.0,10.0,0.0,0.0
82288ffffffffff,74.0,19.0,15.0,0.0,0.0
822897fffffffff,17.0,0.0,3.0,0.0,0.0
82289ffffffffff,9.0,8.0,0.0,0.0,0.0
8228a7fffffffff,3.0,2.0,0.0,0.0,0.0
8228affffffffff,9.0,5.0,1.0,0.0,0.0
8228b7fffffffff,8.0,0.0,8.0,0.0,0.0
8228c7fffffffff,33.0,6.0,0.0,0.0,0.0
8228d7fffffffff,14.0,6.0,2.0,0.0,0.0
8228dffffffffff,15.0,11.0,0.0,0.0,0.0
8228f7fffffffff,85.0,11.0,0.0,0.0,0.0
822917fffffffff,3.0,0.0,0.0,0.0,0.0
82291ffffffffff,16.0,3.0,0.0,0.0,0.0
822987fffffffff,4.0,0.0,0.0,4.0,0.0
82298ffffffffff,45.0,29.0,0.0,0.0,0.0
822997fffffffff,27.0,0.0,0.0,24.0,0.0
82299ffffffffff,39.0,0.0,0.0,1.0,0.0
8229a7fffffffff,106.0,20.0,0.0,0.0,0.0
8229affffffffff,39.0,31.0,0.0,0.0,0.0
8229b7fffffffff,8.0,0.0,0.0,0.0,0.0
824527fffffffff,30.0,0.0,0.0,0.0,19.0
824537fffffffff,3.0,0.0,0.0,0.0,0.0
824817fffffffff,1.0,0.0,0.0,0.0,0.0
8248affffffffff,5.0,0.0,0.0,0.0,0.0
8248c7fffffffff,113.0,0.0,0.0,25.0,0.0
8248cffffffffff,230.0,0.0,0.0,132.0,0.0
8248d7fffffffff,16.0,0.0,0.0,2.0,0.0
8248dffffffffff,38.0,0.0,0.0,32.0,0.0
8248effffffffff,685.0,0.0,0.0,124.0,0.0
8248f7fffffffff,40.0,0.0,0.0,2.0,0.0
824987fffffffff,10.0,0.0,0.0,0.0,8.0
82498ffffffffff,3.0,0.0,0.0,0.0,0.0
824997fffffffff,7.0,0.0,0.0,0.0,0.0
82499ffffffffff,3.0,0.0,0.0,0.0,3.0
8249affffffffff,2.0,0.0,0.0,0.0,0.0
8249b7fffffffff,17.0,0.0,0.0,0.0,17.0
826d17fffffffff,2.0,0.0,0.0,0.0,0.0
826d27fffffffff,4.0,0.0,0.0,0.0,0.0
826d2ffffffffff,46.0,0.0,0.0,0.0,14.0
826d67fffffffff,4.0,0.0,0.0,0.0,4.0
