cell_id,Pycnonotus plumosus,Pycnonotus plumosus [plumosus Group],Pycnonotus plumosus porphyreus
836414fffffffff,1.0,0.0,0.0
836422fffffffff,27.0,0.0,0.0
836426fffffffff,17.0,0.0,0.0
836430fffffffff,5.0,0.0,0.0
836431fffffffff,54.0,0.0,0.0
836433fffffffff,5.0,0.0,0.0
836434fffffffff,19.0,1.0,0.0
836435fffffffff,118.0,1.0,0.0
836500fffffffff,76.0,0.0,0.0
836501fffffffff,19.0,0.0,0.0
836502fffffffff,31.0,0.0,0.0
836503fffffffff,79.0,0.0,0.0
836505fffffffff,491.0,0.0,0.0
83650dfffffffff,11.0,0.0,0.0
836518fffffffff,35.0,0.0,0.0
836519fffffffff,26.0,0.0,0.0
83651bfffffffff,110.0,2.0,0.0
83651cfffffffff,99.0,1.0,0.0
83651dfffffffff,115.0,0.0,0.0
83651efffffffff,2.0,0.0,0.0
836520fffffffff,638.0,0.0,0.0
836522fffffffff,52.0,0.0,0.0
836524fffffffff,1.0,0.0,0.0
836525fffffffff,21.0,0.0,0.0
836526fffffffff,1314.0,0.0,0.0
83652cfffffffff,9.0,0.0,0.0
83652efffffffff,2.0,0.0,0.0
836531fffffffff,3.0,0.0,0.0
836535fffffffff,1.0,0.0,0.0
836554fffffffff,2.0,0.0,0.0
836589fffffffff,1.0,0.0,0.0
836802fffffffff,78.0,0.0,0.0
836810fffffffff,43.0,0.0,0.0
836811fffffffff,58.0,0.0,0.0
836812fffffffff,19.0,2.0,0.0
836815fffffffff,94.0,0.0,0.0
836816fffffffff,7.0,0.0,0.0
836818fffffffff,269.0,2.0,0.0
83681afffffffff,18.0,0.0,0.0
83681bfffffffff,3.0,0.0,0.0
83681cfffffffff,334.0,2.0,0.0
83681dfffffffff,7.0,0.0,0.0
83681efffffffff,10.0,1.0,0.0
836883fffffffff,2.0,0.0,0.0
83688afffffffff,2.0,0.0,0.0
836896fffffffff,25.0,0.0,0.0
8368a2fffffffff,1.0,0.0,0.0
8368a4fffffffff,4.0,0.0,0.0
8368a5fffffffff,8.0,0.0,0.0
8368acfffffffff,3.0,0.0,0.0
83699afffffffff,26.0,0.0,0.0
838c10fffffffff,8.0,0.0,0.0
838c13fffffffff,7.0,0.0,0.0
838c16fffffffff,1.0,0.0,0.0
838c88fffffffff,2.0,0.0,0.0
838c92fffffffff,4.0,0.0,0.0
838c96fffffffff,41.0,3.0,0.0
838c99fffffffff,2.0,0.0,0.0
838cadfffffffff,63.0,1.0,0.0
838cc2fffffffff,19.0,0.0,0.0
838cd8fffffffff,9.0,0.0,0.0
838cdcfffffffff,12.0,0.0,0.0
838cf2fffffffff,1.0,0.0,0.0
838d9afffffffff,21.0,0.0,0.0
838da2fffffffff,3.0,0.0,0.0
838da6fffffffff,11.0,0.0,0.0
838db5fffffffff,12.0,0.0,0.0
