cell_id,Hydrobates castro,Hydrobates castro castro,Hydrobates castro [undescribed form],Hydrobates castro bangsi
832a18fffffffff,2.0,0.0,0.0,0.0
832a1bfffffffff,1.0,0.0,0.0,0.0
832a1cfffffffff,2.0,0.0,0.0,0.0
832ac2fffffffff,4.0,0.0,0.0,0.0
832ac6fffffffff,1978.0,0.0,146.0,0.0
832af1fffffffff,57.0,0.0,3.0,0.0
832af5fffffffff,42.0,0.0,0.0,0.0
832f8cfffffffff,1.0,0.0,0.0,0.0
833422fffffffff,1.0,0.0,0.0,0.0
833426fffffffff,7.0,0.0,0.0,0.0
833434fffffffff,2.0,0.0,0.0,0.0
833441fffffffff,1.0,0.0,0.0,0.0
83344cfffffffff,1.0,0.0,0.0,0.0
833458fffffffff,2.0,0.0,0.0,0.0
83345bfffffffff,2.0,0.0,0.0,0.0
833460fffffffff,24.0,10.0,0.0,0.0
833464fffffffff,19.0,11.0,0.0,0.0
833466fffffffff,36.0,15.0,0.0,0.0
833468fffffffff,2.0,0.0,0.0,0.0
833469fffffffff,1.0,0.0,0.0,0.0
83346afffffffff,1.0,0.0,0.0,0.0
83346bfffffffff,3.0,0.0,0.0,0.0
83346dfffffffff,56.0,0.0,0.0,0.0
83346efffffffff,5.0,0.0,0.0,0.0
83351afffffffff,22.0,0.0,9.0,0.0
8335a8fffffffff,2.0,0.0,0.0,0.0
8335a9fffffffff,4.0,0.0,0.0,0.0
833933fffffffff,13.0,0.0,0.0,0.0
833994fffffffff,26.0,0.0,0.0,0.0
834409fffffffff,6.0,0.0,0.0,0.0
834416fffffffff,1.0,0.0,0.0,0.0
834472fffffffff,20.0,0.0,0.0,0.0
8344a0fffffffff,2.0,0.0,0.0,0.0
8344a1fffffffff,46.0,0.0,0.0,0.0
8344a5fffffffff,2.0,0.0,0.0,0.0
83464efffffffff,85.0,0.0,0.0,0.0
835128fffffffff,2.0,0.0,0.0,0.0
835594fffffffff,3.0,0.0,0.0,0.0
8355b2fffffffff,3.0,0.0,0.0,0.0
835ca8fffffffff,1.0,0.0,0.0,0.0
835cabfffffffff,2.0,0.0,0.0,0.0
835d12fffffffff,11.0,0.0,0.0,0.0
836691fffffffff,3.0,0.0,0.0,0.0
836698fffffffff,15.0,0.0,0.0,0.0
836699fffffffff,5.0,0.0,0.0,0.0
83669bfffffffff,15.0,0.0,0.0,0.0
83669cfffffffff,8.0,0.0,0.0,0.0
83669dfffffffff,12.0,0.0,0.0,0.0
8366b6fffffffff,5.0,0.0,0.0,0.0
83679afffffffff,3.0,0.0,0.0,0.0
836c53fffffffff,1.0,0.0,0.0,0.0
836c58fffffffff,38.0,0.0,0.0,13.0
836c59fffffffff,190.0,0.0,0.0,59.0
836c5afffffffff,116.0,0.0,0.0,10.0
836c5bfffffffff,190.0,0.0,0.0,38.0
836c5dfffffffff,137.0,0.0,0.0,66.0
836c5efffffffff,2.0,0.0,0.0,1.0
836d49fffffffff,12.0,0.0,0.0,0.0
836d4dfffffffff,6.0,0.0,0.0,0.0
836d6bfffffffff,1.0,0.0,0.0,0.0
837cacfffffffff,1.0,0.0,0.0,0.0
837cc3fffffffff,1.0,0.0,0.0,0.0
837cf3fffffffff,1.0,0.0,0.0,0.0
837d81fffffffff,2.0,0.0,0.0,0.0
838fa4fffffffff,16.0,0.0,0.0,0.0
838fa6fffffffff,166.0,0.0,0.0,44.0
838fb4fffffffff,3.0,0.0,0.0,2.0
8390d4fffffffff,2.0,0.0,0.0,0.0
839326fffffffff,2.0,0.0,0.0,0.0
83980afffffffff,5.0,0.0,0.0,0.0
83980efffffffff,1.0,0.0,0.0,0.0
83981dfffffffff,1.0,0.0,0.0,0.0
839831fffffffff,1.0,0.0,0.0,0.0
8399a4fffffffff,5.0,0.0,0.0,0.0
8399adfffffffff,1.0,0.0,0.0,0.0
