cell_id,Xenodacnis parina,Xenodacnis parina petersi/bella,Xenodacnis parina parina
8466da5ffffffff,4.0,0.0,0.0
848b611ffffffff,222.0,0.0,0.0
848b617ffffffff,16.0,0.0,0.0
848b619ffffffff,4.0,0.0,0.0
848b61bffffffff,88.0,0.0,0.0
848b657ffffffff,5.0,0.0,0.0
848b6c9ffffffff,25.0,0.0,0.0
848b6cdffffffff,235.0,0.0,0.0
848e617ffffffff,4.0,0.0,0.0
848e619ffffffff,2.0,0.0,0.0
848e651ffffffff,7.0,0.0,0.0
848e655ffffffff,25.0,0.0,0.0
848e657ffffffff,10.0,0.0,0.0
848e68bffffffff,3.0,0.0,0.0
848e691ffffffff,2.0,0.0,0.0
848e699ffffffff,1.0,0.0,0.0
848e69bffffffff,8.0,0.0,0.0
848e6c1ffffffff,4.0,0.0,0.0
848e6d1ffffffff,10.0,0.0,0.0
848e6d9ffffffff,103.0,0.0,0.0
848e6ddffffffff,26.0,0.0,0.0
848f297ffffffff,7.0,0.0,0.0
848f4a5ffffffff,1.0,0.0,0.0
848f519ffffffff,14.0,0.0,0.0
848f51dffffffff,2.0,0.0,0.0
848f581ffffffff,67.0,4.0,0.0
848f583ffffffff,17.0,4.0,0.0
848f589ffffffff,41.0,2.0,0.0
848f58bffffffff,1.0,0.0,0.0
848f58dffffffff,140.0,6.0,0.0
848f595ffffffff,2.0,0.0,0.0
848f597ffffffff,48.0,0.0,0.0
848f59dffffffff,8.0,2.0,0.0
848f5b9ffffffff,2.0,0.0,0.0
848f5c1ffffffff,5.0,0.0,0.0
848f5cdffffffff,4.0,0.0,0.0
848f5d5ffffffff,5.0,0.0,0.0
848f5ebffffffff,1.0,0.0,0.0
848f76dffffffff,486.0,50.0,0.0
84b3341ffffffff,1.0,0.0,0.0
84b3355ffffffff,57.0,0.0,0.0
