cell_id,Pardalotus punctatus,Pardalotus punctatus millitaris,Pardalotus punctatus punctatus,Pardalotus punctatus xanthopyge
849c05dffffffff,1.0,1.0,0.0,0.0
849c215ffffffff,69.0,14.0,0.0,0.0
849c231ffffffff,27.0,3.0,0.0,0.0
849c237ffffffff,12.0,0.0,0.0,0.0
849c239ffffffff,43.0,9.0,0.0,0.0
849c23bffffffff,44.0,5.0,0.0,0.0
849c251ffffffff,6.0,0.0,0.0,0.0
849c259ffffffff,32.0,0.0,0.0,0.0
849d013ffffffff,4.0,0.0,0.0,0.0
849d08dffffffff,1.0,0.0,0.0,0.0
849d0b7ffffffff,2.0,0.0,0.0,0.0
849d0c1ffffffff,2.0,0.0,0.0,0.0
849d0cdffffffff,6.0,0.0,0.0,0.0
849d0e9ffffffff,2.0,0.0,0.0,0.0
849d213ffffffff,2.0,0.0,0.0,0.0
849d217ffffffff,5.0,0.0,0.0,0.0
849d219ffffffff,7.0,0.0,0.0,0.0
849d21dffffffff,3.0,0.0,0.0,0.0
849d251ffffffff,3.0,0.0,0.0,0.0
849d253ffffffff,11.0,0.0,0.0,0.0
849d25bffffffff,7.0,0.0,2.0,0.0
849d2abffffffff,2.0,0.0,0.0,0.0
849d2c3ffffffff,18.0,0.0,0.0,0.0
84a7029ffffffff,1.0,0.0,0.0,0.0
84a7221ffffffff,1.0,0.0,0.0,0.0
84a7265ffffffff,62.0,0.0,0.0,0.0
84a7267ffffffff,10.0,0.0,0.0,0.0
84a7269ffffffff,6.0,0.0,0.0,0.0
84a726dffffffff,307.0,0.0,0.0,0.0
84a730dffffffff,2.0,0.0,0.0,0.0
84a7349ffffffff,2.0,0.0,0.0,0.0
84a7351ffffffff,1.0,0.0,0.0,0.0
84a7359ffffffff,5.0,0.0,0.0,0.0
84a735dffffffff,4.0,0.0,0.0,0.0
84b8299ffffffff,6.0,0.0,0.0,0.0
84b829bffffffff,4.0,0.0,0.0,2.0
84b82e3ffffffff,2.0,0.0,0.0,0.0
84b82e5ffffffff,5.0,0.0,0.0,1.0
84b8341ffffffff,3.0,0.0,0.0,3.0
84b8343ffffffff,12.0,0.0,0.0,2.0
84b8451ffffffff,2.0,0.0,0.0,0.0
84b8605ffffffff,1.0,0.0,0.0,0.0
84b8621ffffffff,2.0,0.0,0.0,0.0
84b8639ffffffff,2.0,0.0,0.0,0.0
84b8641ffffffff,1.0,0.0,0.0,1.0
84b864bffffffff,2.0,0.0,0.0,0.0
84b864dffffffff,2.0,0.0,0.0,0.0
84b865dffffffff,2.0,0.0,0.0,0.0
84b8669ffffffff,3.0,0.0,0.0,0.0
84b8681ffffffff,2.0,0.0,0.0,0.0
84b86a1ffffffff,2.0,0.0,0.0,0.0
84b86c3ffffffff,2.0,0.0,0.0,0.0
84b86e9ffffffff,2.0,0.0,0.0,0.0
84b910dffffffff,1.0,0.0,0.0,0.0
84b9111ffffffff,6.0,0.0,0.0,3.0
84b9119ffffffff,24.0,0.0,0.0,5.0
84b9123ffffffff,2.0,0.0,0.0,0.0
