cell_id,Aethopyga siparaja,Aethopyga siparaja [seheriae Group],Aethopyga siparaja [siparaja Group],Aethopyga siparaja flavostriata/beccarii
84209a5ffffffff,18.0,0.0,0.0,0.0
843c021ffffffff,2.0,0.0,0.0,0.0
843c029ffffffff,365.0,78.0,0.0,0.0
843c02dffffffff,125.0,3.0,0.0,0.0
843c065ffffffff,9.0,0.0,0.0,0.0
843c067ffffffff,52.0,0.0,0.0,0.0
843c069ffffffff,4.0,0.0,0.0,0.0
843c06dffffffff,2.0,0.0,0.0,0.0
843c0a5ffffffff,159.0,0.0,0.0,0.0
843c0a7ffffffff,1.0,1.0,0.0,0.0
843c0a9ffffffff,2.0,0.0,0.0,0.0
843c0adffffffff,21.0,0.0,0.0,0.0
843c0b5ffffffff,9.0,0.0,0.0,0.0
843c0b7ffffffff,10.0,1.0,0.0,0.0
843c159ffffffff,32.0,0.0,0.0,0.0
843c15bffffffff,2.0,0.0,0.0,0.0
843c199ffffffff,278.0,0.0,0.0,0.0
843c19bffffffff,27.0,0.0,0.0,0.0
843c1c3ffffffff,6.0,0.0,0.0,0.0
843c1d1ffffffff,10.0,0.0,0.0,0.0
843c1d3ffffffff,70.0,0.0,0.0,0.0
843c1d5ffffffff,2.0,0.0,0.0,0.0
843c1d7ffffffff,55.0,0.0,0.0,0.0
843c1dbffffffff,5.0,0.0,0.0,0.0
843c307ffffffff,1.0,0.0,0.0,0.0
843c315ffffffff,4.0,0.0,0.0,0.0
843c329ffffffff,4.0,0.0,0.0,0.0
843c32bffffffff,4.0,0.0,0.0,0.0
843c333ffffffff,1.0,0.0,0.0,0.0
843c337ffffffff,1.0,0.0,0.0,0.0
843c33bffffffff,133.0,0.0,0.0,0.0
843c341ffffffff,2.0,0.0,0.0,0.0
843c345ffffffff,3.0,0.0,0.0,0.0
843c369ffffffff,4.0,0.0,0.0,0.0
843c36bffffffff,11.0,0.0,0.0,0.0
843c521ffffffff,1.0,0.0,0.0,0.0
843c525ffffffff,14.0,0.0,0.0,0.0
843c527ffffffff,21.0,0.0,0.0,0.0
843c537ffffffff,24.0,0.0,0.0,0.0
843c581ffffffff,49.0,0.0,0.0,0.0
843c585ffffffff,49.0,0.0,0.0,0.0
843c587ffffffff,8.0,0.0,0.0,0.0
843c58dffffffff,4.0,0.0,0.0,0.0
843c5a1ffffffff,149.0,0.0,0.0,0.0
843c5a9ffffffff,36.0,0.0,0.0,0.0
843c5abffffffff,3.0,0.0,0.0,0.0
843c5adffffffff,6.0,0.0,0.0,0.0
843c5b3ffffffff,4.0,0.0,0.0,0.0
843c5e3ffffffff,28.0,0.0,0.0,0.0
843c5e7ffffffff,2.0,0.0,0.0,0.0
843c5ebffffffff,3.0,0.0,0.0,0.0
843c829ffffffff,1.0,0.0,0.0,0.0
843c8c1ffffffff,3.0,0.0,0.0,0.0
843c8c7ffffffff,43.0,0.0,0.0,0.0
843c8c9ffffffff,1.0,0.0,0.0,0.0
843c8cbffffffff,31.0,0.0,0.0,0.0
843c929ffffffff,3.0,0.0,0.0,0.0
843c947ffffffff,11.0,0.0,0.0,0.0
843c953ffffffff,1.0,0.0,0.0,0.0
843ca85ffffffff,1.0,0.0,0.0,0.0
843cc01ffffffff,2.0,0.0,0.0,0.0
843cc03ffffffff,3.0,0.0,0.0,0.0
843cc07ffffffff,6.0,0.0,0.0,0.0
843cc0bffffffff,11.0,0.0,0.0,0.0
843cc0dffffffff,4.0,0.0,0.0,0.0
843cc29ffffffff,10.0,0.0,0.0,0.0
843cc39ffffffff,2.0,0.0,0.0,0.0
843cc41ffffffff,51.0,0.0,0.0,0.0
843cc43ffffffff,14.0,0.0,0.0,0.0
843cc45ffffffff,2.0,0.0,0.0,0.0
843cc47ffffffff,2.0,0.0,0.0,0.0
843cc51ffffffff,2.0,0.0,0.0,0.0
843cc55ffffffff,30.0,0.0,0.0,0.0
843cc5bffffffff,24.0,0.0,0.0,0.0
843cc5dffffffff,29.0,0.0,0.0,0.0
843cc6dffffffff,2.0,0.0,0.0,0.0
843ccb5ffffffff,4.0,0.0,0.0,0.0
843ccb7ffffffff,7.0,0.0,0.0,0.0
843ccc9ffffffff,42.0,0.0,0.0,0.0
843cd49ffffffff,6.0,0.0,0.0,0.0
843cd4bffffffff,13.0,0.0,0.0,0.0
843cd8bffffffff,4.0,0.0,0.0,0.0
843cd9dffffffff,4.0,0.0,0.0,0.0
843cdc5ffffffff,2.0,0.0,0.0,0.0
843cddbffffffff,1.0,0.0,0.0,0.0
843ce03ffffffff,28.0,0.0,0.0,0.0
843ce09ffffffff,15.0,0.0,0.0,0.0
