cell_id,Coereba flaveola,Coereba flaveola bahamensis,Coereba flaveola caboti,Coereba flaveola [flaveola Group],Coereba flaveola [portoricensis Group],Coereba flaveola [bartholemica Group],Coereba flaveola atrata,Coereba flaveola aterrima,Coereba flaveola lowii,Coereba flaveola laurae/melanornis,Coereba flaveola [luteola Group]
8444249ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844424dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844480dffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444843ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444845ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444847ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844484bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444861ffffffff,198.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444869ffffffff,222.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844486bffffffff,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844486dffffffff,88.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444a27ffffffff,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444a2dffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b05ffffffff,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b07ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b09ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b13ffffffff,108.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b17ffffffff,152.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b1bffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b2bffffffff,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b2dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b39ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b47ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b51ffffffff,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b53ffffffff,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b57ffffffff,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
