cell_id,Camptostoma obsoletum,Camptostoma obsoletum [pusillum Group],Camptostoma obsoletum [obsoletum Group]
825f07fffffffff,26.0,0.0,0.0
825f0ffffffffff,147.0,0.0,0.0
825f17fffffffff,73.0,0.0,0.0
825f1ffffffffff,36.0,0.0,0.0
825f27fffffffff,2.0,0.0,0.0
825f2ffffffffff,222.0,0.0,0.0
825f47fffffffff,87.0,3.0,0.0
825f4ffffffffff,95.0,0.0,0.0
825f57fffffffff,10.0,0.0,0.0
825f5ffffffffff,624.0,0.0,0.0
825f6ffffffffff,65.0,0.0,0.0
825f77fffffffff,11.0,2.0,0.0
826607fffffffff,232.0,1.0,0.0
82660ffffffffff,658.0,0.0,0.0
826617fffffffff,729.0,66.0,0.0
82661ffffffffff,2493.0,11.0,0.0
826627fffffffff,1393.0,83.0,0.0
82662ffffffffff,102.0,0.0,0.0
826637fffffffff,248.0,1.0,0.0
826647fffffffff,207.0,0.0,0.0
82664ffffffffff,3.0,0.0,0.0
826657fffffffff,674.0,0.0,0.0
82665ffffffffff,33.0,0.0,0.0
826667fffffffff,114.0,0.0,0.0
82666ffffffffff,1.0,0.0,0.0
826677fffffffff,485.0,0.0,0.0
826687fffffffff,12.0,0.0,0.0
8266a7fffffffff,4954.0,347.0,0.0
8266b7fffffffff,2065.0,13.0,0.0
8266c7fffffffff,605.0,0.0,0.0
8266cffffffffff,27.0,0.0,0.0
8266d7fffffffff,4091.0,0.0,397.0
8266dffffffffff,125.0,11.0,0.0
8266e7fffffffff,5782.0,26.0,0.0
8266effffffffff,198.0,0.0,0.0
8266f7fffffffff,3481.0,41.0,0.0
826747fffffffff,256.0,7.0,0.0
82674ffffffffff,2350.0,15.0,0.0
826757fffffffff,376.0,2.0,0.0
82675ffffffffff,459.0,5.0,0.0
826d6ffffffffff,1086.0,0.0,0.0
828007fffffffff,21.0,0.0,0.0
82800ffffffffff,10.0,0.0,0.0
828017fffffffff,289.0,0.0,6.0
82801ffffffffff,4.0,0.0,0.0
828027fffffffff,9.0,0.0,0.0
82802ffffffffff,6.0,0.0,0.0
828037fffffffff,208.0,0.0,5.0
828047fffffffff,215.0,0.0,0.0
82804ffffffffff,17.0,0.0,0.0
828057fffffffff,16.0,0.0,0.0
828067fffffffff,14.0,0.0,0.0
82806ffffffffff,22.0,1.0,0.0
828077fffffffff,10.0,0.0,0.0
828107fffffffff,344.0,0.0,21.0
82810ffffffffff,6.0,0.0,0.0
828117fffffffff,35.0,0.0,1.0
82811ffffffffff,41.0,0.0,0.0
828127fffffffff,382.0,0.0,9.0
82812ffffffffff,54.0,0.0,8.0
828137fffffffff,250.0,0.0,9.0
828147fffffffff,87.0,0.0,0.0
82814ffffffffff,293.0,0.0,0.0
828157fffffffff,4.0,0.0,0.0
82815ffffffffff,90.0,0.0,0.0
828167fffffffff,54.0,0.0,0.0
828177fffffffff,116.0,0.0,0.0
828187fffffffff,196.0,0.0,16.0
82818ffffffffff,128.0,0.0,1.0
82819ffffffffff,63.0,0.0,0.0
8281a7fffffffff,14.0,0.0,2.0
8281affffffffff,113.0,0.0,5.0
828a07fffffffff,57.0,3.0,0.0
828a17fffffffff,44.0,0.0,0.0
828a1ffffffffff,2.0,0.0,0.0
828a27fffffffff,8.0,0.0,0.0
828a37fffffffff,8.0,0.0,0.0
828a47fffffffff,124.0,0.0,0.0
828a4ffffffffff,2.0,0.0,0.0
828a57fffffffff,1.0,0.0,0.0
828a6ffffffffff,231.0,0.0,0.0
828a87fffffffff,36.0,0.0,0.0
828a8ffffffffff,27.0,2.0,0.0
828a97fffffffff,15.0,0.0,0.0
828a9ffffffffff,8.0,0.0,0.0
828aaffffffffff,63.0,2.0,0.0
828ab7fffffffff,3.0,0.0,0.0
828ac7fffffffff,2.0,0.0,0.0
828ad7fffffffff,3.0,0.0,0.0
828adffffffffff,97.0,11.0,0.0
828ae7fffffffff,2.0,0.0,0.0
828af7fffffffff,293.0,40.0,0.0
828b07fffffffff,9.0,0.0,0.0
828b0ffffffffff,96.0,0.0,0.0
828b17fffffffff,22.0,0.0,0.0
828b1ffffffffff,18.0,0.0,0.0
828b27fffffffff,489.0,0.0,0.0
828b2ffffffffff,161.0,0.0,0.0
828b37fffffffff,16.0,0.0,0.0
828b47fffffffff,108.0,0.0,0.0
828b4ffffffffff,1.0,0.0,0.0
828b57fffffffff,18.0,0.0,0.0
828b5ffffffffff,9.0,0.0,0.0
828b67fffffffff,33.0,0.0,0.0
828b6ffffffffff,7.0,0.0,0.0
828b77fffffffff,50.0,0.0,0.0
828b87fffffffff,49.0,0.0,0.0
828b8ffffffffff,14.0,0.0,0.0
