cell_id,Perisoreus canadensis,Perisoreus canadensis [canadensis Group],Perisoreus canadensis capitalis/bicolor,Perisoreus canadensis obscurus/griseus
830c46fffffffff,1.0,0.0,0.0,0.0
830c50fffffffff,2.0,0.0,0.0,0.0
830c51fffffffff,2.0,1.0,0.0,0.0
830c55fffffffff,5.0,1.0,0.0,0.0
830c73fffffffff,9.0,0.0,0.0,0.0
830cecfffffffff,2.0,0.0,0.0,0.0
830d49fffffffff,2.0,0.0,0.0,0.0
830d62fffffffff,69.0,0.0,0.0,0.0
830d72fffffffff,3.0,0.0,0.0,0.0
830e45fffffffff,3.0,0.0,0.0,0.0
830e48fffffffff,6.0,0.0,0.0,0.0
830e4afffffffff,1.0,0.0,0.0,0.0
830e4bfffffffff,4.0,0.0,0.0,0.0
830e53fffffffff,2.0,0.0,0.0,0.0
830e62fffffffff,2.0,0.0,0.0,0.0
830e6afffffffff,5.0,0.0,0.0,0.0
830e80fffffffff,5.0,5.0,0.0,0.0
830ec5fffffffff,27.0,0.0,0.0,0.0
830ecbfffffffff,2.0,0.0,0.0,0.0
830eccfffffffff,9.0,0.0,0.0,0.0
830ee8fffffffff,4.0,0.0,0.0,0.0
830eeafffffffff,63.0,0.0,0.0,0.0
830eeefffffffff,8.0,0.0,0.0,0.0
831230fffffffff,3.0,0.0,0.0,0.0
831243fffffffff,4.0,0.0,0.0,0.0
831251fffffffff,2.0,2.0,0.0,0.0
831253fffffffff,4.0,4.0,0.0,0.0
831255fffffffff,1.0,1.0,0.0,0.0
831259fffffffff,2.0,0.0,0.0,0.0
8312adfffffffff,1.0,1.0,0.0,0.0
8312c0fffffffff,5.0,4.0,0.0,0.0
8312c2fffffffff,4.0,0.0,4.0,0.0
8312c4fffffffff,5.0,3.0,0.0,0.0
8312cbfffffffff,5.0,0.0,2.0,0.0
8312ccfffffffff,2.0,2.0,0.0,0.0
8312d8fffffffff,3.0,0.0,3.0,0.0
8312dafffffffff,3.0,0.0,1.0,2.0
8312dbfffffffff,10.0,0.0,0.0,0.0
8312e1fffffffff,1.0,1.0,0.0,0.0
8312f1fffffffff,4.0,0.0,0.0,0.0
831348fffffffff,2.0,0.0,0.0,0.0
831349fffffffff,4.0,0.0,0.0,0.0
831382fffffffff,3.0,0.0,0.0,0.0
8313b0fffffffff,1.0,0.0,0.0,0.0
8313b5fffffffff,3.0,0.0,0.0,0.0
831aa3fffffffff,1.0,0.0,0.0,0.0
832680fffffffff,2.0,0.0,0.0,0.0
832681fffffffff,87.0,0.0,20.0,0.0
832683fffffffff,6.0,0.0,0.0,0.0
832685fffffffff,4.0,0.0,0.0,0.0
83268bfffffffff,15.0,0.0,4.0,0.0
83268cfffffffff,22.0,0.0,0.0,0.0
83268efffffffff,8.0,0.0,4.0,0.0
832690fffffffff,26.0,0.0,4.0,0.0
832693fffffffff,4.0,0.0,0.0,0.0
832694fffffffff,44.0,0.0,5.0,0.0
832695fffffffff,4.0,0.0,2.0,0.0
832698fffffffff,3.0,0.0,0.0,0.0
83269cfffffffff,5.0,0.0,1.0,0.0
83269efffffffff,2.0,0.0,0.0,0.0
8326a3fffffffff,1.0,0.0,0.0,0.0
832709fffffffff,3.0,3.0,0.0,0.0
83270efffffffff,1.0,0.0,0.0,0.0
832718fffffffff,2.0,0.0,0.0,0.0
832729fffffffff,2.0,0.0,0.0,0.0
83272dfffffffff,1.0,0.0,0.0,0.0
832740fffffffff,1.0,1.0,0.0,0.0
832742fffffffff,15.0,0.0,0.0,0.0
832744fffffffff,1.0,0.0,0.0,0.0
832746fffffffff,254.0,0.0,0.0,0.0
832750fffffffff,30.0,3.0,0.0,0.0
832754fffffffff,5.0,0.0,0.0,0.0
832755fffffffff,147.0,8.0,0.0,0.0
832756fffffffff,35.0,2.0,0.0,0.0
832763fffffffff,272.0,1.0,0.0,0.0
83276efffffffff,6.0,0.0,0.0,0.0
832770fffffffff,76.0,6.0,0.0,0.0
832771fffffffff,6.0,0.0,0.0,0.0
832773fffffffff,3.0,0.0,0.0,0.0
83279afffffffff,24.0,0.0,6.0,0.0
832802fffffffff,6.0,0.0,0.0,0.0
832803fffffffff,2.0,0.0,0.0,2.0
832810fffffffff,34.0,0.0,0.0,1.0
832811fffffffff,2.0,0.0,0.0,0.0
832813fffffffff,1.0,0.0,0.0,1.0
832814fffffffff,17.0,0.0,0.0,0.0
832815fffffffff,2.0,0.0,0.0,0.0
832818fffffffff,2.0,0.0,0.0,0.0
83281afffffffff,4.0,0.0,0.0,0.0
83281bfffffffff,2.0,0.0,0.0,2.0
83281cfffffffff,8.0,0.0,0.0,4.0
83281efffffffff,70.0,0.0,0.0,12.0
832880fffffffff,2.0,0.0,0.0,0.0
832881fffffffff,1.0,0.0,1.0,0.0
832883fffffffff,2.0,0.0,0.0,0.0
83288cfffffffff,2.0,0.0,2.0,0.0
83288efffffffff,28.0,0.0,2.0,0.0
832892fffffffff,2.0,0.0,0.0,0.0
832894fffffffff,2.0,0.0,0.0,0.0
