cell_id,Malaconotus monteiri,Malaconotus monteiri perspicillatus,Malaconotus monteiri monteiri
8483113ffffffff,8.0,0.0,0.0
8483117ffffffff,11.0,0.0,1.0
848313dffffffff,1.0,0.0,0.0
8483151ffffffff,12.0,0.0,2.0
8483157ffffffff,4.0,0.0,1.0
848315bffffffff,1.0,0.0,0.0
84831e5ffffffff,10.0,0.0,0.0
84831e7ffffffff,2.0,0.0,0.0
84831edffffffff,1.0,0.0,0.0
8483ad9ffffffff,1.0,0.0,0.0
