cell_id,Apalis flavida,Apalis flavida flavocincta/viridiceps,Apalis flavida [flavida Group]
82541ffffffffff,4.0,0.0,0.0
8254affffffffff,71.0,0.0,3.0
8254e7fffffffff,21.0,0.0,5.0
8254f7fffffffff,91.0,0.0,7.0
825887fffffffff,2.0,0.0,0.0
82588ffffffffff,1.0,0.0,0.0
8258cffffffffff,2.0,0.0,0.0
8258dffffffffff,4.0,0.0,0.0
8258e7fffffffff,7.0,0.0,0.0
8258f7fffffffff,1.0,0.0,0.0
826a4ffffffffff,8.0,0.0,0.0
826a5ffffffffff,52.0,38.0,0.0
826ac7fffffffff,61.0,0.0,0.0
826acffffffffff,226.0,0.0,3.0
826adffffffffff,139.0,0.0,0.0
826ae7fffffffff,4.0,0.0,0.0
826aeffffffffff,49.0,0.0,0.0
827527fffffffff,156.0,0.0,16.0
827a47fffffffff,349.0,0.0,0.0
827a4ffffffffff,266.0,28.0,0.0
827a57fffffffff,2.0,0.0,0.0
827a5ffffffffff,3.0,2.0,0.0
827a67fffffffff,457.0,51.0,0.0
827a6ffffffffff,1607.0,2.0,0.0
827a77fffffffff,2.0,0.0,0.0
827ac7fffffffff,1.0,0.0,0.0
827acffffffffff,17.0,3.0,0.0
827adffffffffff,4.0,0.0,0.0
827aeffffffffff,203.0,56.0,0.0
827b4ffffffffff,16.0,2.0,0.0
827b5ffffffffff,3.0,0.0,0.0
827b6ffffffffff,25.0,0.0,0.0
82828ffffffffff,2.0,0.0,0.0
8282f7fffffffff,6.0,0.0,0.0
828307fffffffff,5.0,0.0,0.0
828317fffffffff,10.0,0.0,1.0
82831ffffffffff,8.0,0.0,0.0
828327fffffffff,13.0,0.0,0.0
828337fffffffff,1.0,0.0,1.0
829607fffffffff,49.0,0.0,8.0
82960ffffffffff,13.0,0.0,3.0
829617fffffffff,2.0,0.0,0.0
82961ffffffffff,1.0,0.0,0.0
829627fffffffff,199.0,0.0,12.0
82962ffffffffff,43.0,0.0,7.0
829637fffffffff,58.0,0.0,10.0
829657fffffffff,2.0,0.0,0.0
829667fffffffff,4.0,0.0,0.0
829677fffffffff,7.0,0.0,1.0
829687fffffffff,5.0,0.0,0.0
82968ffffffffff,2.0,0.0,0.0
829697fffffffff,793.0,47.0,9.0
82969ffffffffff,5.0,0.0,0.0
8296a7fffffffff,44.0,0.0,0.0
8296affffffffff,8.0,0.0,0.0
8296b7fffffffff,225.0,14.0,0.0
829707fffffffff,80.0,0.0,8.0
82970ffffffffff,7.0,0.0,2.0
829717fffffffff,269.0,0.0,0.0
82971ffffffffff,64.0,0.0,0.0
829727fffffffff,16.0,0.0,3.0
82972ffffffffff,298.0,0.0,64.0
829737fffffffff,38.0,0.0,0.0
829747fffffffff,30.0,0.0,0.0
82974ffffffffff,166.0,0.0,50.0
829757fffffffff,279.0,0.0,61.0
82975ffffffffff,122.0,0.0,18.0
82978ffffffffff,43.0,0.0,2.0
829797fffffffff,8.0,0.0,0.0
82979ffffffffff,6.0,0.0,0.0
8297affffffffff,68.0,0.0,13.0
82ac87fffffffff,98.0,0.0,20.0
82ac8ffffffffff,15.0,0.0,0.0
82ac97fffffffff,22.0,0.0,4.0
82aca7fffffffff,1.0,0.0,0.0
82acb7fffffffff,22.0,0.0,0.0
82bc0ffffffffff,2.0,0.0,0.0
82bc1ffffffffff,22.0,0.0,4.0
82bc47fffffffff,2.0,0.0,0.0
82bc57fffffffff,5.0,0.0,0.0
82bc77fffffffff,19.0,0.0,0.0
82bc8ffffffffff,163.0,0.0,56.0
82bc9ffffffffff,23.0,0.0,0.0
82bcd7fffffffff,1226.0,0.0,191.0
82bcdffffffffff,4.0,0.0,2.0
82bce7fffffffff,21.0,0.0,0.0
82bcf7fffffffff,1381.0,0.0,286.0
