cell_id,Mergus merganser,Mergus merganser merganser/orientalis,Mergus merganser americanus
820137fffffffff,12.0,0.0,0.0
820747fffffffff,8.0,5.0,0.0
820767fffffffff,3.0,0.0,0.0
820777fffffffff,4.0,4.0,0.0
820887fffffffff,5.0,1.0,0.0
82089ffffffffff,2.0,0.0,0.0
820c17fffffffff,40.0,0.0,12.0
820c47fffffffff,21.0,0.0,4.0
820c57fffffffff,15.0,0.0,8.0
820c5ffffffffff,19.0,0.0,1.0
820c67fffffffff,2.0,0.0,0.0
820c6ffffffffff,2.0,0.0,0.0
820c77fffffffff,51.0,0.0,16.0
820c8ffffffffff,3.0,2.0,0.0
820ca7fffffffff,45.0,2.0,28.0
820cdffffffffff,2.0,0.0,0.0
820ceffffffffff,13.0,0.0,0.0
820d07fffffffff,1.0,0.0,0.0
820d0ffffffffff,3.0,0.0,0.0
820d5ffffffffff,6.0,0.0,0.0
820d77fffffffff,14.0,0.0,0.0
820e0ffffffffff,3.0,0.0,0.0
820e4ffffffffff,3.0,0.0,0.0
820e57fffffffff,2.0,0.0,0.0
820e5ffffffffff,1.0,0.0,0.0
820e6ffffffffff,8.0,0.0,0.0
820e87fffffffff,6.0,0.0,1.0
820e97fffffffff,4.0,0.0,4.0
820ec7fffffffff,15.0,0.0,0.0
820ecffffffffff,13.0,0.0,0.0
820edffffffffff,1.0,0.0,0.0
820eeffffffffff,190.0,0.0,0.0
820ef7fffffffff,4.0,0.0,3.0
82124ffffffffff,5.0,0.0,0.0
821257fffffffff,14.0,0.0,1.0
82125ffffffffff,7.0,0.0,2.0
82129ffffffffff,6.0,0.0,0.0
8212affffffffff,5.0,0.0,0.0
8212b7fffffffff,5.0,0.0,2.0
8212c7fffffffff,30.0,0.0,2.0
8212cffffffffff,60.0,0.0,4.0
8212d7fffffffff,6.0,0.0,0.0
8212dffffffffff,14.0,0.0,0.0
8212e7fffffffff,7.0,0.0,0.0
8212effffffffff,5.0,0.0,1.0
8212f7fffffffff,3.0,0.0,3.0
82134ffffffffff,6.0,0.0,0.0
821387fffffffff,69.0,0.0,0.0
821397fffffffff,7.0,0.0,0.0
82139ffffffffff,5.0,0.0,5.0
821657fffffffff,43.0,43.0,0.0
82165ffffffffff,1.0,1.0,0.0
821827fffffffff,4.0,3.0,0.0
82182ffffffffff,44.0,28.0,0.0
82184ffffffffff,56.0,0.0,0.0
82186ffffffffff,2.0,0.0,0.0
82190ffffffffff,6.0,0.0,0.0
82192ffffffffff,4.0,4.0,0.0
821947fffffffff,20.0,3.0,0.0
82194ffffffffff,14.0,4.0,0.0
821957fffffffff,5.0,2.0,0.0
82195ffffffffff,20.0,4.0,0.0
82196ffffffffff,14.0,9.0,0.0
821977fffffffff,7.0,0.0,0.0
821aa7fffffffff,150.0,0.0,0.0
821ab7fffffffff,2.0,0.0,0.0
821b87fffffffff,4.0,0.0,0.0
821b9ffffffffff,56.0,0.0,0.0
821d27fffffffff,4.0,0.0,0.0
821e07fffffffff,43.0,2.0,0.0
821e0ffffffffff,1.0,0.0,0.0
821e17fffffffff,6.0,0.0,0.0
821e1ffffffffff,4.0,0.0,0.0
821e27fffffffff,6.0,0.0,0.0
821e2ffffffffff,3.0,0.0,0.0
821e37fffffffff,12.0,2.0,0.0
821e47fffffffff,70.0,0.0,0.0
821e57fffffffff,4.0,0.0,0.0
821e5ffffffffff,9.0,0.0,0.0
821e77fffffffff,12.0,0.0,0.0
821e9ffffffffff,2.0,0.0,0.0
821ea7fffffffff,2.0,2.0,0.0
821eaffffffffff,3.0,0.0,0.0
821ec7fffffffff,17.0,1.0,0.0
821ecffffffffff,1.0,0.0,0.0
821ed7fffffffff,2.0,0.0,0.0
821ef7fffffffff,7.0,1.0,0.0
821f07fffffffff,8.0,5.0,0.0
821f0ffffffffff,5.0,0.0,0.0
821f1ffffffffff,4.0,2.0,0.0
821f2ffffffffff,4.0,2.0,0.0
821f37fffffffff,1.0,0.0,0.0
821f57fffffffff,5.0,0.0,0.0
821f77fffffffff,9.0,0.0,0.0
821f87fffffffff,8.0,1.0,0.0
821f8ffffffffff,26.0,10.0,0.0
821f97fffffffff,6.0,3.0,0.0
821f9ffffffffff,37.0,4.0,0.0
821faffffffffff,16.0,7.0,0.0
82201ffffffffff,7.0,0.0,0.0
822087fffffffff,2.0,0.0,0.0
82208ffffffffff,2.0,0.0,0.0
8220affffffffff,4.0,0.0,0.0
8220f7fffffffff,4.0,0.0,0.0
822157fffffffff,1.0,0.0,0.0
82219ffffffffff,2.0,0.0,0.0
