cell_id,Luscinia megarhynchos,Luscinia megarhynchos megarhynchos/africana,Luscinia megarhynchos golzii
8409a47ffffffff,2.0,0.0,0.0
8418443ffffffff,2.0,0.0,0.0
8418451ffffffff,12.0,0.0,0.0
8418459ffffffff,3.0,0.0,0.0
841845bffffffff,1.0,0.0,0.0
841845dffffffff,5.0,0.0,0.0
8418493ffffffff,15.0,0.0,0.0
8418495ffffffff,282.0,0.0,0.0
8418497ffffffff,10.0,0.0,0.0
841849dffffffff,13.0,0.0,0.0
84184a3ffffffff,1.0,0.0,0.0
84184b1ffffffff,11.0,0.0,0.0
84184b3ffffffff,14.0,0.0,0.0
84184b5ffffffff,3.0,0.0,0.0
84184b7ffffffff,50.0,0.0,0.0
84184b9ffffffff,21.0,0.0,0.0
84184bbffffffff,20.0,0.0,0.0
84184bdffffffff,15.0,0.0,0.0
84184ddffffffff,23.0,0.0,0.0
8418593ffffffff,6.0,0.0,0.0
8418597ffffffff,2.0,0.0,0.0
84185b5ffffffff,1.0,0.0,0.0
84185bbffffffff,4.0,0.0,0.0
8418633ffffffff,6.0,0.0,0.0
841865dffffffff,5.0,0.0,0.0
8418683ffffffff,2.0,0.0,0.0
8418685ffffffff,32.0,0.0,0.0
8418687ffffffff,7.0,0.0,0.0
8418689ffffffff,2.0,0.0,0.0
841868dffffffff,2.0,0.0,0.0
8418691ffffffff,2.0,0.0,0.0
8418695ffffffff,4.0,0.0,0.0
8418697ffffffff,6.0,0.0,0.0
84186a1ffffffff,7.0,0.0,0.0
84186a3ffffffff,4.0,0.0,0.0
84186a5ffffffff,4.0,0.0,0.0
84186a7ffffffff,12.0,0.0,0.0
84186a9ffffffff,1.0,0.0,0.0
84186bdffffffff,2.0,0.0,0.0
84186c1ffffffff,2.0,0.0,0.0
84186c3ffffffff,51.0,0.0,0.0
84186c5ffffffff,3.0,0.0,0.0
84186c7ffffffff,3.0,0.0,0.0
84186c9ffffffff,46.0,0.0,0.0
84186cbffffffff,20.0,0.0,0.0
84186d1ffffffff,12.0,0.0,0.0
84186d5ffffffff,2.0,0.0,0.0
84186d7ffffffff,2.0,0.0,0.0
84186dbffffffff,6.0,0.0,0.0
84186e3ffffffff,1.0,0.0,0.0
84186e7ffffffff,2.0,0.0,0.0
84186ebffffffff,3.0,0.0,0.0
84186edffffffff,1.0,0.0,0.0
841873bffffffff,3.0,0.0,0.0
841875dffffffff,2.0,0.0,0.0
8419411ffffffff,9.0,0.0,0.0
8419413ffffffff,161.0,0.0,0.0
8419415ffffffff,6.0,0.0,0.0
8419417ffffffff,2.0,0.0,0.0
8419433ffffffff,54.0,1.0,0.0
8419435ffffffff,1.0,0.0,0.0
8419437ffffffff,9.0,0.0,0.0
841943bffffffff,5.0,0.0,0.0
841943dffffffff,2.0,0.0,0.0
8419481ffffffff,3.0,0.0,0.0
8419483ffffffff,5.0,0.0,0.0
8419485ffffffff,29.0,0.0,0.0
841948bffffffff,3.0,0.0,0.0
841948dffffffff,31.0,0.0,0.0
8419497ffffffff,5.0,0.0,0.0
841949dffffffff,4.0,0.0,0.0
84194a1ffffffff,7.0,0.0,0.0
84194a3ffffffff,1.0,0.0,0.0
84194a5ffffffff,136.0,0.0,0.0
84194a9ffffffff,12.0,0.0,0.0
84194abffffffff,9.0,0.0,0.0
84194adffffffff,9.0,0.0,0.0
84194b9ffffffff,16.0,0.0,0.0
84194bbffffffff,2.0,0.0,0.0
84194c5ffffffff,71.0,0.0,0.0
84194d5ffffffff,2.0,0.0,0.0
84194d9ffffffff,22.0,0.0,0.0
84194dbffffffff,4.0,0.0,0.0
84194ddffffffff,10.0,0.0,0.0
84194e1ffffffff,14.0,0.0,0.0
84194e3ffffffff,21.0,0.0,0.0
84194e7ffffffff,61.0,0.0,0.0
84194e9ffffffff,41.0,0.0,0.0
84194ebffffffff,36.0,0.0,0.0
84194edffffffff,54.0,0.0,0.0
8419589ffffffff,3.0,0.0,0.0
