cell_id,Podargus ocellatus,Podargus ocellatus [ocellatus Group],Podargus ocellatus plumiferus
849c191ffffffff,6.0,2.0,0.0
849c8b5ffffffff,3.0,0.0,0.0
849c8bdffffffff,2.0,0.0,0.0
849cc63ffffffff,1.0,0.0,0.0
849cd31ffffffff,2.0,0.0,0.0
849cd33ffffffff,1.0,1.0,0.0
849cf53ffffffff,4.0,0.0,0.0
849d9b3ffffffff,1.0,0.0,0.0
84be8d7ffffffff,3.0,0.0,2.0
84beabbffffffff,12.0,0.0,3.0
84bef6dffffffff,5.0,0.0,0.0
