cell_id,Setophaga dominica,Setophaga dominica albilora,Setophaga dominica dominica/stoddardi
830e49fffffffff,5.0,2.0,0.0
830e4dfffffffff,5.0,0.0,0.0
830e80fffffffff,1.0,0.0,0.0
830eccfffffffff,1.0,0.0,1.0
831259fffffffff,2.0,0.0,0.0
8312eefffffffff,14.0,0.0,0.0
831aa0fffffffff,59.0,0.0,0.0
831aa3fffffffff,13.0,0.0,0.0
832601fffffffff,2.0,0.0,0.0
832608fffffffff,86.0,0.0,0.0
832609fffffffff,4.0,0.0,0.0
83260bfffffffff,24.0,8.0,0.0
83260dfffffffff,2.0,0.0,0.0
83260efffffffff,4.0,0.0,0.0
83262bfffffffff,2.0,0.0,0.0
83262cfffffffff,12.0,0.0,0.0
83262dfffffffff,74.0,0.0,0.0
832640fffffffff,7.0,0.0,0.0
832641fffffffff,5.0,0.0,0.0
832642fffffffff,11.0,0.0,0.0
832643fffffffff,13.0,0.0,0.0
832644fffffffff,3.0,0.0,0.0
832646fffffffff,17.0,1.0,0.0
832648fffffffff,25.0,2.0,0.0
832649fffffffff,8.0,0.0,0.0
83264afffffffff,17.0,1.0,0.0
83264bfffffffff,17.0,0.0,0.0
83264cfffffffff,14.0,1.0,0.0
83264dfffffffff,38.0,2.0,0.0
83264efffffffff,27.0,0.0,0.0
832650fffffffff,4.0,0.0,0.0
832651fffffffff,5.0,0.0,0.0
832652fffffffff,1.0,0.0,0.0
832653fffffffff,6.0,0.0,0.0
832654fffffffff,1.0,0.0,0.0
832655fffffffff,2.0,0.0,0.0
832656fffffffff,31.0,24.0,0.0
832658fffffffff,26.0,0.0,0.0
832659fffffffff,5.0,0.0,0.0
83265bfffffffff,5.0,0.0,0.0
83265cfffffffff,2.0,0.0,0.0
83265dfffffffff,12.0,0.0,0.0
83265efffffffff,17.0,0.0,0.0
832661fffffffff,2.0,0.0,0.0
832662fffffffff,10.0,0.0,0.0
832664fffffffff,80.0,2.0,0.0
832665fffffffff,2.0,0.0,0.0
832666fffffffff,12.0,0.0,0.0
832668fffffffff,9.0,0.0,0.0
832669fffffffff,1.0,0.0,0.0
83266bfffffffff,5.0,0.0,0.0
83266cfffffffff,6.0,0.0,0.0
83266dfffffffff,7.0,0.0,0.0
83266efffffffff,4.0,0.0,0.0
832670fffffffff,25.0,0.0,0.0
832672fffffffff,1.0,0.0,0.0
832674fffffffff,8.0,0.0,0.0
832675fffffffff,1.0,0.0,0.0
832676fffffffff,2.0,0.0,0.0
832681fffffffff,38.0,2.0,0.0
832685fffffffff,6.0,0.0,0.0
832688fffffffff,147.0,8.0,3.0
83268cfffffffff,63.0,2.0,0.0
83268dfffffffff,5.0,0.0,0.0
832699fffffffff,3.0,3.0,0.0
83269cfffffffff,9.0,0.0,0.0
8326a8fffffffff,2.0,0.0,0.0
8326aafffffffff,35.0,0.0,0.0
8326abfffffffff,5.0,0.0,0.0
8326aefffffffff,2.0,0.0,0.0
8326c1fffffffff,49.0,3.0,0.0
8326c3fffffffff,1.0,0.0,0.0
8326c8fffffffff,17.0,0.0,0.0
8326cafffffffff,16.0,0.0,0.0
8326cbfffffffff,11.0,0.0,0.0
8326cdfffffffff,7.0,0.0,0.0
8326dbfffffffff,4.0,0.0,0.0
8326defffffffff,3.0,3.0,0.0
8326e1fffffffff,2.0,0.0,0.0
8326e2fffffffff,4.0,0.0,0.0
8326e3fffffffff,2.0,0.0,0.0
8326e4fffffffff,7.0,0.0,0.0
8326e5fffffffff,21.0,0.0,0.0
8326e8fffffffff,2.0,0.0,0.0
8326e9fffffffff,8.0,0.0,0.0
8326ebfffffffff,1.0,0.0,0.0
8326ecfffffffff,6.0,1.0,0.0
8326edfffffffff,25.0,0.0,0.0
8326eefffffffff,1.0,0.0,0.0
8326f2fffffffff,23.0,2.0,0.0
832702fffffffff,2.0,0.0,0.0
832713fffffffff,2.0,0.0,0.0
832719fffffffff,2.0,0.0,0.0
832740fffffffff,1.0,0.0,0.0
832741fffffffff,9.0,0.0,0.0
832743fffffffff,2.0,0.0,0.0
832744fffffffff,3.0,0.0,0.0
832748fffffffff,24.0,0.0,0.0
832749fffffffff,123.0,0.0,0.0
83274afffffffff,2.0,0.0,0.0
83274bfffffffff,15.0,0.0,0.0
83274dfffffffff,29.0,0.0,0.0
832752fffffffff,69.0,2.0,0.0
832753fffffffff,7.0,1.0,0.0
832754fffffffff,1.0,0.0,0.0
832756fffffffff,6.0,0.0,0.0
832758fffffffff,45.0,0.0,0.0
832759fffffffff,100.0,5.0,0.0
83275afffffffff,160.0,0.0,0.0
83275bfffffffff,30.0,0.0,0.0
83275cfffffffff,2.0,0.0,0.0
83275dfffffffff,37.0,0.0,0.0
832763fffffffff,8.0,0.0,0.0
832769fffffffff,4.0,0.0,0.0
83276bfffffffff,8.0,0.0,0.0
83276dfffffffff,1.0,0.0,0.0
8327a0fffffffff,3.0,0.0,0.0
832802fffffffff,17.0,2.0,0.0
832830fffffffff,47.0,8.0,3.0
832832fffffffff,3.0,0.0,0.0
832834fffffffff,45.0,6.0,1.0
832835fffffffff,32.0,8.0,0.0
832884fffffffff,28.0,0.0,0.0
832894fffffffff,2.0,0.0,0.0
8328aefffffffff,6.0,0.0,0.0
8328b6fffffffff,5.0,0.0,0.0
8328d2fffffffff,2.0,0.0,0.0
8328f0fffffffff,17.0,0.0,0.0
8328f1fffffffff,1.0,0.0,0.0
8328f3fffffffff,23.0,6.0,0.0
8328f4fffffffff,70.0,0.0,0.0
832912fffffffff,5.0,0.0,0.0
832913fffffffff,2.0,0.0,0.0
83291afffffffff,5.0,3.0,0.0
832981fffffffff,4.0,0.0,0.0
832984fffffffff,2.0,0.0,0.0
832985fffffffff,2.0,0.0,0.0
83298cfffffffff,6.0,1.0,0.0
832994fffffffff,4.0,0.0,0.0
8329a0fffffffff,2.0,0.0,0.0
8329a1fffffffff,28.0,6.0,0.0
8329a4fffffffff,28.0,16.0,0.0
8329a5fffffffff,51.0,5.0,0.0
8329a6fffffffff,19.0,0.0,0.0
8329a9fffffffff,13.0,2.0,0.0
8329adfffffffff,14.0,2.0,0.0
8329b0fffffffff,3.0,0.0,0.0
8329b1fffffffff,2.0,2.0,0.0
8329b2fffffffff,38.0,3.0,0.0
832a06fffffffff,4.0,0.0,4.0
832a10fffffffff,503.0,7.0,9.0
832a12fffffffff,109.0,1.0,0.0
832a13fffffffff,96.0,0.0,2.0
832a14fffffffff,60.0,0.0,0.0
832a15fffffffff,28.0,0.0,0.0
832a16fffffffff,21.0,0.0,0.0
832a30fffffffff,127.0,14.0,5.0
832a31fffffffff,56.0,12.0,2.0
832a32fffffffff,70.0,0.0,3.0
832a33fffffffff,52.0,3.0,0.0
832a34fffffffff,66.0,2.0,2.0
832a36fffffffff,5.0,0.0,0.0
832a4cfffffffff,3.0,0.0,0.0
832a80fffffffff,5.0,0.0,0.0
832a81fffffffff,10.0,0.0,0.0
832a82fffffffff,5.0,0.0,0.0
832a84fffffffff,124.0,0.0,0.0
832a85fffffffff,97.0,21.0,0.0
832a86fffffffff,3.0,0.0,0.0
832a88fffffffff,11.0,2.0,0.0
832a89fffffffff,14.0,7.0,2.0
832a8afffffffff,22.0,20.0,0.0
832a8bfffffffff,45.0,2.0,0.0
832a8cfffffffff,13.0,0.0,0.0
832a8dfffffffff,27.0,3.0,2.0
832a8efffffffff,64.0,4.0,0.0
832a90fffffffff,22.0,0.0,0.0
832a91fffffffff,4.0,0.0,0.0
832a92fffffffff,1.0,0.0,0.0
832a93fffffffff,7.0,0.0,0.0
832a94fffffffff,65.0,0.0,0.0
832a95fffffffff,15.0,0.0,0.0
832a96fffffffff,12.0,0.0,0.0
832a99fffffffff,16.0,7.0,0.0
832a9afffffffff,10.0,0.0,0.0
832a9bfffffffff,13.0,0.0,0.0
832a9cfffffffff,1.0,0.0,0.0
832a9dfffffffff,6.0,6.0,0.0
832a9efffffffff,7.0,0.0,0.0
832aa0fffffffff,8.0,0.0,0.0
832aa1fffffffff,33.0,0.0,0.0
832aa2fffffffff,14.0,0.0,0.0
832aa3fffffffff,34.0,0.0,0.0
832aa4fffffffff,55.0,0.0,0.0
832aa5fffffffff,4.0,0.0,0.0
832aa6fffffffff,30.0,1.0,0.0
832aa8fffffffff,196.0,30.0,13.0
832aa9fffffffff,205.0,8.0,34.0
832aaafffffffff,33.0,2.0,2.0
832aabfffffffff,51.0,5.0,0.0
832aacfffffffff,285.0,0.0,4.0
832aadfffffffff,112.0,7.0,8.0
832aaefffffffff,37.0,0.0,0.0
832ab0fffffffff,111.0,12.0,2.0
832ab2fffffffff,361.0,8.0,8.0
832ab3fffffffff,23.0,9.0,0.0
832ab4fffffffff,77.0,1.0,0.0
832ab5fffffffff,29.0,3.0,5.0
832ab6fffffffff,15.0,0.0,0.0
832ad0fffffffff,8.0,0.0,1.0
832ad1fffffffff,4.0,0.0,0.0
832ad2fffffffff,6.0,0.0,0.0
832ad3fffffffff,3.0,0.0,0.0
832ad4fffffffff,2.0,0.0,0.0
832ad5fffffffff,23.0,0.0,0.0
832ad6fffffffff,21.0,0.0,0.0
832af0fffffffff,15.0,0.0,2.0
832af1fffffffff,10.0,0.0,0.0
832af3fffffffff,12.0,0.0,0.0
832af6fffffffff,52.0,0.0,0.0
832b00fffffffff,10.0,0.0,0.0
832b01fffffffff,37.0,6.0,0.0
832b03fffffffff,13.0,0.0,4.0
832b05fffffffff,2.0,0.0,2.0
