cell_id,Formicivora acutirostris,Formicivora acutirostris acutirostris,Formicivora acutirostris paludicola
84a8105ffffffff,46.0,0.0,35.0
84a8123ffffffff,3.0,0.0,3.0
84a8129ffffffff,258.0,0.0,189.0
84a812bffffffff,158.0,0.0,126.0
84a8311ffffffff,1.0,1.0,0.0
84a831dffffffff,4.0,4.0,0.0
