cell_id,Sporophila leucoptera,Sporophila leucoptera bicolor,Sporophila leucoptera [leucoptera Group]
8481063ffffffff,1.0,0.0,1.0
848a069ffffffff,2.0,0.0,0.0
848b22dffffffff,2.0,2.0,0.0
848b2edffffffff,1.0,0.0,0.0
84a9461ffffffff,7.0,0.0,0.0
84a9467ffffffff,1.0,0.0,0.0
84a953bffffffff,2.0,0.0,0.0
84a9611ffffffff,9.0,0.0,0.0
84a9617ffffffff,33.0,0.0,0.0
84a9653ffffffff,4.0,0.0,0.0
84a9711ffffffff,2.0,0.0,0.0
84a9717ffffffff,8.0,0.0,0.0
84b26ddffffffff,1.0,0.0,0.0
84b34dbffffffff,1.0,0.0,0.0
84c21d5ffffffff,1.0,0.0,0.0
84c2c99ffffffff,3.0,0.0,0.0
84c2cb3ffffffff,3.0,0.0,0.0
84c2f11ffffffff,4.0,0.0,0.0
