cell_id,Polioptila caerulea,Polioptila caerulea [obscura Group],Polioptila caerulea caerulea,Polioptila caerulea cozumelae
830e4dfffffffff,2.0,0.0,0.0,0.0
830eccfffffffff,5.0,0.0,0.0,0.0
8312d1fffffffff,26.0,0.0,0.0,0.0
831aa0fffffffff,18.0,0.0,0.0,0.0
831aa3fffffffff,1.0,0.0,0.0,0.0
832600fffffffff,2.0,0.0,0.0,0.0
832601fffffffff,20.0,0.0,2.0,0.0
832602fffffffff,2.0,0.0,0.0,0.0
832605fffffffff,2.0,0.0,0.0,0.0
832608fffffffff,5.0,0.0,5.0,0.0
832609fffffffff,2.0,0.0,0.0,0.0
83260afffffffff,3.0,0.0,2.0,0.0
83260dfffffffff,18.0,0.0,0.0,0.0
83260efffffffff,13.0,0.0,11.0,0.0
832610fffffffff,3.0,0.0,0.0,0.0
832611fffffffff,3.0,1.0,0.0,0.0
832612fffffffff,2.0,0.0,0.0,0.0
832618fffffffff,1.0,0.0,1.0,0.0
83261bfffffffff,3.0,0.0,0.0,0.0
83261efffffffff,1.0,1.0,0.0,0.0
832623fffffffff,2.0,0.0,0.0,0.0
832625fffffffff,6.0,0.0,0.0,0.0
832626fffffffff,12.0,0.0,0.0,0.0
832629fffffffff,7.0,0.0,0.0,0.0
83262bfffffffff,14.0,0.0,0.0,0.0
832634fffffffff,10.0,0.0,0.0,0.0
832635fffffffff,16.0,0.0,0.0,0.0
832640fffffffff,12.0,0.0,0.0,0.0
832641fffffffff,2.0,0.0,0.0,0.0
832642fffffffff,5.0,0.0,1.0,0.0
832643fffffffff,14.0,0.0,0.0,0.0
832645fffffffff,3.0,0.0,3.0,0.0
832646fffffffff,63.0,0.0,32.0,0.0
832648fffffffff,52.0,0.0,11.0,0.0
832649fffffffff,19.0,0.0,0.0,0.0
83264afffffffff,36.0,0.0,21.0,0.0
83264bfffffffff,29.0,0.0,2.0,0.0
83264cfffffffff,37.0,0.0,25.0,0.0
83264dfffffffff,52.0,0.0,11.0,0.0
83264efffffffff,38.0,0.0,8.0,0.0
832651fffffffff,7.0,0.0,0.0,0.0
832652fffffffff,13.0,0.0,7.0,0.0
832653fffffffff,12.0,0.0,0.0,0.0
832654fffffffff,1.0,0.0,0.0,0.0
832655fffffffff,22.0,0.0,0.0,0.0
832656fffffffff,25.0,0.0,9.0,0.0
832658fffffffff,14.0,0.0,2.0,0.0
832659fffffffff,29.0,0.0,21.0,0.0
83265afffffffff,11.0,0.0,2.0,0.0
83265bfffffffff,23.0,0.0,0.0,0.0
83265cfffffffff,2.0,0.0,0.0,0.0
83265dfffffffff,36.0,0.0,10.0,0.0
83265efffffffff,6.0,0.0,0.0,0.0
832660fffffffff,2.0,0.0,0.0,0.0
832664fffffffff,27.0,0.0,2.0,0.0
832666fffffffff,2.0,0.0,0.0,0.0
832668fffffffff,5.0,0.0,0.0,0.0
83266afffffffff,3.0,0.0,0.0,0.0
83266bfffffffff,4.0,0.0,0.0,0.0
832670fffffffff,43.0,0.0,0.0,0.0
832671fffffffff,1.0,0.0,1.0,0.0
832672fffffffff,1.0,0.0,1.0,0.0
832674fffffffff,39.0,0.0,0.0,0.0
832675fffffffff,12.0,0.0,0.0,0.0
832680fffffffff,1.0,0.0,0.0,0.0
832681fffffffff,51.0,10.0,0.0,0.0
832683fffffffff,8.0,0.0,0.0,0.0
832685fffffffff,3.0,0.0,0.0,0.0
832688fffffffff,93.0,8.0,0.0,0.0
832689fffffffff,31.0,8.0,0.0,0.0
83268afffffffff,15.0,6.0,0.0,0.0
83268bfffffffff,21.0,17.0,0.0,0.0
83268cfffffffff,114.0,3.0,0.0,0.0
83268dfffffffff,91.0,27.0,0.0,0.0
83268efffffffff,4.0,0.0,0.0,0.0
832690fffffffff,15.0,0.0,0.0,0.0
832691fffffffff,22.0,14.0,0.0,0.0
832692fffffffff,19.0,2.0,0.0,0.0
832694fffffffff,4.0,0.0,0.0,0.0
832696fffffffff,236.0,148.0,0.0,0.0
832698fffffffff,50.0,4.0,0.0,0.0
832699fffffffff,20.0,2.0,0.0,0.0
83269afffffffff,13.0,0.0,0.0,0.0
83269bfffffffff,4.0,0.0,0.0,0.0
83269cfffffffff,25.0,0.0,0.0,0.0
83269dfffffffff,22.0,0.0,0.0,0.0
83269efffffffff,130.0,35.0,0.0,0.0
8326a5fffffffff,11.0,3.0,0.0,0.0
8326a8fffffffff,56.0,16.0,7.0,0.0
8326a9fffffffff,20.0,7.0,11.0,0.0
8326aafffffffff,53.0,16.0,0.0,0.0
8326abfffffffff,34.0,11.0,5.0,0.0
8326adfffffffff,2.0,0.0,0.0,0.0
8326aefffffffff,6.0,0.0,0.0,0.0
8326b0fffffffff,2.0,0.0,0.0,0.0
8326b3fffffffff,2.0,0.0,0.0,0.0
8326b5fffffffff,2.0,0.0,0.0,0.0
8326b6fffffffff,10.0,2.0,0.0,0.0
8326c1fffffffff,5.0,0.0,0.0,0.0
8326c3fffffffff,17.0,0.0,15.0,0.0
8326c4fffffffff,5.0,0.0,3.0,0.0
8326c5fffffffff,2.0,0.0,0.0,0.0
8326c8fffffffff,11.0,0.0,0.0,0.0
8326c9fffffffff,3.0,0.0,0.0,0.0
8326cafffffffff,2.0,0.0,0.0,0.0
8326cbfffffffff,4.0,0.0,0.0,0.0
8326ccfffffffff,4.0,0.0,4.0,0.0
8326cefffffffff,3.0,0.0,0.0,0.0
8326d0fffffffff,3.0,0.0,0.0,0.0
8326d1fffffffff,11.0,0.0,0.0,0.0
8326d2fffffffff,2.0,0.0,0.0,0.0
8326d4fffffffff,18.0,2.0,2.0,0.0
8326d5fffffffff,7.0,0.0,2.0,0.0
8326d8fffffffff,2.0,0.0,0.0,0.0
8326d9fffffffff,7.0,0.0,0.0,0.0
