cell_id,Eurillas curvirostris,Eurillas curvirostris leonina,Eurillas curvirostris curvirostris
8458833ffffffff,1.0,0.0,0.0
845894dffffffff,1.0,0.0,0.0
8458969ffffffff,2.0,0.0,0.0
8458d03ffffffff,1.0,0.0,0.0
8458d0bffffffff,1.0,0.0,0.0
8458d13ffffffff,1.0,0.0,0.0
8458d35ffffffff,2.0,0.0,0.0
846a9e5ffffffff,4.0,0.0,0.0
846a9edffffffff,4.0,0.0,0.0
846ac03ffffffff,16.0,0.0,3.0
846ac0bffffffff,23.0,0.0,1.0
846ac13ffffffff,1.0,0.0,0.0
846ac15ffffffff,194.0,0.0,22.0
846ac1dffffffff,1.0,0.0,0.0
846ac31ffffffff,2.0,0.0,0.0
846ac37ffffffff,1.0,0.0,0.0
846ac3dffffffff,4.0,0.0,2.0
846ac89ffffffff,6.0,0.0,4.0
846acadffffffff,1.0,0.0,0.0
846acd1ffffffff,1.0,0.0,0.0
846acd5ffffffff,39.0,0.0,12.0
846ace5ffffffff,1.0,0.0,0.0
846adc1ffffffff,318.0,0.0,30.0
846adc5ffffffff,143.0,0.0,0.0
846adc9ffffffff,5.0,0.0,0.0
846ade7ffffffff,5.0,0.0,0.0
846aea1ffffffff,84.0,0.0,4.0
846aeabffffffff,12.0,0.0,0.0
846aeb5ffffffff,1.0,0.0,0.0
8475083ffffffff,1.0,0.0,0.0
8475085ffffffff,17.0,0.0,0.0
8475087ffffffff,17.0,0.0,0.0
84750c5ffffffff,2.0,0.0,0.0
84750d1ffffffff,185.0,0.0,0.0
84750d7ffffffff,2.0,0.0,0.0
84750d9ffffffff,1.0,0.0,0.0
84750ddffffffff,3.0,0.0,0.0
8475191ffffffff,2.0,0.0,0.0
84751d7ffffffff,1.0,0.0,0.0
8475295ffffffff,79.0,0.0,0.0
84752a3ffffffff,2.0,0.0,0.0
84752abffffffff,14.0,0.0,0.0
84752adffffffff,1.0,0.0,0.0
84752b5ffffffff,20.0,0.0,0.0
84752d3ffffffff,3.0,0.0,0.0
84752dbffffffff,1.0,0.0,0.0
84752e9ffffffff,2.0,0.0,0.0
847584dffffffff,1.0,0.0,0.0
8475a07ffffffff,2.0,0.0,0.0
8475a83ffffffff,1.0,0.0,0.0
8475b01ffffffff,1.0,0.0,0.0
847a4cbffffffff,71.0,0.0,0.0
847a4ddffffffff,112.0,0.0,0.0
847a683ffffffff,4.0,0.0,0.0
847a695ffffffff,4.0,0.0,0.0
847a6b7ffffffff,1.0,0.0,0.0
84828b5ffffffff,4.0,0.0,0.0
84828d1ffffffff,71.0,0.0,0.0
848290bffffffff,2.0,0.0,0.0
8482a09ffffffff,2.0,0.0,0.0
8482a0bffffffff,3.0,0.0,0.0
8482a37ffffffff,6.0,0.0,0.0
8482a81ffffffff,7.0,0.0,0.0
8482aadffffffff,5.0,0.0,0.0
8482ab7ffffffff,2.0,0.0,0.0
8482d03ffffffff,3.0,0.0,0.0
8482d1dffffffff,12.0,0.0,10.0
8482d27ffffffff,1.0,0.0,0.0
8482d57ffffffff,2.0,0.0,0.0
8482f09ffffffff,2.0,0.0,0.0
848313dffffffff,2.0,0.0,0.0
8483981ffffffff,2.0,0.0,0.0
8483983ffffffff,2.0,0.0,0.0
848398bffffffff,4.0,0.0,0.0
8483a89ffffffff,5.0,0.0,0.0
8483ac3ffffffff,7.0,0.0,1.0
8496895ffffffff,1.0,0.0,0.0
