cell_id,Phaethornis griseogularis,Phaethornis griseogularis porcullae,Phaethornis griseogularis griseogularis/zonura
836609fffffffff,14.0,0.0,0.0
83660bfffffffff,13.0,0.0,0.0
83660cfffffffff,18.0,0.0,0.0
83660dfffffffff,37.0,0.0,0.0
836621fffffffff,9.0,0.0,0.0
836629fffffffff,7.0,0.0,0.0
83662bfffffffff,26.0,0.0,0.0
83662dfffffffff,23.0,0.0,0.0
83662efffffffff,7.0,0.0,0.0
836652fffffffff,8.0,0.0,0.0
836656fffffffff,85.0,0.0,0.0
836663fffffffff,1.0,0.0,0.0
83666cfffffffff,1.0,0.0,0.0
836673fffffffff,6.0,0.0,0.0
8366c0fffffffff,300.0,0.0,4.0
8366c1fffffffff,11.0,0.0,0.0
8366c2fffffffff,294.0,0.0,0.0
8366c4fffffffff,1.0,0.0,0.0
8366c5fffffffff,104.0,0.0,0.0
8366c6fffffffff,64.0,0.0,0.0
8366cdfffffffff,3.0,0.0,0.0
8366cefffffffff,12.0,0.0,0.0
8366d1fffffffff,264.0,0.0,0.0
8366dafffffffff,110.0,0.0,5.0
8366dcfffffffff,1.0,0.0,0.0
8366defffffffff,504.0,0.0,33.0
8366e0fffffffff,230.0,0.0,5.0
8366e1fffffffff,145.0,0.0,0.0
8366e3fffffffff,54.0,0.0,0.0
8366e5fffffffff,1231.0,0.0,4.0
8366ecfffffffff,15.0,0.0,0.0
8366eefffffffff,39.0,0.0,0.0
836753fffffffff,6.0,0.0,0.0
83675afffffffff,10.0,0.0,0.0
83675efffffffff,2.0,0.0,0.0
838f08fffffffff,2.0,0.0,0.0
838f09fffffffff,5.0,0.0,0.0
838f0dfffffffff,99.0,6.0,0.0
838f40fffffffff,1.0,0.0,0.0
838f42fffffffff,3.0,0.0,0.0
838f43fffffffff,9.0,0.0,0.0
838f46fffffffff,116.0,0.0,0.0
838f50fffffffff,212.0,8.0,0.0
838f54fffffffff,148.0,39.0,0.0
838f55fffffffff,66.0,0.0,0.0
838f70fffffffff,33.0,0.0,5.0
838f72fffffffff,405.0,0.0,48.0
838f73fffffffff,3.0,0.0,0.0
838f74fffffffff,40.0,0.0,0.0
838f76fffffffff,35.0,0.0,2.0
