cell_id,Tauraco schuettii,Tauraco schuettii emini,Tauraco schuettii schuettii
846ac5bffffffff,3.0,0.0,3.0
846acadffffffff,2.0,0.0,0.0
846ada9ffffffff,3.0,0.0,0.0
847a4ddffffffff,3.0,2.0,0.0
