cell_id,Pyrocephalus rubinus,Pyrocephalus rubinus [mexicanus Group],Pyrocephalus rubinus saturatus,Pyrocephalus rubinus [obscurus Group],Pyrocephalus rubinus rubinus
82260ffffffffff,8.0,2.0,0.0,0.0,0.0
822627fffffffff,5.0,0.0,0.0,0.0,0.0
822647fffffffff,3.0,0.0,0.0,0.0,0.0
82264ffffffffff,3.0,0.0,0.0,0.0,0.0
822657fffffffff,20.0,0.0,0.0,0.0,0.0
82265ffffffffff,64.0,0.0,0.0,0.0,0.0
822667fffffffff,6.0,0.0,0.0,0.0,0.0
82266ffffffffff,20.0,0.0,0.0,0.0,0.0
822687fffffffff,91.0,0.0,0.0,0.0,0.0
82268ffffffffff,221.0,0.0,0.0,0.0,0.0
822697fffffffff,47.0,0.0,0.0,0.0,0.0
82269ffffffffff,15.0,0.0,0.0,0.0,0.0
8226affffffffff,2.0,0.0,0.0,0.0,0.0
8226c7fffffffff,2.0,0.0,0.0,0.0,0.0
8226cffffffffff,234.0,0.0,0.0,0.0,0.0
8226d7fffffffff,74.0,0.0,0.0,0.0,0.0
8226dffffffffff,77.0,0.0,0.0,0.0,0.0
8226e7fffffffff,4.0,0.0,0.0,0.0,0.0
8226effffffffff,2.0,0.0,0.0,0.0,0.0
8226f7fffffffff,2.0,0.0,0.0,0.0,0.0
822707fffffffff,2.0,0.0,0.0,0.0,0.0
822747fffffffff,8.0,0.0,0.0,0.0,0.0
82274ffffffffff,44.0,0.0,0.0,0.0,0.0
82275ffffffffff,18.0,0.0,0.0,0.0,0.0
822767fffffffff,11.0,0.0,0.0,0.0,0.0
82276ffffffffff,4.0,0.0,0.0,0.0,0.0
822777fffffffff,1.0,0.0,0.0,0.0,0.0
82278ffffffffff,6.0,0.0,0.0,0.0,0.0
822807fffffffff,28.0,0.0,0.0,0.0,0.0
822817fffffffff,14.0,0.0,0.0,0.0,0.0
82281ffffffffff,151.0,0.0,0.0,0.0,0.0
822837fffffffff,825.0,7.0,0.0,0.0,0.0
822897fffffffff,9.0,0.0,0.0,0.0,0.0
8228d7fffffffff,27.0,0.0,0.0,0.0,0.0
8228f7fffffffff,32.0,0.0,0.0,0.0,0.0
822917fffffffff,176.0,0.0,0.0,0.0,0.0
82291ffffffffff,81.0,2.0,0.0,0.0,0.0
822987fffffffff,210.0,0.0,0.0,0.0,0.0
82298ffffffffff,55.0,0.0,0.0,0.0,0.0
