cell_id,Spermestes bicolor,Spermestes bicolor bicolor/poensis,Spermestes bicolor nigriceps/woltersi
8428d55ffffffff,6.0,0.0,0.0
8454c4bffffffff,2.0,0.0,0.0
8454c51ffffffff,2.0,0.0,0.0
8454e31ffffffff,3.0,0.0,0.0
8454ea9ffffffff,2.0,0.0,0.0
8454eadffffffff,2.0,0.0,0.0
8465263ffffffff,1.0,0.0,1.0
846ac93ffffffff,2.0,0.0,0.0
847a489ffffffff,2.0,0.0,0.0
847a4cdffffffff,3.0,0.0,3.0
847a4ddffffffff,1.0,0.0,1.0
847a643ffffffff,1.0,0.0,0.0
847a683ffffffff,12.0,0.0,0.0
847a6a1ffffffff,2.0,0.0,0.0
847a6adffffffff,3.0,0.0,0.0
847a6e5ffffffff,11.0,0.0,11.0
847b4a5ffffffff,2.0,0.0,2.0
847b4a7ffffffff,2.0,0.0,2.0
847b4adffffffff,3.0,0.0,0.0
847b4c1ffffffff,5.0,0.0,0.0
847b4c5ffffffff,11.0,0.0,4.0
847b4c7ffffffff,17.0,0.0,4.0
847b4e1ffffffff,2.0,0.0,0.0
847b4e7ffffffff,7.0,0.0,5.0
847b597ffffffff,2.0,0.0,2.0
84972d9ffffffff,7.0,0.0,7.0
84bc457ffffffff,1.0,0.0,1.0
84bcc35ffffffff,2.0,0.0,2.0
