cell_id,Amazona festiva,Amazona festiva bodini,Amazona festiva festiva
825f0ffffffffff,198.0,0.0,0.0
825f47fffffffff,25.0,0.0,0.0
825f5ffffffffff,3.0,0.0,0.0
825f6ffffffffff,16.0,0.0,0.0
82664ffffffffff,2.0,0.0,0.0
826657fffffffff,111.0,0.0,0.0
82665ffffffffff,12.0,0.0,0.0
826667fffffffff,73.0,0.0,0.0
826677fffffffff,95.0,0.0,0.0
8266c7fffffffff,10.0,0.0,0.0
8266cffffffffff,13.0,0.0,0.0
8266e7fffffffff,10.0,0.0,0.0
8266effffffffff,10.0,0.0,0.0
828047fffffffff,9.0,0.0,0.0
82806ffffffffff,8.0,0.0,0.0
828a07fffffffff,12.0,0.0,2.0
828a1ffffffffff,10.0,0.0,4.0
828a2ffffffffff,1.0,0.0,0.0
828a47fffffffff,405.0,0.0,11.0
828a4ffffffffff,6.0,0.0,0.0
828a57fffffffff,65.0,0.0,0.0
828a6ffffffffff,231.0,0.0,0.0
828a77fffffffff,38.0,0.0,0.0
828a8ffffffffff,29.0,0.0,2.0
828a9ffffffffff,22.0,0.0,0.0
828aaffffffffff,106.0,0.0,8.0
828ac7fffffffff,10.0,0.0,1.0
828adffffffffff,17.0,0.0,0.0
828ae7fffffffff,17.0,0.0,0.0
828aeffffffffff,9.0,0.0,0.0
828af7fffffffff,562.0,0.0,58.0
828f47fffffffff,1.0,0.0,0.0
828f4ffffffffff,5.0,0.0,0.0
828f67fffffffff,125.0,0.0,0.0
828f6ffffffffff,144.0,0.0,0.0
